"statistic, pvalue, row is better than column",template_16,best set: template_2,template_17,template_20,template_4,template_45,template_6,template_3,template_8,template_0,template_21,template_18,template_23,template_14,template_19,template_22,template_5,template_30,template_25,template_27,template_24,template_26,template_31,template_29,template_7,template_44,template_37,template_39,template_9,template_35,template_33,template_51,template_13,template_12,template_41,template_15,template_49,template_10,template_1,template_47,template_11,template_32,template_55,template_48,template_38,template_34,template_36,template_53,template_50,template_46,template_40,template_28,template_43,template_54,template_52,template_42,group,accuracy
template_16,None,"16.00, 1.00, None","44.00, 0.68, True","15.00, 0.26, True","19.00, 0.30, True","44.00, 0.42, True","15.00, 0.12, True","44.00, 0.31, True","16.00, 0.10, True","19.00, 0.12, True","45.00, 0.28, True","17.00, 0.10, True","42.00, 0.26, True","19.00, 0.09, True","41.00, 0.22, True","11.00, 0.03, True","43.00, 0.19, True","22.00, 0.09, True","38.00, 0.14, True","42.00, 0.16, True","18.00, 0.05, True","17.00, 0.03, True","43.00, 0.14, True","41.00, 0.13, True","42.00, 0.13, True","14.00, 0.02, True","42.00, 0.11, True","44.00, 0.12, True","41.00, 0.09, True","42.00, 0.08, True","42.00, 0.08, True","40.00, 0.07, True","38.00, 0.06, True","15.00, 0.01, True","46.00, 0.07, True","43.00, 0.06, True","42.00, 0.06, True","13.00, 0.00, True","46.00, 0.06, True","43.00, 0.05, True","37.00, 0.03, True","22.00, 0.01, True","39.00, 0.02, True","15.00, 0.00, True","23.00, 0.01, True","20.00, 0.00, True","13.00, 0.00, True","36.00, 0.01, True","12.00, 0.00, True","13.00, 0.00, True","20.00, 0.00, True","15.00, 0.00, True","43.00, 0.01, True","15.00, 0.00, True","13.00, 0.00, True","13.00, 0.00, True",A,0.574
template_2,"16.00, 1.00, True",None,"46.00, 0.68, True","19.00, 0.30, True","20.00, 0.31, True","46.00, 0.43, True","14.00, 0.11, True","41.00, 0.30, True","17.00, 0.10, True","18.00, 0.11, True","44.00, 0.27, True","20.00, 0.13, True","42.00, 0.26, True","21.00, 0.10, True","42.00, 0.22, True","17.00, 0.06, True","41.00, 0.18, True","20.00, 0.08, True","39.00, 0.15, True","42.00, 0.16, True","18.00, 0.05, True","15.00, 0.03, True","41.00, 0.13, True","40.00, 0.13, True","43.00, 0.14, True","16.00, 0.02, True","43.00, 0.11, True","46.00, 0.13, True","41.00, 0.09, True","41.00, 0.07, True","41.00, 0.07, True","43.00, 0.08, True","37.00, 0.06, True","13.00, 0.01, True","46.00, 0.07, True","42.00, 0.06, True","43.00, 0.06, True","12.00, 0.00, True","45.00, 0.06, True","41.00, 0.05, True","35.00, 0.03, True","20.00, 0.01, True","41.00, 0.03, True","18.00, 0.00, True","21.00, 0.00, True","18.00, 0.00, True","19.00, 0.00, True","40.00, 0.01, True","16.00, 0.00, True","16.00, 0.00, True","20.00, 0.00, True","15.00, 0.00, True","44.00, 0.01, True","13.00, 0.00, True","15.00, 0.00, True","14.00, 0.00, True",A,0.574
template_17,"44.00, 0.68, False","46.00, 0.68, False",None,"47.00, 0.84, True","48.00, 0.84, True","19.00, 0.64, True","45.00, 0.61, True","13.00, 0.38, True","47.00, 0.55, True","48.00, 0.55, True","14.00, 0.31, True","44.00, 0.54, True","11.00, 0.26, True","44.00, 0.48, True","16.00, 0.27, True","43.00, 0.41, True","17.00, 0.22, True","48.00, 0.44, True","12.00, 0.12, True","16.00, 0.16, True","45.00, 0.37, True","44.00, 0.31, True","13.00, 0.10, True","17.00, 0.14, True","15.00, 0.12, True","47.00, 0.29, True","19.00, 0.12, True","23.00, 0.15, True","14.00, 0.06, True","17.00, 0.06, True","20.00, 0.08, True","15.00, 0.05, True","18.00, 0.06, True","44.00, 0.20, True","23.00, 0.07, True","15.00, 0.04, True","17.00, 0.04, True","43.00, 0.16, True","14.00, 0.02, True","16.00, 0.03, True","16.00, 0.02, True","43.00, 0.10, True","22.00, 0.02, True","43.00, 0.08, True","44.00, 0.08, True","45.00, 0.07, True","43.00, 0.06, True","16.00, 0.01, True","41.00, 0.04, True","43.00, 0.04, True","42.00, 0.04, True","39.00, 0.02, True","20.00, 0.00, True","42.00, 0.01, True","39.00, 0.01, True","38.00, 0.00, True",A,0.562
template_20,"15.00, 0.26, False","19.00, 0.30, False","47.00, 0.84, False",None,"12.00, 1.00, None","53.00, 1.00, True","10.00, 0.68, True","48.00, 0.84, True","20.00, 0.65, True","25.00, 0.68, True","43.00, 0.75, True","11.00, 0.56, True","43.00, 0.75, True","27.00, 0.60, True","41.00, 0.67, True","16.00, 0.42, True","43.00, 0.60, True","32.00, 0.55, True","39.00, 0.52, True","40.00, 0.52, True","19.00, 0.37, True","17.00, 0.28, True","51.00, 0.50, True","47.00, 0.49, True","41.00, 0.46, True","25.00, 0.30, True","48.00, 0.44, True","47.00, 0.43, True","43.00, 0.36, True","44.00, 0.31, True","46.00, 0.32, True","46.00, 0.32, True","39.00, 0.29, True","16.00, 0.13, True","49.00, 0.29, True","42.00, 0.26, True","45.00, 0.28, True","17.00, 0.10, True","47.00, 0.25, True","45.00, 0.24, True","36.00, 0.16, True","24.00, 0.08, True","43.00, 0.14, True","12.00, 0.02, True","28.00, 0.08, True","17.00, 0.02, True","22.00, 0.04, True","41.00, 0.09, True","21.00, 0.02, True","12.00, 0.01, True","24.00, 0.03, True","17.00, 0.01, True","49.00, 0.05, True","21.00, 0.00, True","19.00, 0.00, True","20.00, 0.00, True",A,0.554
template_4,"19.00, 0.30, False","20.00, 0.31, False","48.00, 0.84, False","12.00, 1.00, True",None,"50.00, 1.00, True","9.00, 0.66, True","49.00, 0.84, True","13.00, 0.58, True","24.00, 0.68, True","45.00, 0.76, True","11.00, 0.56, True","47.00, 0.76, True","25.00, 0.59, True","46.00, 0.68, True","16.00, 0.42, True","42.00, 0.60, True","34.00, 0.56, True","42.00, 0.53, True","43.00, 0.53, True","24.00, 0.42, True","20.00, 0.31, True","49.00, 0.50, True","44.00, 0.48, True","41.00, 0.46, True","27.00, 0.31, True","44.00, 0.42, True","45.00, 0.42, True","43.00, 0.36, True","43.00, 0.31, True","43.00, 0.31, True","45.00, 0.32, True","39.00, 0.29, True","15.00, 0.12, True","45.00, 0.28, True","46.00, 0.28, True","46.00, 0.28, True","21.00, 0.13, True","48.00, 0.25, True","45.00, 0.24, True","36.00, 0.16, True","28.00, 0.10, True","43.00, 0.14, True","17.00, 0.03, True","29.00, 0.08, True","22.00, 0.04, True","21.00, 0.04, True","43.00, 0.10, True","22.00, 0.02, True","17.00, 0.01, True","28.00, 0.04, True","22.00, 0.01, True","49.00, 0.05, True","28.00, 0.01, True","23.00, 0.00, True","25.00, 0.00, True",A,0.554
template_45,"44.00, 0.42, False","46.00, 0.43, False","19.00, 0.64, False","53.00, 1.00, False","50.00, 1.00, False",None,"49.00, 0.92, True","19.00, 0.87, True","49.00, 0.84, True","53.00, 0.85, True","26.00, 0.79, True","48.00, 0.84, True","22.00, 0.77, True","50.00, 0.77, True","26.00, 0.69, True","49.00, 0.69, True","23.00, 0.58, True","49.00, 0.69, True","21.00, 0.47, True","23.00, 0.49, True","51.00, 0.63, True","49.00, 0.56, True","17.00, 0.35, True","20.00, 0.38, True","23.00, 0.41, True","45.00, 0.48, True","20.00, 0.31, True","26.00, 0.37, True","20.00, 0.25, True","21.00, 0.21, True","19.00, 0.19, True","9.00, 0.09, True","22.00, 0.22, True","47.00, 0.38, True","22.00, 0.18, True","24.00, 0.19, True","13.00, 0.10, True","47.00, 0.33, True","24.00, 0.16, True","13.00, 0.07, True","19.00, 0.09, True","49.00, 0.22, True","14.00, 0.03, True","48.00, 0.18, True","48.00, 0.18, True","51.00, 0.17, True","48.00, 0.16, True","14.00, 0.02, True","47.00, 0.11, True","45.00, 0.10, True","47.00, 0.11, True","46.00, 0.07, True","14.00, 0.00, True","44.00, 0.04, True","41.00, 0.02, True","40.00, 0.01, True",A,0.551
template_6,"15.00, 0.12, False","14.00, 0.11, False","45.00, 0.61, False","10.00, 0.68, False","9.00, 0.66, False","49.00, 0.92, False",None,"48.00, 1.00, None","17.00, 1.00, True","22.00, 1.00, True","47.00, 1.00, True","12.00, 1.00, True","47.00, 1.00, True","24.00, 0.89, True","46.00, 0.92, True","18.00, 0.75, True","44.00, 0.83, True","30.00, 0.80, True","41.00, 0.75, True","42.00, 0.75, True","25.00, 0.68, True","22.00, 0.57, True","48.00, 0.69, True","46.00, 0.68, True","43.00, 0.68, True","24.00, 0.50, True","47.00, 0.62, True","46.00, 0.61, True","42.00, 0.53, True","43.00, 0.47, True","46.00, 0.48, True","45.00, 0.48, True","39.00, 0.45, True","15.00, 0.26, True","48.00, 0.44, True","46.00, 0.43, True","47.00, 0.43, True","19.00, 0.24, True","47.00, 0.38, True","45.00, 0.37, True","35.00, 0.27, True","25.00, 0.16, True","42.00, 0.22, True","14.00, 0.06, True","27.00, 0.14, True","19.00, 0.07, True","20.00, 0.08, True","42.00, 0.16, True","20.00, 0.04, True","15.00, 0.03, True","26.00, 0.07, True","18.00, 0.02, True","47.00, 0.07, True","25.00, 0.02, True","20.00, 0.00, True","21.00, 0.00, True",A,0.546
template_3,"44.00, 0.31, False","41.00, 0.30, False","13.00, 0.38, False","48.00, 0.84, False","49.00, 0.84, False","19.00, 0.87, False","48.00, 1.00, True",None,"52.00, 1.00, True","53.00, 1.00, True","23.00, 1.00, True","47.00, 1.00, True","18.00, 1.00, True","51.00, 0.92, True","21.00, 0.88, True","49.00, 0.84, True","20.00, 0.76, True","51.00, 0.85, True","20.00, 0.65, True","20.00, 0.65, True","51.00, 0.77, True","48.00, 0.69, True","15.00, 0.50, True","23.00, 0.58, True","19.00, 0.54, True","51.00, 0.63, True","21.00, 0.47, True","27.00, 0.52, True","11.00, 0.26, True","22.00, 0.33, True","22.00, 0.33, True","17.00, 0.28, True","16.00, 0.27, True","46.00, 0.48, True","24.00, 0.29, True","23.00, 0.28, True","23.00, 0.28, True","48.00, 0.44, True","17.00, 0.17, True","21.00, 0.21, True","14.00, 0.11, True","48.00, 0.29, True","26.00, 0.14, True","49.00, 0.25, True","50.00, 0.26, True","49.00, 0.22, True","47.00, 0.21, True","20.00, 0.06, True","48.00, 0.16, True","50.00, 0.16, True","47.00, 0.15, True","44.00, 0.10, True","27.00, 0.03, True","47.00, 0.06, True","44.00, 0.03, True","44.00, 0.01, True",A,0.546
template_8,"16.00, 0.10, False","17.00, 0.10, False","47.00, 0.55, False","20.00, 0.65, False","13.00, 0.58, False","49.00, 0.84, False","17.00, 1.00, False","52.00, 1.00, False",None,"23.00, 1.00, None","48.00, 1.00, None","23.00, 1.00, None","48.00, 1.00, None","24.00, 1.00, True","46.00, 1.00, True","11.00, 0.84, True","44.00, 0.92, True","33.00, 0.90, True","47.00, 0.84, True","46.00, 0.84, True","24.00, 0.78, True","19.00, 0.64, True","51.00, 0.77, True","48.00, 0.76, True","45.00, 0.76, True","25.00, 0.59, True","48.00, 0.69, True","50.00, 0.70, True","45.00, 0.61, True","46.00, 0.55, True","45.00, 0.54, True","45.00, 0.54, True","46.00, 0.55, True","16.00, 0.34, True","49.00, 0.50, True","48.00, 0.49, True","45.00, 0.48, True","16.00, 0.27, True","52.00, 0.45, True","46.00, 0.43, True","42.00, 0.35, True","29.00, 0.23, True","45.00, 0.28, True","18.00, 0.11, True","30.00, 0.19, True","25.00, 0.13, True","17.00, 0.08, True","46.00, 0.21, True","17.00, 0.04, True","18.00, 0.05, True","28.00, 0.10, True","20.00, 0.03, True","47.00, 0.09, True","23.00, 0.02, True","20.00, 0.01, True","20.00, 0.00, True",A,0.544
template_0,"19.00, 0.12, False","18.00, 0.11, False","48.00, 0.55, False","25.00, 0.68, False","24.00, 0.68, False","53.00, 0.85, False","22.00, 1.00, False","53.00, 1.00, False","23.00, 1.00, True",None,"54.00, 1.00, None","29.00, 1.00, None","51.00, 1.00, None","10.00, 1.00, True","52.00, 1.00, True","25.00, 0.89, True","50.00, 0.92, True","35.00, 0.91, True","52.00, 0.85, True","54.00, 0.85, True","31.00, 0.80, True","28.00, 0.70, True","53.00, 0.78, True","53.00, 0.78, True","50.00, 0.77, True","30.00, 0.62, True","56.00, 0.71, True","57.00, 0.71, True","50.00, 0.63, True","52.00, 0.57, True","55.00, 0.58, True","51.00, 0.57, True","51.00, 0.57, True","25.00, 0.43, True","57.00, 0.53, True","49.00, 0.50, True","52.00, 0.51, True","24.00, 0.35, True","50.00, 0.44, True","52.00, 0.45, True","49.00, 0.39, True","34.00, 0.26, True","54.00, 0.32, True","27.00, 0.18, True","36.00, 0.23, True","32.00, 0.17, True","30.00, 0.16, True","51.00, 0.23, True","26.00, 0.09, True","26.00, 0.09, True","33.00, 0.12, True","26.00, 0.05, True","52.00, 0.10, True","29.00, 0.03, True","26.00, 0.01, True","15.00, 0.00, True",A,0.544
