"statistic, pvalue, row is better than column",best set: template_20,template_18,template_48,template_17,template_46,template_21,template_16,template_43,template_27,template_26,template_19,template_50,template_51,template_6,template_53,template_22,template_3,template_15,template_54,template_24,template_13,template_42,template_10,template_12,template_8,template_55,template_9,template_23,template_11,template_14,template_25,template_0,template_7,template_49,template_4,template_5,template_2,template_52,template_1,template_28,template_47,template_44,template_32,template_34,template_39,template_29,template_45,template_33,template_40,template_30,template_35,template_37,template_41,template_31,template_36,template_38,group,accuracy
template_20,None,"11.00, 0.56, True","26.00, 0.69, True","39.00, 0.74, True","28.00, 0.45, True","40.00, 0.46, True","14.00, 0.24, True","46.00, 0.37, True","43.00, 0.36, True","15.00, 0.15, True","44.00, 0.36, True","36.00, 0.32, True","43.00, 0.36, True","5.00, 0.03, True","40.00, 0.25, True","11.00, 0.06, True","38.00, 0.24, True","41.00, 0.22, True","33.00, 0.18, True","16.00, 0.07, True","40.00, 0.21, True","30.00, 0.13, True","20.00, 0.08, True","14.00, 0.04, True","11.00, 0.02, True","41.00, 0.15, True","40.00, 0.15, True","42.00, 0.16, True","40.00, 0.13, True","16.00, 0.03, True","35.00, 0.11, True","17.00, 0.02, True","37.00, 0.09, True","35.00, 0.07, True","9.00, 0.00, True","37.00, 0.08, True","16.00, 0.02, True","28.00, 0.04, True","37.00, 0.06, True","21.00, 0.02, True","41.00, 0.06, True","31.00, 0.02, True","17.00, 0.00, True","17.00, 0.00, True","36.00, 0.02, True","32.00, 0.01, True","42.00, 0.02, True","35.00, 0.01, True","23.00, 0.00, True","23.00, 0.00, True","31.00, 0.01, True","33.00, 0.01, True","32.00, 0.01, True","32.00, 0.00, True","21.00, 0.00, True","21.00, 0.00, True",A,0.367
template_18,"11.00, 0.56, False",None,"31.00, 1.00, None","42.00, 1.00, None","30.00, 0.80, True","44.00, 0.75, True","17.00, 0.63, True","48.00, 0.62, True","47.00, 0.62, True","13.00, 0.38, True","46.00, 0.61, True","36.00, 0.57, True","47.00, 0.62, True","16.00, 0.34, True","42.00, 0.47, True","13.00, 0.23, True","42.00, 0.47, True","44.00, 0.42, True","30.00, 0.34, True","20.00, 0.25, True","41.00, 0.40, True","31.00, 0.29, True","23.00, 0.23, True","20.00, 0.20, True","17.00, 0.14, True","43.00, 0.31, True","43.00, 0.31, True","45.00, 0.32, True","42.00, 0.26, True","17.00, 0.10, True","37.00, 0.24, True","20.00, 0.10, True","40.00, 0.21, True","38.00, 0.17, True","10.00, 0.02, True","41.00, 0.18, True","19.00, 0.07, True","30.00, 0.11, True","43.00, 0.16, True","25.00, 0.08, True","43.00, 0.14, True","31.00, 0.06, True","19.00, 0.02, True","19.00, 0.02, True","43.00, 0.08, True","36.00, 0.05, True","44.00, 0.05, True","39.00, 0.04, True","24.00, 0.01, True","26.00, 0.01, True","36.00, 0.02, True","37.00, 0.02, True","38.00, 0.03, True","34.00, 0.01, True","25.00, 0.01, True","23.00, 0.00, True",A,0.352
template_48,"26.00, 0.69, False","31.00, 1.00, True",None,"54.00, 1.00, None","10.00, 0.68, True","51.00, 0.77, True","30.00, 0.71, True","47.00, 0.62, True","52.00, 0.63, True","31.00, 0.54, True","51.00, 0.63, True","22.00, 0.48, True","43.00, 0.60, True","23.00, 0.41, True","44.00, 0.48, True","26.00, 0.37, True","46.00, 0.48, True","50.00, 0.44, True","22.00, 0.27, True","30.00, 0.34, True","46.00, 0.43, True","23.00, 0.23, True","26.00, 0.25, True","28.00, 0.27, True","26.00, 0.21, True","42.00, 0.30, True","45.00, 0.32, True","46.00, 0.32, True","46.00, 0.28, True","35.00, 0.22, True","47.00, 0.29, True","26.00, 0.14, True","44.00, 0.23, True","37.00, 0.17, True","22.00, 0.09, True","42.00, 0.19, True","25.00, 0.10, True","19.00, 0.05, True","46.00, 0.18, True","24.00, 0.08, True","38.00, 0.12, True","16.00, 0.02, True","21.00, 0.03, True","19.00, 0.02, True","43.00, 0.08, True","42.00, 0.06, True","37.00, 0.04, True","40.00, 0.04, True","21.00, 0.01, True","23.00, 0.01, True","41.00, 0.03, True","37.00, 0.02, True","39.00, 0.03, True","35.00, 0.01, True","21.00, 0.00, True","22.00, 0.00, True",A,0.352
template_17,"39.00, 0.74, False","42.00, 1.00, True","54.00, 1.00, True",None,"54.00, 0.85, True","13.00, 0.58, True","40.00, 0.74, True","47.00, 0.62, True","16.00, 0.42, True","39.00, 0.59, True","15.00, 0.41, True","50.00, 0.63, True","38.00, 0.58, True","36.00, 0.50, True","36.00, 0.43, True","37.00, 0.44, True","14.00, 0.24, True","22.00, 0.27, True","44.00, 0.42, True","39.00, 0.39, True","19.00, 0.24, True","43.00, 0.36, True","38.00, 0.33, True","35.00, 0.31, True","38.00, 0.28, True","34.00, 0.26, True","17.00, 0.14, True","15.00, 0.12, True","19.00, 0.12, True","34.00, 0.22, True","16.00, 0.10, True","39.00, 0.21, True","13.00, 0.05, True","25.00, 0.10, True","37.00, 0.17, True","11.00, 0.03, True","35.00, 0.16, True","40.00, 0.15, True","20.00, 0.06, True","39.00, 0.15, True","29.00, 0.08, True","46.00, 0.10, True","36.00, 0.07, True","36.00, 0.06, True","34.00, 0.05, True","25.00, 0.02, True","28.00, 0.02, True","27.00, 0.02, True","37.00, 0.03, True","34.00, 0.03, True","25.00, 0.01, True","29.00, 0.01, True","23.00, 0.01, True","23.00, 0.00, True","35.00, 0.01, True","26.00, 0.00, True",A,0.352
template_46,"28.00, 0.45, False","30.00, 0.80, False","10.00, 0.68, False","54.00, 0.85, False",None,"54.00, 1.00, True","33.00, 1.00, True","47.00, 0.84, True","53.00, 0.85, True","33.00, 0.81, True","56.00, 0.85, True","27.00, 0.79, True","45.00, 0.84, True","27.00, 0.69, True","45.00, 0.68, True","28.00, 0.61, True","52.00, 0.70, True","50.00, 0.63, True","23.00, 0.49, True","34.00, 0.56, True","50.00, 0.63, True","25.00, 0.43, True","30.00, 0.46, True","31.00, 0.47, True","30.00, 0.40, True","46.00, 0.48, True","48.00, 0.49, True","50.00, 0.50, True","49.00, 0.44, True","38.00, 0.39, True","48.00, 0.44, True","31.00, 0.29, True","49.00, 0.39, True","39.00, 0.29, True","27.00, 0.21, True","47.00, 0.33, True","29.00, 0.23, True","24.00, 0.16, True","49.00, 0.29, True","25.00, 0.16, True","40.00, 0.21, True","19.00, 0.05, True","21.00, 0.06, True","20.00, 0.04, True","45.00, 0.14, True","39.00, 0.10, True","39.00, 0.08, True","39.00, 0.07, True","22.00, 0.02, True","24.00, 0.03, True","40.00, 0.06, True","38.00, 0.05, True","38.00, 0.05, True","36.00, 0.03, True","22.00, 0.01, True","24.00, 0.01, True",A,0.341
template_21,"40.00, 0.46, False","44.00, 0.75, False","51.00, 0.77, False","13.00, 0.58, False","54.00, 1.00, False",None,"44.00, 1.00, None","45.00, 0.92, True","20.00, 0.88, True","42.00, 0.91, True","15.00, 0.86, True","51.00, 0.92, True","40.00, 0.91, True","42.00, 0.83, True","38.00, 0.74, True","40.00, 0.74, True","17.00, 0.63, True","24.00, 0.58, True","47.00, 0.69, True","40.00, 0.66, True","18.00, 0.53, True","45.00, 0.61, True","41.00, 0.59, True","39.00, 0.59, True","40.00, 0.52, True","36.00, 0.50, True","16.00, 0.34, True","15.00, 0.32, True","21.00, 0.32, True","36.00, 0.43, True","20.00, 0.31, True","38.00, 0.39, True","8.00, 0.11, True","23.00, 0.23, True","41.00, 0.35, True","9.00, 0.09, True","39.00, 0.34, True","41.00, 0.30, True","24.00, 0.19, True","44.00, 0.31, True","26.00, 0.17, True","46.00, 0.21, True","40.00, 0.18, True","39.00, 0.15, True","29.00, 0.10, True","22.00, 0.05, True","27.00, 0.06, True","28.00, 0.05, True","41.00, 0.09, True","37.00, 0.08, True","26.00, 0.03, True","27.00, 0.03, True","22.00, 0.02, True","23.00, 0.01, True","37.00, 0.04, True","30.00, 0.02, True",A,0.337
template_16,"14.00, 0.24, False","17.00, 0.63, False","30.00, 0.71, False","40.00, 0.74, False","33.00, 1.00, False","44.00, 1.00, True",None,"54.00, 0.92, True","48.00, 0.92, True","20.00, 0.88, True","46.00, 0.92, True","39.00, 0.91, True","51.00, 0.92, True","18.00, 0.75, True","49.00, 0.77, True","18.00, 0.64, True","46.00, 0.76, True","46.00, 0.68, True","31.00, 0.63, True","22.00, 0.57, True","47.00, 0.69, True","35.00, 0.57, True","24.00, 0.50, True","23.00, 0.49, True","22.00, 0.40, True","47.00, 0.55, True","47.00, 0.55, True","45.00, 0.54, True","46.00, 0.48, True","19.00, 0.30, True","41.00, 0.46, True","22.00, 0.27, True","41.00, 0.40, True","43.00, 0.36, True","18.00, 0.18, True","41.00, 0.35, True","12.00, 0.12, True","30.00, 0.24, True","46.00, 0.32, True","26.00, 0.21, True","44.00, 0.27, True","30.00, 0.13, True","23.00, 0.09, True","22.00, 0.07, True","41.00, 0.15, True","38.00, 0.12, True","44.00, 0.12, True","40.00, 0.09, True","25.00, 0.04, True","21.00, 0.03, True","36.00, 0.06, True","36.00, 0.06, True","39.00, 0.07, True","33.00, 0.03, True","24.00, 0.02, True","23.00, 0.01, True",A,0.337
template_43,"46.00, 0.37, False","48.00, 0.62, False","47.00, 0.62, False","47.00, 0.62, False","47.00, 0.84, False","45.00, 0.92, False","54.00, 0.92, False",None,"45.00, 1.00, None","54.00, 1.00, None","53.00, 1.00, None","49.00, 1.00, None","20.00, 1.00, None","47.00, 1.00, True","18.00, 0.87, True","53.00, 0.92, True","44.00, 0.92, True","34.00, 0.81, True","49.00, 0.84, True","54.00, 0.85, True","40.00, 0.83, True","43.00, 0.75, True","50.00, 0.77, True","49.00, 0.77, True","49.00, 0.69, True","22.00, 0.57, True","40.00, 0.66, True","43.00, 0.68, True","35.00, 0.57, True","49.00, 0.62, True","35.00, 0.57, True","51.00, 0.57, True","43.00, 0.53, True","25.00, 0.36, True","46.00, 0.48, True","45.00, 0.48, True","43.00, 0.47, True","43.00, 0.41, True","32.00, 0.35, True","48.00, 0.44, True","28.00, 0.27, True","41.00, 0.26, True","49.00, 0.29, True","44.00, 0.23, True","30.00, 0.16, True","29.00, 0.12, True","21.00, 0.06, True","36.00, 0.11, True","41.00, 0.13, True","42.00, 0.13, True","33.00, 0.08, True","30.00, 0.07, True","29.00, 0.06, True","30.00, 0.04, True","40.00, 0.07, True","38.00, 0.05, True",A,0.33
template_27,"43.00, 0.36, False","47.00, 0.62, False","52.00, 0.63, False","16.00, 0.42, False","53.00, 0.85, False","20.00, 0.88, False","48.00, 0.92, False","45.00, 1.00, True",None,"46.00, 1.00, None","18.00, 1.00, None","53.00, 1.00, None","40.00, 1.00, None","46.00, 1.00, True","36.00, 0.91, True","46.00, 0.92, True","23.00, 0.89, True","27.00, 0.79, True","50.00, 0.84, True","43.00, 0.83, True","12.00, 0.70, True","47.00, 0.76, True","45.00, 0.76, True","42.00, 0.75, True","46.00, 0.68, True","33.00, 0.64, True","20.00, 0.55, True","19.00, 0.54, True","15.00, 0.41, True","40.00, 0.59, True","9.00, 0.31, True","44.00, 0.54, True","16.00, 0.34, True","29.00, 0.39, True","44.00, 0.48, True","15.00, 0.26, True","42.00, 0.47, True","43.00, 0.41, True","23.00, 0.28, True","46.00, 0.43, True","31.00, 0.29, True","46.00, 0.28, True","43.00, 0.27, True","46.00, 0.24, True","30.00, 0.16, True","27.00, 0.11, True","26.00, 0.09, True","28.00, 0.08, True","40.00, 0.13, True","41.00, 0.13, True","28.00, 0.06, True","27.00, 0.06, True","20.00, 0.03, True","26.00, 0.03, True","41.00, 0.07, True","34.00, 0.04, True",A,0.33
template_26,"15.00, 0.15, False","13.00, 0.38, False","31.00, 0.54, False","39.00, 0.59, False","33.00, 0.81, False","42.00, 0.91, False","20.00, 0.88, False","54.00, 1.00, True","46.00, 1.00, True",None,"47.00, 1.00, None","36.00, 1.00, None","53.00, 1.00, None","20.00, 1.00, True","51.00, 0.92, True","12.00, 0.85, True","45.00, 0.92, True","45.00, 0.84, True","28.00, 0.79, True","14.00, 0.72, True","41.00, 0.83, True","30.00, 0.71, True","18.00, 0.64, True","11.00, 0.56, True","19.00, 0.54, True","51.00, 0.70, True","44.00, 0.68, True","45.00, 0.68, True","42.00, 0.60, True","20.00, 0.46, True","40.00, 0.59, True","26.00, 0.43, True","41.00, 0.53, True","45.00, 0.48, True","19.00, 0.30, True","41.00, 0.46, True","22.00, 0.33, True","28.00, 0.32, True","44.00, 0.42, True","25.00, 0.30, True","48.00, 0.38, True","34.00, 0.22, True","24.00, 0.16, True","21.00, 0.10, True","45.00, 0.24, True","37.00, 0.17, True","48.00, 0.18, True","39.00, 0.12, True","25.00, 0.06, True","25.00, 0.06, True","37.00, 0.09, True","39.00, 0.10, True","37.00, 0.09, True","34.00, 0.05, True","24.00, 0.03, True","21.00, 0.02, True",A,0.33
