"statistic, pvalue, row is better than column",best set: template_17,template_25,template_15,template_6,template_12,template_5,template_0,template_10,template_4,template_37,template_30,template_13,template_23,template_29,template_52,template_20,template_19,template_34,template_27,template_8,template_26,template_32,template_2,template_11,template_48,template_31,template_9,template_36,template_41,template_22,template_3,template_21,template_50,template_18,template_28,template_46,template_35,template_38,template_39,template_14,template_16,template_7,template_1,template_44,template_54,template_33,template_24,template_42,template_51,template_40,template_53,template_49,template_47,template_45,template_55,template_43,group,accuracy
template_17,None,"6.00, 1.00, True","11.00, 1.00, True","13.00, 0.85, True","14.00, 0.86, True","8.00, 0.65, True","16.00, 0.74, True","14.00, 0.72, True","15.00, 0.73, True","6.00, 0.61, True","9.00, 0.66, True","5.00, 0.58, True","3.00, 0.34, True","6.00, 0.45, True","13.00, 0.58, True","14.00, 0.60, True","7.00, 0.48, True","17.00, 0.63, True","7.00, 0.48, True","14.00, 0.49, True","14.00, 0.49, True","17.00, 0.52, True","10.00, 0.42, True","4.00, 0.27, True","11.00, 0.34, True","6.00, 0.24, True","3.00, 0.15, True","12.00, 0.36, True","7.00, 0.26, True","11.00, 0.26, True","2.00, 0.07, True","6.00, 0.17, True","9.00, 0.23, True","12.00, 0.28, True","12.00, 0.22, True","9.00, 0.17, True","8.00, 0.15, True","15.00, 0.26, True","5.00, 0.10, True","13.00, 0.23, True","8.00, 0.15, True","5.00, 0.10, True","6.00, 0.08, True","8.00, 0.11, True","11.00, 0.11, True","6.00, 0.03, True","13.00, 0.10, True","11.00, 0.06, True","8.00, 0.04, True","12.00, 0.05, True","5.00, 0.01, True","6.00, 0.01, True","5.00, 0.00, True","4.00, 0.00, True","5.00, 0.00, True","4.00, 0.00, True",A,0.685
template_25,"6.00, 1.00, False",None,"9.00, 1.00, None","15.00, 1.00, True","17.00, 1.00, True","8.00, 0.81, True","15.00, 0.86, True","17.00, 0.87, True","17.00, 0.87, True","4.00, 0.75, True","15.00, 0.86, True","2.00, 0.69, True","3.00, 0.51, True","6.00, 0.61, True","15.00, 0.73, True","17.00, 0.74, True","7.00, 0.63, True","18.00, 0.75, True","3.00, 0.51, True","17.00, 0.63, True","15.00, 0.61, True","17.00, 0.63, True","15.00, 0.61, True","1.00, 0.22, True","15.00, 0.50, True","6.00, 0.33, True","3.00, 0.23, True","15.00, 0.50, True","5.00, 0.30, True","15.00, 0.41, True","5.00, 0.21, True","5.00, 0.21, True","15.00, 0.41, True","15.00, 0.41, True","13.00, 0.30, True","11.00, 0.26, True","6.00, 0.17, True","15.00, 0.32, True","3.00, 0.09, True","13.00, 0.30, True","13.00, 0.30, True","6.00, 0.17, True","5.00, 0.10, True","14.00, 0.24, True","12.00, 0.16, True","4.00, 0.03, True","13.00, 0.13, True","13.00, 0.10, True","8.00, 0.05, True","11.00, 0.06, True","6.00, 0.01, True","6.00, 0.01, True","7.00, 0.01, True","4.00, 0.00, True","5.00, 0.00, True","4.00, 0.00, True",A,0.676
template_15,"11.00, 1.00, False","9.00, 1.00, True",None,"17.00, 1.00, True","17.00, 1.00, True","9.00, 0.82, True","14.00, 0.86, True","16.00, 0.86, True","16.00, 0.86, True","10.00, 0.83, True","15.00, 0.86, True","7.00, 0.80, True","6.00, 0.61, True","9.00, 0.66, True","15.00, 0.73, True","15.00, 0.73, True","7.00, 0.63, True","16.00, 0.74, True","8.00, 0.65, True","17.00, 0.63, True","15.00, 0.61, True","16.00, 0.62, True","14.00, 0.60, True","7.00, 0.48, True","15.00, 0.50, True","10.00, 0.42, True","6.00, 0.33, True","13.00, 0.47, True","7.00, 0.36, True","14.00, 0.39, True","9.00, 0.31, True","5.00, 0.21, True","15.00, 0.41, True","14.00, 0.39, True","13.00, 0.30, True","12.00, 0.28, True","6.00, 0.17, True","14.00, 0.31, True","8.00, 0.21, True","11.00, 0.26, True","13.00, 0.30, True","7.00, 0.19, True","3.00, 0.06, True","15.00, 0.26, True","12.00, 0.16, True","8.00, 0.08, True","13.00, 0.13, True","12.00, 0.09, True","9.00, 0.06, True","12.00, 0.07, True","9.00, 0.03, True","9.00, 0.02, True","8.00, 0.01, True","7.00, 0.01, True","7.00, 0.00, True","5.00, 0.00, True",A,0.676
template_6,"13.00, 0.85, False","15.00, 1.00, False","17.00, 1.00, False",None,"6.00, 1.00, None","11.00, 1.00, True","6.00, 1.00, True","6.00, 1.00, True","2.00, 1.00, True","16.00, 1.00, True","11.00, 1.00, True","15.00, 1.00, True","16.00, 0.86, True","15.00, 0.86, True","8.00, 0.81, True","3.00, 0.73, True","11.00, 0.84, True","6.00, 0.79, True","16.00, 0.86, True","6.00, 0.61, True","6.00, 0.61, True","5.00, 0.58, True","6.00, 0.61, True","15.00, 0.73, True","6.00, 0.45, True","14.00, 0.60, True","13.00, 0.58, True","8.00, 0.50, True","14.00, 0.60, True","5.00, 0.30, True","12.00, 0.46, True","10.00, 0.42, True","9.00, 0.40, True","1.00, 0.12, True","4.00, 0.18, True","5.00, 0.21, True","13.00, 0.38, True","6.00, 0.24, True","14.00, 0.39, True","6.00, 0.24, True","5.00, 0.21, True","9.00, 0.31, True","12.00, 0.28, True","11.00, 0.26, True","6.00, 0.12, True","12.00, 0.16, True","5.00, 0.06, True","10.00, 0.10, True","12.00, 0.12, True","4.00, 0.02, True","13.00, 0.07, True","10.00, 0.04, True","7.00, 0.01, True","9.00, 0.01, True","10.00, 0.01, True","12.00, 0.01, True",A,0.667
template_12,"14.00, 0.86, False","17.00, 1.00, False","17.00, 1.00, False","6.00, 1.00, True",None,"14.00, 1.00, True","4.00, 1.00, True","2.00, 1.00, True","5.00, 1.00, True","19.00, 1.00, True","8.00, 1.00, True","16.00, 1.00, True","16.00, 0.86, True","17.00, 0.87, True","9.00, 0.82, True","5.00, 0.77, True","14.00, 0.86, True","6.00, 0.79, True","17.00, 0.87, True","4.00, 0.55, True","2.00, 0.45, True","5.00, 0.58, True","5.00, 0.58, True","17.00, 0.74, True","11.00, 0.56, True","16.00, 0.62, True","15.00, 0.61, True","6.00, 0.45, True","17.00, 0.63, True","1.00, 0.12, True","12.00, 0.46, True","13.00, 0.47, True","8.00, 0.38, True","4.00, 0.27, True","3.00, 0.15, True","9.00, 0.31, True","17.00, 0.43, True","4.00, 0.18, True","17.00, 0.43, True","3.00, 0.15, True","4.00, 0.18, True","12.00, 0.36, True","14.00, 0.31, True","11.00, 0.26, True","8.00, 0.15, True","15.00, 0.20, True","0.00, 0.00, True","12.00, 0.12, True","14.00, 0.14, True","1.00, 0.00, True","14.00, 0.08, True","11.00, 0.04, True","9.00, 0.02, True","10.00, 0.02, True","11.00, 0.01, True","11.00, 0.01, True",A,0.667
template_5,"8.00, 0.65, False","8.00, 0.81, False","9.00, 0.82, False","11.00, 1.00, False","14.00, 1.00, False",None,"16.00, 1.00, None","14.00, 1.00, None","14.00, 1.00, None","8.00, 1.00, None","12.00, 1.00, None","7.00, 1.00, None","9.00, 1.00, True","8.00, 1.00, True","16.00, 1.00, True","14.00, 1.00, True","1.00, 1.00, True","16.00, 1.00, True","7.00, 1.00, True","14.00, 0.86, True","16.00, 0.86, True","16.00, 0.86, True","11.00, 0.84, True","8.00, 0.81, True","13.00, 0.71, True","11.00, 0.69, True","5.00, 0.58, True","16.00, 0.74, True","8.00, 0.65, True","14.00, 0.60, True","6.00, 0.45, True","2.00, 0.29, True","15.00, 0.61, True","11.00, 0.56, True","14.00, 0.49, True","11.00, 0.44, True","4.00, 0.27, True","15.00, 0.50, True","7.00, 0.36, True","12.00, 0.46, True","10.00, 0.42, True","1.00, 0.12, True","6.00, 0.24, True","14.00, 0.39, True","13.00, 0.30, True","5.00, 0.10, True","14.00, 0.24, True","15.00, 0.20, True","8.00, 0.11, True","13.00, 0.13, True","8.00, 0.05, True","7.00, 0.03, True","4.00, 0.01, True","6.00, 0.01, True","6.00, 0.00, True","7.00, 0.01, True",A,0.657
template_0,"16.00, 0.74, False","15.00, 0.86, False","14.00, 0.86, False","6.00, 1.00, False","4.00, 1.00, False","16.00, 1.00, True",None,"6.00, 1.00, None","5.00, 1.00, None","18.00, 1.00, None","10.00, 1.00, None","17.00, 1.00, None","16.00, 1.00, True","16.00, 1.00, True","9.00, 1.00, True","5.00, 1.00, True","15.00, 1.00, True","6.00, 1.00, True","16.00, 1.00, True","6.00, 0.79, True","3.00, 0.73, True","4.00, 0.75, True","7.00, 0.80, True","17.00, 0.87, True","12.00, 0.70, True","15.00, 0.73, True","15.00, 0.73, True","8.00, 0.65, True","14.00, 0.72, True","5.00, 0.42, True","14.00, 0.60, True","13.00, 0.58, True","11.00, 0.56, True","5.00, 0.42, True","3.00, 0.23, True","9.00, 0.40, True","15.00, 0.50, True","4.00, 0.27, True","16.00, 0.51, True","0.00, 0.06, True","7.00, 0.36, True","12.00, 0.46, True","14.00, 0.39, True","14.00, 0.39, True","8.00, 0.21, True","15.00, 0.26, True","1.00, 0.02, True","9.00, 0.12, True","13.00, 0.18, True","2.00, 0.01, True","14.00, 0.11, True","11.00, 0.06, True","10.00, 0.04, True","11.00, 0.03, True","11.00, 0.01, True","11.00, 0.01, True",A,0.657
template_10,"14.00, 0.72, False","17.00, 0.87, False","16.00, 0.86, False","6.00, 1.00, False","2.00, 1.00, False","14.00, 1.00, True","6.00, 1.00, True",None,"5.00, 1.00, None","19.00, 1.00, None","9.00, 1.00, None","16.00, 1.00, None","16.00, 1.00, True","16.00, 1.00, True","10.00, 1.00, True","7.00, 1.00, True","13.00, 1.00, True","6.00, 1.00, True","17.00, 1.00, True","5.00, 0.77, True","3.00, 0.73, True","5.00, 0.77, True","6.00, 0.79, True","17.00, 0.87, True","11.00, 0.69, True","17.00, 0.74, True","15.00, 0.73, True","7.00, 0.63, True","16.00, 0.74, True","2.00, 0.29, True","12.00, 0.57, True","13.00, 0.58, True","9.00, 0.52, True","4.00, 0.39, True","4.00, 0.27, True","8.00, 0.38, True","16.00, 0.51, True","4.00, 0.27, True","17.00, 0.52, True","4.00, 0.27, True","6.00, 0.33, True","12.00, 0.46, True","14.00, 0.39, True","12.00, 0.36, True","10.00, 0.25, True","14.00, 0.24, True","0.00, 0.01, True","13.00, 0.18, True","14.00, 0.19, True","2.00, 0.01, True","14.00, 0.11, True","11.00, 0.06, True","9.00, 0.03, True","10.00, 0.02, True","11.00, 0.01, True","12.00, 0.02, True",A,0.657
template_4,"15.00, 0.73, False","17.00, 0.87, False","16.00, 0.86, False","2.00, 1.00, False","5.00, 1.00, False","14.00, 1.00, True","5.00, 1.00, True","5.00, 1.00, True",None,"18.00, 1.00, None","10.00, 1.00, None","18.00, 1.00, None","17.00, 1.00, True","15.00, 1.00, True","10.00, 1.00, True","4.00, 1.00, True","13.00, 1.00, True","6.00, 1.00, True","18.00, 1.00, True","6.00, 0.79, True","5.00, 0.77, True","5.00, 0.77, True","7.00, 0.80, True","18.00, 0.87, True","9.00, 0.66, True","14.00, 0.72, True","15.00, 0.73, True","8.00, 0.65, True","15.00, 0.73, True","4.00, 0.39, True","14.00, 0.60, True","13.00, 0.58, True","9.00, 0.52, True","0.00, 0.12, True","4.00, 0.27, True","7.00, 0.36, True","14.00, 0.49, True","6.00, 0.33, True","15.00, 0.50, True","5.00, 0.30, True","6.00, 0.33, True","12.00, 0.46, True","14.00, 0.39, True","12.00, 0.36, True","9.00, 0.23, True","13.00, 0.23, True","4.00, 0.08, True","11.00, 0.15, True","12.00, 0.16, True","4.00, 0.03, True","13.00, 0.10, True","10.00, 0.05, True","8.00, 0.02, True","9.00, 0.02, True","10.00, 0.01, True","12.00, 0.02, True",A,0.657
template_37,"6.00, 0.61, False","4.00, 0.75, False","10.00, 0.83, False","16.00, 1.00, False","19.00, 1.00, False","8.00, 1.00, True","18.00, 1.00, True","19.00, 1.00, True","18.00, 1.00, True",None,"15.00, 1.00, None","6.00, 1.00, None","5.00, 1.00, True","3.00, 1.00, True","18.00, 1.00, True","16.00, 1.00, True","8.00, 1.00, True","18.00, 1.00, True","5.00, 1.00, True","18.00, 0.87, True","18.00, 0.87, True","19.00, 0.87, True","15.00, 0.86, True","5.00, 0.77, True","15.00, 0.73, True","6.00, 0.61, True","4.00, 0.55, True","16.00, 0.74, True","3.00, 0.51, True","17.00, 0.63, True","8.00, 0.50, True","6.00, 0.45, True","16.00, 0.62, True","15.00, 0.61, True","16.00, 0.51, True","12.00, 0.46, True","6.00, 0.33, True","18.00, 0.53, True","1.00, 0.12, True","14.00, 0.49, True","13.00, 0.47, True","5.00, 0.30, True","6.00, 0.24, True","14.00, 0.39, True","14.00, 0.31, True","5.00, 0.10, True","16.00, 0.27, True","14.00, 0.19, True","7.00, 0.09, True","15.00, 0.15, True","5.00, 0.03, True","6.00, 0.02, True","8.00, 0.02, True","4.00, 0.00, True","5.00, 0.00, True","5.00, 0.00, True",A,0.657
