"statistic, pvalue, row is better than column",best set: template_24,template_11,template_26,template_12,template_37,template_9,template_4,template_38,template_40,template_7,template_22,template_25,template_31,template_18,template_23,template_10,template_1,template_3,template_13,template_5,template_14,template_29,template_15,template_46,template_33,template_32,template_39,template_17,template_21,template_27,template_35,template_51,template_41,template_20,template_19,template_52,template_6,template_36,template_45,template_0,template_55,template_49,template_47,template_34,template_53,template_16,template_8,template_43,template_30,template_48,template_44,template_54,template_50,template_42,template_28,template_2,group,accuracy
template_24,None,"17.00, 1.00, True","0.00, 0.50, True","3.00, 0.51, True","15.00, 0.73, True","14.00, 0.72, True","6.00, 0.61, True","9.00, 0.52, True","4.00, 0.39, True","13.00, 0.58, True","8.00, 0.50, True","15.00, 0.50, True","12.00, 0.46, True","6.00, 0.33, True","12.00, 0.46, True","6.00, 0.33, True","17.00, 0.52, True","14.00, 0.49, True","15.00, 0.50, True","16.00, 0.51, True","3.00, 0.15, True","14.00, 0.39, True","15.00, 0.41, True","24.00, 0.42, True","16.00, 0.34, True","4.00, 0.12, True","17.00, 0.35, True","13.00, 0.30, True","13.00, 0.23, True","14.00, 0.24, True","11.00, 0.20, True","14.00, 0.24, True","15.00, 0.20, True","10.00, 0.14, True","13.00, 0.18, True","22.00, 0.27, True","10.00, 0.10, True","9.00, 0.09, True","12.00, 0.12, True","4.00, 0.03, True","13.00, 0.10, True","12.00, 0.09, True","12.00, 0.09, True","9.00, 0.06, True","13.00, 0.10, True","12.00, 0.09, True","6.00, 0.02, True","16.00, 0.10, True","12.00, 0.05, True","20.00, 0.10, True","21.00, 0.10, True","21.00, 0.08, True","18.00, 0.06, True","18.00, 0.05, True","10.00, 0.01, True","10.00, 0.01, True",A,0.402
template_11,"17.00, 1.00, False",None,"17.00, 1.00, True","16.00, 0.86, True","6.00, 0.79, True","9.00, 0.82, True","14.00, 0.86, True","18.00, 0.75, True","14.00, 0.72, True","8.00, 0.65, True","18.00, 0.75, True","5.00, 0.42, True","11.00, 0.56, True","14.00, 0.60, True","8.00, 0.50, True","17.00, 0.63, True","10.00, 0.54, True","11.00, 0.56, True","4.00, 0.39, True","6.00, 0.45, True","14.00, 0.49, True","7.00, 0.36, True","8.00, 0.38, True","21.00, 0.47, True","7.00, 0.26, True","13.00, 0.38, True","6.00, 0.24, True","11.00, 0.34, True","6.00, 0.17, True","6.00, 0.17, True","5.00, 0.14, True","14.00, 0.31, True","5.00, 0.10, True","15.00, 0.26, True","7.00, 0.13, True","19.00, 0.30, True","13.00, 0.18, True","15.00, 0.20, True","16.00, 0.21, True","15.00, 0.20, True","12.00, 0.12, True","14.00, 0.14, True","12.00, 0.12, True","13.00, 0.13, True","13.00, 0.13, True","16.00, 0.16, True","13.00, 0.10, True","16.00, 0.13, True","14.00, 0.08, True","16.00, 0.10, True","16.00, 0.10, True","17.00, 0.08, True","14.00, 0.06, True","16.00, 0.05, True","10.00, 0.02, True","11.00, 0.01, True",A,0.393
template_26,"0.00, 0.50, False","17.00, 1.00, False",None,"4.00, 1.00, True","16.00, 1.00, True","15.00, 1.00, True","7.00, 1.00, True","10.00, 0.83, True","5.00, 0.77, True","14.00, 0.86, True","9.00, 0.82, True","16.00, 0.74, True","13.00, 0.71, True","7.00, 0.63, True","13.00, 0.71, True","8.00, 0.65, True","18.00, 0.75, True","15.00, 0.73, True","16.00, 0.74, True","17.00, 0.74, True","5.00, 0.42, True","15.00, 0.61, True","16.00, 0.62, True","25.00, 0.59, True","17.00, 0.52, True","5.00, 0.30, True","18.00, 0.53, True","14.00, 0.49, True","14.00, 0.39, True","15.00, 0.41, True","12.00, 0.36, True","15.00, 0.41, True","16.00, 0.34, True","11.00, 0.26, True","14.00, 0.31, True","23.00, 0.41, True","11.00, 0.20, True","10.00, 0.18, True","13.00, 0.23, True","6.00, 0.12, True","14.00, 0.19, True","13.00, 0.18, True","13.00, 0.18, True","10.00, 0.14, True","14.00, 0.19, True","12.00, 0.16, True","7.00, 0.06, True","17.00, 0.17, True","12.00, 0.09, True","21.00, 0.17, True","22.00, 0.18, True","22.00, 0.14, True","19.00, 0.12, True","19.00, 0.09, True","11.00, 0.03, True","10.00, 0.01, True",A,0.384
template_12,"3.00, 0.51, False","16.00, 0.86, False","4.00, 1.00, False",None,"19.00, 1.00, None","18.00, 1.00, None","6.00, 1.00, None","10.00, 1.00, True","7.00, 1.00, True","17.00, 1.00, True","9.00, 1.00, True","18.00, 0.87, True","17.00, 0.87, True","8.00, 0.81, True","17.00, 0.87, True","6.00, 0.79, True","21.00, 0.88, True","17.00, 0.87, True","16.00, 0.86, True","18.00, 0.87, True","5.00, 0.58, True","18.00, 0.75, True","18.00, 0.75, True","22.00, 0.67, True","19.00, 0.64, True","5.00, 0.42, True","21.00, 0.66, True","17.00, 0.63, True","17.00, 0.52, True","17.00, 0.52, True","16.00, 0.51, True","18.00, 0.53, True","18.00, 0.44, True","9.00, 0.31, True","17.00, 0.43, True","20.00, 0.46, True","9.00, 0.23, True","8.00, 0.21, True","14.00, 0.31, True","4.00, 0.12, True","16.00, 0.27, True","15.00, 0.26, True","15.00, 0.26, True","8.00, 0.15, True","15.00, 0.26, True","9.00, 0.17, True","6.00, 0.08, True","19.00, 0.24, True","10.00, 0.10, True","18.00, 0.18, True","19.00, 0.19, True","20.00, 0.16, True","16.00, 0.13, True","17.00, 0.10, True","9.00, 0.03, True","7.00, 0.01, True",A,0.375
template_37,"15.00, 0.73, False","6.00, 0.79, False","16.00, 1.00, False","19.00, 1.00, True",None,"8.00, 1.00, None","19.00, 1.00, None","20.00, 1.00, True","16.00, 1.00, True","9.00, 1.00, True","18.00, 1.00, True","7.00, 0.80, True","8.00, 0.81, True","18.00, 0.87, True","7.00, 0.80, True","20.00, 0.88, True","8.00, 0.81, True","9.00, 0.82, True","7.00, 0.80, True","7.00, 0.80, True","16.00, 0.74, True","3.00, 0.51, True","10.00, 0.68, True","24.00, 0.68, True","5.00, 0.42, True","17.00, 0.63, True","4.00, 0.39, True","9.00, 0.52, True","5.00, 0.30, True","8.00, 0.38, True","4.00, 0.27, True","11.00, 0.44, True","6.00, 0.24, True","17.00, 0.43, True","6.00, 0.24, True","21.00, 0.47, True","15.00, 0.32, True","17.00, 0.35, True","13.00, 0.30, True","16.00, 0.34, True","9.00, 0.17, True","12.00, 0.22, True","10.00, 0.18, True","15.00, 0.26, True","10.00, 0.18, True","18.00, 0.29, True","15.00, 0.20, True","12.00, 0.16, True","17.00, 0.17, True","19.00, 0.19, True","19.00, 0.19, True","19.00, 0.15, True","17.00, 0.14, True","19.00, 0.12, True","13.00, 0.05, True","13.00, 0.03, True",A,0.375
template_9,"14.00, 0.72, False","9.00, 0.82, False","15.00, 1.00, False","18.00, 1.00, True","8.00, 1.00, True",None,"17.00, 1.00, None","20.00, 1.00, True","16.00, 1.00, True","5.00, 1.00, True","19.00, 1.00, True","9.00, 0.82, True","7.00, 0.80, True","15.00, 0.86, True","3.00, 0.73, True","19.00, 0.87, True","7.00, 0.80, True","5.00, 0.77, True","10.00, 0.83, True","8.00, 0.81, True","15.00, 0.73, True","8.00, 0.65, True","7.00, 0.63, True","23.00, 0.67, True","8.00, 0.50, True","16.00, 0.62, True","10.00, 0.54, True","6.00, 0.45, True","4.00, 0.27, True","9.00, 0.40, True","4.00, 0.27, True","9.00, 0.40, True","10.00, 0.33, True","17.00, 0.43, True","6.00, 0.24, True","21.00, 0.47, True","16.00, 0.34, True","16.00, 0.34, True","9.00, 0.23, True","15.00, 0.32, True","7.00, 0.13, True","9.00, 0.17, True","8.00, 0.15, True","16.00, 0.27, True","8.00, 0.15, True","18.00, 0.29, True","16.00, 0.21, True","9.00, 0.12, True","18.00, 0.18, True","18.00, 0.18, True","19.00, 0.19, True","18.00, 0.14, True","16.00, 0.13, True","19.00, 0.12, True","14.00, 0.06, True","14.00, 0.03, True",A,0.375
template_4,"6.00, 0.61, False","14.00, 0.86, False","7.00, 1.00, False","6.00, 1.00, True","19.00, 1.00, True","17.00, 1.00, True",None,"8.00, 1.00, True","8.00, 1.00, True","16.00, 1.00, True","10.00, 1.00, True","16.00, 0.86, True","16.00, 0.86, True","6.00, 0.79, True","16.00, 0.86, True","9.00, 0.82, True","20.00, 0.88, True","17.00, 0.87, True","16.00, 0.86, True","17.00, 0.87, True","7.00, 0.63, True","17.00, 0.74, True","17.00, 0.74, True","18.00, 0.64, True","18.00, 0.64, True","4.00, 0.39, True","20.00, 0.65, True","16.00, 0.62, True","16.00, 0.51, True","16.00, 0.51, True","15.00, 0.50, True","17.00, 0.52, True","18.00, 0.44, True","7.00, 0.26, True","16.00, 0.42, True","16.00, 0.42, True","7.00, 0.19, True","8.00, 0.21, True","13.00, 0.30, True","5.00, 0.14, True","15.00, 0.26, True","14.00, 0.24, True","14.00, 0.24, True","8.00, 0.15, True","14.00, 0.24, True","10.00, 0.18, True","4.00, 0.05, True","19.00, 0.24, True","11.00, 0.11, True","14.00, 0.14, True","16.00, 0.16, True","16.00, 0.13, True","12.00, 0.09, True","14.00, 0.08, True","6.00, 0.01, True","7.00, 0.01, True",A,0.375
template_38,"9.00, 0.52, False","18.00, 0.75, False","10.00, 0.83, False","10.00, 1.00, False","20.00, 1.00, False","20.00, 1.00, False","8.00, 1.00, False",None,"6.00, 1.00, None","21.00, 1.00, None","12.00, 1.00, None","18.00, 1.00, True","19.00, 1.00, True","11.00, 1.00, True","18.00, 1.00, True","10.00, 1.00, True","22.00, 1.00, True","22.00, 1.00, True","17.00, 1.00, True","20.00, 1.00, True","12.00, 0.85, True","20.00, 0.88, True","19.00, 0.87, True","18.00, 0.75, True","20.00, 0.76, True","7.00, 0.63, True","21.00, 0.77, True","20.00, 0.76, True","20.00, 0.65, True","16.00, 0.62, True","17.00, 0.63, True","19.00, 0.64, True","18.00, 0.53, True","8.00, 0.38, True","19.00, 0.54, True","16.00, 0.51, True","8.00, 0.29, True","5.00, 0.21, True","17.00, 0.43, True","10.00, 0.33, True","17.00, 0.35, True","17.00, 0.35, True","17.00, 0.35, True","5.00, 0.14, True","17.00, 0.35, True","11.00, 0.26, True","7.00, 0.13, True","21.00, 0.32, True","9.00, 0.12, True","15.00, 0.20, True","17.00, 0.22, True","15.00, 0.15, True","13.00, 0.13, True","14.00, 0.11, True","6.00, 0.02, True","8.00, 0.02, True",A,0.366
template_40,"4.00, 0.39, False","14.00, 0.72, False","5.00, 0.77, False","7.00, 1.00, False","16.00, 1.00, False","16.00, 1.00, False","8.00, 1.00, False","6.00, 1.00, True",None,"16.00, 1.00, None","12.00, 1.00, None","14.00, 1.00, True","14.00, 1.00, True","7.00, 1.00, True","14.00, 1.00, True","10.00, 1.00, True","18.00, 1.00, True","17.00, 1.00, True","14.00, 1.00, True","16.00, 1.00, True","8.00, 0.81, True","16.00, 0.86, True","15.00, 0.86, True","23.00, 0.78, True","18.00, 0.75, True","4.00, 0.55, True","17.00, 0.74, True","16.00, 0.74, True","16.00, 0.62, True","15.00, 0.61, True","12.00, 0.57, True","16.00, 0.62, True","16.00, 0.51, True","11.00, 0.44, True","15.00, 0.50, True","20.00, 0.55, True","10.00, 0.33, True","7.00, 0.26, True","15.00, 0.41, True","8.00, 0.29, True","16.00, 0.34, True","16.00, 0.34, True","16.00, 0.34, True","7.00, 0.19, True","16.00, 0.34, True","12.00, 0.28, True","9.00, 0.17, True","19.00, 0.30, True","10.00, 0.14, True","18.00, 0.23, True","19.00, 0.24, True","20.00, 0.20, True","16.00, 0.16, True","17.00, 0.14, True","8.00, 0.04, True","10.00, 0.02, True",A,0.366
template_7,"13.00, 0.58, False","8.00, 0.65, False","14.00, 0.86, False","17.00, 1.00, False","9.00, 1.00, False","5.00, 1.00, False","16.00, 1.00, False","21.00, 1.00, True","16.00, 1.00, True",None,"19.00, 1.00, None","10.00, 1.00, True","8.00, 1.00, True","15.00, 1.00, True","7.00, 1.00, True","19.00, 1.00, True","9.00, 1.00, True","5.00, 1.00, True","10.00, 1.00, True","7.00, 1.00, True","16.00, 0.86, True","9.00, 0.82, True","9.00, 0.82, True","24.00, 0.78, True","10.00, 0.68, True","16.00, 0.74, True","11.00, 0.69, True","7.00, 0.63, True","3.00, 0.34, True","10.00, 0.54, True","5.00, 0.42, True","8.00, 0.50, True","10.00, 0.42, True","17.00, 0.52, True","6.00, 0.33, True","20.00, 0.55, True","14.00, 0.39, True","17.00, 0.43, True","9.00, 0.31, True","15.00, 0.41, True","8.00, 0.21, True","7.00, 0.19, True","8.00, 0.21, True","16.00, 0.34, True","8.00, 0.21, True","18.00, 0.36, True","15.00, 0.26, True","11.00, 0.20, True","18.00, 0.23, True","17.00, 0.22, True","18.00, 0.23, True","18.00, 0.18, True","16.00, 0.16, True","19.00, 0.15, True","13.00, 0.07, True","12.00, 0.03, True",A,0.366
