"statistic, pvalue, row is better than column",best set: template_26,template_42,template_18,template_38,template_41,template_39,template_22,template_0,template_12,template_14,template_24,template_54,template_32,template_20,template_10,template_8,template_36,template_6,template_35,template_7,template_2,template_48,template_30,template_34,template_4,template_40,template_28,template_5,template_13,template_29,template_16,template_47,template_46,template_11,template_51,template_50,template_21,template_49,template_44,template_19,template_52,template_37,template_1,template_45,template_27,template_31,template_9,template_33,template_15,template_53,template_23,template_25,template_43,template_55,template_17,template_3,group,accuracy
template_26,None,"39.00, 0.82, True","13.00, 0.71, True","38.00, 0.74, True","39.00, 0.74, True","49.00, 0.77, True","12.00, 0.36, True","29.00, 0.53, True","26.00, 0.43, True","15.00, 0.32, True","6.00, 0.12, True","29.00, 0.39, True","33.00, 0.42, True","13.00, 0.18, True","21.00, 0.26, True","19.00, 0.19, True","33.00, 0.30, True","27.00, 0.21, True","39.00, 0.29, True","43.00, 0.31, True","32.00, 0.21, True","33.00, 0.18, True","29.00, 0.15, True","32.00, 0.17, True","25.00, 0.13, True","30.00, 0.16, True","33.00, 0.18, True","40.00, 0.18, True","39.00, 0.17, True","35.00, 0.13, True","18.00, 0.05, True","42.00, 0.16, True","34.00, 0.10, True","39.00, 0.12, True","40.00, 0.10, True","25.00, 0.04, True","33.00, 0.06, True","42.00, 0.09, True","29.00, 0.05, True","34.00, 0.07, True","26.00, 0.03, True","38.00, 0.06, True","34.00, 0.05, True","38.00, 0.06, True","32.00, 0.05, True","35.00, 0.04, True","34.00, 0.03, True","35.00, 0.04, True","32.00, 0.02, True","32.00, 0.01, True","32.00, 0.01, True","28.00, 0.01, True","29.00, 0.01, True","33.00, 0.01, True","30.00, 0.00, True","29.00, 0.00, True",A,0.366
template_42,"39.00, 0.82, False",None,"38.00, 1.00, None","35.00, 1.00, True","37.00, 1.00, True","40.00, 1.00, True","34.00, 0.81, True","34.00, 0.81, True","27.00, 0.69, True","37.00, 0.73, True","36.00, 0.65, True","25.00, 0.59, True","33.00, 0.64, True","36.00, 0.57, True","31.00, 0.54, True","29.00, 0.46, True","35.00, 0.49, True","28.00, 0.38, True","38.00, 0.45, True","35.00, 0.43, True","33.00, 0.36, True","19.00, 0.19, True","32.00, 0.30, True","34.00, 0.31, True","27.00, 0.26, True","31.00, 0.29, True","30.00, 0.28, True","36.00, 0.27, True","33.00, 0.25, True","38.00, 0.24, True","33.00, 0.21, True","29.00, 0.19, True","19.00, 0.09, True","34.00, 0.18, True","34.00, 0.15, True","21.00, 0.06, True","39.00, 0.15, True","28.00, 0.10, True","20.00, 0.06, True","38.00, 0.14, True","24.00, 0.06, True","35.00, 0.11, True","32.00, 0.09, True","34.00, 0.10, True","39.00, 0.12, True","36.00, 0.07, True","32.00, 0.06, True","33.00, 0.06, True","36.00, 0.05, True","31.00, 0.03, True","34.00, 0.03, True","33.00, 0.02, True","26.00, 0.01, True","27.00, 0.01, True","36.00, 0.01, True","31.00, 0.01, True",A,0.353
template_18,"13.00, 0.71, False","38.00, 1.00, True",None,"40.00, 1.00, True","39.00, 1.00, True","50.00, 1.00, True","12.00, 0.70, True","25.00, 0.78, True","28.00, 0.70, True","13.00, 0.58, True","11.00, 0.44, True","31.00, 0.63, True","31.00, 0.63, True","7.00, 0.26, True","21.00, 0.47, True","15.00, 0.32, True","31.00, 0.47, True","23.00, 0.34, True","40.00, 0.46, True","41.00, 0.46, True","28.00, 0.32, True","31.00, 0.29, True","28.00, 0.27, True","30.00, 0.28, True","21.00, 0.21, True","33.00, 0.30, True","31.00, 0.29, True","36.00, 0.27, True","38.00, 0.28, True","38.00, 0.24, True","19.00, 0.12, True","41.00, 0.26, True","33.00, 0.18, True","37.00, 0.20, True","40.00, 0.18, True","27.00, 0.09, True","30.00, 0.11, True","39.00, 0.15, True","27.00, 0.09, True","30.00, 0.11, True","29.00, 0.08, True","37.00, 0.11, True","32.00, 0.09, True","37.00, 0.11, True","32.00, 0.09, True","37.00, 0.08, True","33.00, 0.06, True","34.00, 0.07, True","32.00, 0.04, True","34.00, 0.03, True","29.00, 0.02, True","31.00, 0.02, True","26.00, 0.01, True","33.00, 0.01, True","30.00, 0.01, True","30.00, 0.01, True",A,0.353
template_38,"38.00, 0.74, False","35.00, 1.00, False","40.00, 1.00, False",None,"37.00, 1.00, None","32.00, 1.00, None","37.00, 0.91, True","38.00, 0.91, True","30.00, 0.80, True","39.00, 0.82, True","36.00, 0.73, True","29.00, 0.70, True","27.00, 0.69, True","35.00, 0.64, True","25.00, 0.59, True","30.00, 0.54, True","28.00, 0.53, True","29.00, 0.46, True","29.00, 0.46, True","34.00, 0.49, True","32.00, 0.41, True","33.00, 0.36, True","29.00, 0.33, True","29.00, 0.33, True","30.00, 0.34, True","17.00, 0.22, True","24.00, 0.29, True","32.00, 0.30, True","34.00, 0.31, True","28.00, 0.22, True","33.00, 0.25, True","30.00, 0.24, True","29.00, 0.19, True","33.00, 0.21, True","34.00, 0.18, True","30.00, 0.13, True","35.00, 0.16, True","31.00, 0.14, True","34.00, 0.15, True","35.00, 0.16, True","20.00, 0.06, True","27.00, 0.09, True","30.00, 0.11, True","31.00, 0.11, True","39.00, 0.15, True","30.00, 0.07, True","25.00, 0.05, True","21.00, 0.04, True","38.00, 0.06, True","31.00, 0.04, True","37.00, 0.05, True","35.00, 0.04, True","28.00, 0.02, True","29.00, 0.01, True","35.00, 0.01, True","25.00, 0.00, True",A,0.349
template_41,"39.00, 0.74, False","37.00, 1.00, False","39.00, 1.00, False","37.00, 1.00, True",None,"21.00, 1.00, None","41.00, 0.91, True","34.00, 0.90, True","35.00, 0.82, True","40.00, 0.83, True","39.00, 0.74, True","31.00, 0.71, True","33.00, 0.72, True","37.00, 0.65, True","34.00, 0.64, True","30.00, 0.54, True","33.00, 0.56, True","31.00, 0.47, True","23.00, 0.41, True","25.00, 0.43, True","29.00, 0.39, True","32.00, 0.35, True","35.00, 0.37, True","28.00, 0.32, True","31.00, 0.34, True","27.00, 0.31, True","35.00, 0.37, True","24.00, 0.24, True","20.00, 0.20, True","18.00, 0.14, True","33.00, 0.25, True","29.00, 0.23, True","35.00, 0.22, True","26.00, 0.17, True","25.00, 0.13, True","31.00, 0.14, True","27.00, 0.11, True","29.00, 0.12, True","34.00, 0.15, True","27.00, 0.11, True","27.00, 0.09, True","13.00, 0.03, True","22.00, 0.07, True","29.00, 0.10, True","25.00, 0.08, True","19.00, 0.03, True","24.00, 0.05, True","15.00, 0.02, True","27.00, 0.03, True","17.00, 0.01, True","26.00, 0.02, True","26.00, 0.02, True","26.00, 0.01, True","16.00, 0.00, True","24.00, 0.00, True","20.00, 0.00, True",A,0.349
template_39,"49.00, 0.77, False","40.00, 1.00, False","50.00, 1.00, False","32.00, 1.00, True","21.00, 1.00, True",None,"46.00, 0.92, True","43.00, 0.92, True","41.00, 0.83, True","49.00, 0.84, True","46.00, 0.76, True","38.00, 0.74, True","36.00, 0.73, True","44.00, 0.68, True","38.00, 0.66, True","36.00, 0.57, True","33.00, 0.56, True","31.00, 0.47, True","21.00, 0.39, True","26.00, 0.43, True","32.00, 0.41, True","33.00, 0.36, True","35.00, 0.37, True","29.00, 0.33, True","34.00, 0.36, True","30.00, 0.34, True","31.00, 0.34, True","28.00, 0.27, True","23.00, 0.23, True","19.00, 0.15, True","38.00, 0.28, True","23.00, 0.18, True","38.00, 0.24, True","26.00, 0.17, True","24.00, 0.12, True","38.00, 0.17, True","30.00, 0.13, True","21.00, 0.08, True","37.00, 0.17, True","32.00, 0.14, True","27.00, 0.09, True","15.00, 0.04, True","28.00, 0.10, True","29.00, 0.10, True","31.00, 0.11, True","25.00, 0.05, True","23.00, 0.04, True","17.00, 0.02, True","33.00, 0.05, True","17.00, 0.01, True","30.00, 0.03, True","30.00, 0.03, True","24.00, 0.01, True","20.00, 0.01, True","29.00, 0.01, True","20.00, 0.00, True",A,0.349
template_22,"12.00, 0.36, False","34.00, 0.81, False","12.00, 0.70, False","37.00, 0.91, False","41.00, 0.91, False","46.00, 0.92, False",None,"29.00, 1.00, None","28.00, 1.00, True","13.00, 1.00, True","13.00, 0.85, True","32.00, 0.90, True","35.00, 0.91, True","11.00, 0.69, True","22.00, 0.77, True","20.00, 0.65, True","32.00, 0.72, True","28.00, 0.61, True","43.00, 0.68, True","44.00, 0.68, True","31.00, 0.54, True","32.00, 0.48, True","30.00, 0.46, True","34.00, 0.49, True","22.00, 0.40, True","34.00, 0.49, True","33.00, 0.48, True","41.00, 0.46, True","41.00, 0.46, True","38.00, 0.39, True","17.00, 0.22, True","45.00, 0.42, True","34.00, 0.31, True","42.00, 0.35, True","44.00, 0.31, True","30.00, 0.19, True","31.00, 0.20, True","46.00, 0.28, True","30.00, 0.19, True","33.00, 0.21, True","26.00, 0.14, True","41.00, 0.22, True","39.00, 0.21, True","40.00, 0.21, True","32.00, 0.17, True","39.00, 0.15, True","37.00, 0.14, True","39.00, 0.15, True","31.00, 0.07, True","38.00, 0.08, True","29.00, 0.05, True","32.00, 0.05, True","31.00, 0.04, True","37.00, 0.04, True","28.00, 0.01, True","29.00, 0.01, True",A,0.34
template_0,"29.00, 0.53, False","34.00, 0.81, False","25.00, 0.78, False","38.00, 0.91, False","34.00, 0.90, False","43.00, 0.92, False","29.00, 1.00, True",None,"20.00, 1.00, True","24.00, 1.00, True","28.00, 0.90, True","34.00, 0.90, True","32.00, 0.90, True","25.00, 0.78, True","19.00, 0.76, True","19.00, 0.64, True","30.00, 0.71, True","24.00, 0.58, True","37.00, 0.65, True","34.00, 0.64, True","24.00, 0.50, True","34.00, 0.49, True","23.00, 0.41, True","32.00, 0.48, True","16.00, 0.34, True","34.00, 0.49, True","29.00, 0.46, True","34.00, 0.42, True","31.00, 0.40, True","35.00, 0.37, True","24.00, 0.29, True","37.00, 0.38, True","35.00, 0.31, True","34.00, 0.31, True","36.00, 0.27, True","32.00, 0.21, True","34.00, 0.22, True","38.00, 0.24, True","28.00, 0.18, True","35.00, 0.22, True","30.00, 0.16, True","35.00, 0.19, True","28.00, 0.15, True","39.00, 0.21, True","31.00, 0.17, True","32.00, 0.11, True","29.00, 0.10, True","34.00, 0.12, True","32.00, 0.07, True","36.00, 0.07, True","32.00, 0.06, True","34.00, 0.05, True","29.00, 0.03, True","32.00, 0.03, True","27.00, 0.01, True","23.00, 0.01, True",A,0.34
template_12,"26.00, 0.43, False","27.00, 0.69, False","28.00, 0.70, False","30.00, 0.80, False","35.00, 0.82, False","41.00, 0.83, False","28.00, 1.00, False","20.00, 1.00, False",None,"28.00, 1.00, None","29.00, 1.00, True","23.00, 1.00, True","32.00, 1.00, True","26.00, 0.89, True","14.00, 0.86, True","20.00, 0.76, True","31.00, 0.80, True","21.00, 0.66, True","37.00, 0.73, True","34.00, 0.72, True","23.00, 0.58, True","29.00, 0.53, True","25.00, 0.50, True","29.00, 0.53, True","15.00, 0.41, True","25.00, 0.50, True","27.00, 0.52, True","34.00, 0.49, True","30.00, 0.46, True","32.00, 0.41, True","27.00, 0.37, True","34.00, 0.42, True","30.00, 0.34, True","31.00, 0.34, True","33.00, 0.30, True","26.00, 0.21, True","34.00, 0.26, True","34.00, 0.26, True","23.00, 0.18, True","35.00, 0.27, True","23.00, 0.15, True","33.00, 0.21, True","30.00, 0.19, True","36.00, 0.23, True","36.00, 0.23, True","30.00, 0.13, True","29.00, 0.12, True","32.00, 0.14, True","31.00, 0.09, True","32.00, 0.07, True","31.00, 0.07, True","33.00, 0.06, True","26.00, 0.03, True","28.00, 0.03, True","32.00, 0.02, True","25.00, 0.01, True",A,0.336
template_14,"15.00, 0.32, False","37.00, 0.73, False","13.00, 0.58, False","39.00, 0.82, False","40.00, 0.83, False","49.00, 0.84, False","13.00, 1.00, False","24.00, 1.00, False","28.00, 1.00, True",None,"15.00, 1.00, True","33.00, 1.00, True","36.00, 1.00, True","15.00, 0.86, True","24.00, 0.89, True","24.00, 0.78, True","36.00, 0.82, True","29.00, 0.70, True","41.00, 0.75, True","43.00, 0.75, True","31.00, 0.63, True","36.00, 0.57, True","28.00, 0.53, True","33.00, 0.56, True","25.00, 0.50, True","38.00, 0.58, True","35.00, 0.57, True","42.00, 0.53, True","42.00, 0.53, True","38.00, 0.45, True","17.00, 0.28, True","43.00, 0.47, True","37.00, 0.38, True","46.00, 0.43, True","42.00, 0.35, True","32.00, 0.25, True","34.00, 0.26, True","42.00, 0.30, True","31.00, 0.24, True","34.00, 0.26, True","32.00, 0.21, True","43.00, 0.27, True","37.00, 0.24, True","41.00, 0.26, True","35.00, 0.22, True","36.00, 0.16, True","38.00, 0.17, True","35.00, 0.16, True","30.00, 0.08, True","37.00, 0.09, True","31.00, 0.07, True","34.00, 0.07, True","29.00, 0.04, True","35.00, 0.04, True","29.00, 0.02, True","31.00, 0.02, True",A,0.336
