"statistic, pvalue, row is better than column",best set: template_29,template_45,template_35,template_33,template_3,template_37,template_31,template_47,template_44,template_49,template_53,template_51,template_41,template_2,template_39,template_46,template_28,template_30,template_34,template_48,template_55,template_42,template_50,template_36,template_52,template_32,template_38,template_54,template_40,template_17,template_7,template_43,template_9,template_8,template_23,template_5,template_13,template_11,template_16,template_12,template_4,template_1,template_6,template_25,template_27,template_21,template_10,template_19,template_22,template_15,template_24,template_20,template_18,template_0,template_14,template_26,group,accuracy
template_29,None,"45.00, 1.00, True","29.00, 0.90, True","27.00, 0.69, True","45.00, 0.61, True","24.00, 0.35, True","30.00, 0.34, True","32.00, 0.30, True","46.00, 0.24, True","27.00, 0.14, True","30.00, 0.11, True","31.00, 0.11, True","24.00, 0.05, True","46.00, 0.09, True","29.00, 0.04, True","45.00, 0.08, True","39.00, 0.02, True","35.00, 0.01, True","33.00, 0.00, True","40.00, 0.01, True","23.00, 0.00, True","45.00, 0.01, True","40.00, 0.00, True","31.00, 0.00, True","41.00, 0.00, True","30.00, 0.00, True","34.00, 0.00, True","37.00, 0.00, True","26.00, 0.00, True","31.00, 0.00, True","30.00, 0.00, True","25.00, 0.00, True","28.00, 0.00, True","37.00, 0.00, True","32.00, 0.00, True","30.00, 0.00, True","26.00, 0.00, True","29.00, 0.00, True","35.00, 0.00, True","31.00, 0.00, True","35.00, 0.00, True","34.00, 0.00, True","33.00, 0.00, True","30.00, 0.00, True","30.00, 0.00, True","30.00, 0.00, True","34.00, 0.00, True","30.00, 0.00, True","32.00, 0.00, True","29.00, 0.00, True","30.00, 0.00, True","31.00, 0.00, True","30.00, 0.00, True","33.00, 0.00, True","29.00, 0.00, True","27.00, 0.00, True",A,0.434
template_45,"45.00, 1.00, False",None,"46.00, 1.00, True","39.00, 0.82, True","32.00, 0.63, True","32.00, 0.48, True","30.00, 0.40, True","35.00, 0.37, True","43.00, 0.27, True","33.00, 0.21, True","35.00, 0.16, True","25.00, 0.10, True","41.00, 0.13, True","48.00, 0.11, True","41.00, 0.09, True","53.00, 0.13, True","38.00, 0.03, True","40.00, 0.02, True","34.00, 0.01, True","43.00, 0.01, True","27.00, 0.00, True","42.00, 0.01, True","39.00, 0.01, True","34.00, 0.00, True","40.00, 0.00, True","33.00, 0.00, True","32.00, 0.00, True","38.00, 0.00, True","28.00, 0.00, True","28.00, 0.00, True","27.00, 0.00, True","36.00, 0.00, True","24.00, 0.00, True","42.00, 0.00, True","25.00, 0.00, True","24.00, 0.00, True","20.00, 0.00, True","27.00, 0.00, True","40.00, 0.00, True","36.00, 0.00, True","39.00, 0.00, True","30.00, 0.00, True","38.00, 0.00, True","27.00, 0.00, True","24.00, 0.00, True","25.00, 0.00, True","37.00, 0.00, True","25.00, 0.00, True","36.00, 0.00, True","27.00, 0.00, True","36.00, 0.00, True","37.00, 0.00, True","34.00, 0.00, True","33.00, 0.00, True","36.00, 0.00, True","32.00, 0.00, True",A,0.43
template_35,"29.00, 0.90, False","46.00, 1.00, False",None,"23.00, 0.89, True","45.00, 0.76, True","23.00, 0.49, True","29.00, 0.46, True","38.00, 0.45, True","45.00, 0.32, True","29.00, 0.23, True","33.00, 0.18, True","31.00, 0.17, True","19.00, 0.05, True","44.00, 0.12, True","25.00, 0.05, True","41.00, 0.11, True","40.00, 0.04, True","35.00, 0.02, True","34.00, 0.01, True","37.00, 0.01, True","24.00, 0.00, True","43.00, 0.01, True","38.00, 0.01, True","33.00, 0.00, True","35.00, 0.00, True","28.00, 0.00, True","33.00, 0.00, True","33.00, 0.00, True","23.00, 0.00, True","31.00, 0.00, True","32.00, 0.00, True","28.00, 0.00, True","31.00, 0.00, True","40.00, 0.00, True","32.00, 0.00, True","33.00, 0.00, True","28.00, 0.00, True","28.00, 0.00, True","35.00, 0.00, True","31.00, 0.00, True","35.00, 0.00, True","34.00, 0.00, True","36.00, 0.00, True","31.00, 0.00, True","29.00, 0.00, True","30.00, 0.00, True","34.00, 0.00, True","29.00, 0.00, True","31.00, 0.00, True","31.00, 0.00, True","31.00, 0.00, True","31.00, 0.00, True","29.00, 0.00, True","28.00, 0.00, True","30.00, 0.00, True","27.00, 0.00, True",A,0.426
template_33,"27.00, 0.69, False","39.00, 0.82, False","23.00, 0.89, False",None,"42.00, 0.91, True","24.00, 0.68, True","29.00, 0.61, True","39.00, 0.59, True","46.00, 0.43, True","32.00, 0.35, True","34.00, 0.26, True","34.00, 0.26, True","23.00, 0.12, True","46.00, 0.18, True","31.00, 0.11, True","42.00, 0.16, True","36.00, 0.05, True","33.00, 0.03, True","29.00, 0.01, True","38.00, 0.01, True","25.00, 0.00, True","42.00, 0.01, True","37.00, 0.01, True","30.00, 0.00, True","33.00, 0.00, True","28.00, 0.00, True","31.00, 0.00, True","34.00, 0.00, True","25.00, 0.00, True","29.00, 0.00, True","27.00, 0.00, True","32.00, 0.00, True","25.00, 0.00, True","38.00, 0.00, True","29.00, 0.00, True","28.00, 0.00, True","23.00, 0.00, True","26.00, 0.00, True","38.00, 0.00, True","32.00, 0.00, True","37.00, 0.00, True","30.00, 0.00, True","35.00, 0.00, True","29.00, 0.00, True","27.00, 0.00, True","28.00, 0.00, True","34.00, 0.00, True","28.00, 0.00, True","33.00, 0.00, True","30.00, 0.00, True","32.00, 0.00, True","33.00, 0.00, True","31.00, 0.00, True","32.00, 0.00, True","32.00, 0.00, True","28.00, 0.00, True",A,0.419
template_3,"45.00, 0.61, False","32.00, 0.63, False","45.00, 0.76, False","42.00, 0.91, False",None,"42.00, 0.91, True","36.00, 0.82, True","46.00, 0.76, True","47.00, 0.55, True","45.00, 0.54, True","44.00, 0.42, True","32.00, 0.35, True","42.00, 0.30, True","37.00, 0.20, True","50.00, 0.26, True","56.00, 0.28, True","47.00, 0.11, True","43.00, 0.08, True","45.00, 0.04, True","47.00, 0.03, True","38.00, 0.02, True","48.00, 0.03, True","42.00, 0.02, True","42.00, 0.01, True","46.00, 0.01, True","42.00, 0.01, True","41.00, 0.00, True","43.00, 0.00, True","39.00, 0.00, True","17.00, 0.00, True","18.00, 0.00, True","41.00, 0.00, True","16.00, 0.00, True","42.00, 0.00, True","17.00, 0.00, True","17.00, 0.00, True","20.00, 0.00, True","20.00, 0.00, True","43.00, 0.00, True","39.00, 0.00, True","42.00, 0.00, True","22.00, 0.00, True","40.00, 0.00, True","16.00, 0.00, True","15.00, 0.00, True","16.00, 0.00, True","39.00, 0.00, True","16.00, 0.00, True","38.00, 0.00, True","16.00, 0.00, True","38.00, 0.00, True","39.00, 0.00, True","37.00, 0.00, True","33.00, 0.00, True","36.00, 0.00, True","36.00, 0.00, True",A,0.412
template_37,"24.00, 0.35, False","32.00, 0.48, False","23.00, 0.49, False","24.00, 0.68, False","42.00, 0.91, False",None,"30.00, 1.00, True","43.00, 0.92, True","49.00, 0.69, True","35.00, 0.64, True","37.00, 0.51, True","30.00, 0.46, True","27.00, 0.31, True","50.00, 0.34, True","27.00, 0.21, True","46.00, 0.32, True","36.00, 0.11, True","36.00, 0.09, True","32.00, 0.03, True","40.00, 0.04, True","29.00, 0.01, True","44.00, 0.04, True","34.00, 0.02, True","28.00, 0.01, True","35.00, 0.01, True","28.00, 0.00, True","32.00, 0.00, True","33.00, 0.00, True","25.00, 0.00, True","30.00, 0.00, True","29.00, 0.00, True","37.00, 0.00, True","26.00, 0.00, True","42.00, 0.00, True","28.00, 0.00, True","30.00, 0.00, True","25.00, 0.00, True","27.00, 0.00, True","36.00, 0.00, True","36.00, 0.00, True","40.00, 0.00, True","33.00, 0.00, True","38.00, 0.00, True","28.00, 0.00, True","27.00, 0.00, True","27.00, 0.00, True","38.00, 0.00, True","27.00, 0.00, True","32.00, 0.00, True","29.00, 0.00, True","32.00, 0.00, True","33.00, 0.00, True","31.00, 0.00, True","35.00, 0.00, True","33.00, 0.00, True","28.00, 0.00, True",A,0.404
template_31,"30.00, 0.34, False","30.00, 0.40, False","29.00, 0.46, False","29.00, 0.61, False","36.00, 0.82, False","30.00, 1.00, False",None,"46.00, 1.00, True","46.00, 0.76, True","37.00, 0.73, True","37.00, 0.58, True","34.00, 0.56, True","32.00, 0.41, True","48.00, 0.38, True","36.00, 0.32, True","54.00, 0.41, True","43.00, 0.16, True","33.00, 0.10, True","36.00, 0.05, True","44.00, 0.05, True","33.00, 0.02, True","53.00, 0.06, True","39.00, 0.04, True","35.00, 0.02, True","42.00, 0.02, True","34.00, 0.01, True","36.00, 0.00, True","36.00, 0.00, True","29.00, 0.00, True","26.00, 0.00, True","28.00, 0.00, True","36.00, 0.00, True","22.00, 0.00, True","37.00, 0.00, True","26.00, 0.00, True","28.00, 0.00, True","24.00, 0.00, True","24.00, 0.00, True","36.00, 0.00, True","33.00, 0.00, True","37.00, 0.00, True","29.00, 0.00, True","35.00, 0.00, True","25.00, 0.00, True","23.00, 0.00, True","25.00, 0.00, True","34.00, 0.00, True","24.00, 0.00, True","32.00, 0.00, True","25.00, 0.00, True","33.00, 0.00, True","33.00, 0.00, True","30.00, 0.00, True","32.00, 0.00, True","31.00, 0.00, True","29.00, 0.00, True",A,0.401
template_47,"32.00, 0.30, False","35.00, 0.37, False","38.00, 0.45, False","39.00, 0.59, False","46.00, 0.76, False","43.00, 0.92, False","46.00, 1.00, False",None,"53.00, 0.85, True","29.00, 0.80, True","33.00, 0.64, True","28.00, 0.61, True","42.00, 0.53, True","51.00, 0.45, True","42.00, 0.41, True","48.00, 0.44, True","42.00, 0.19, True","42.00, 0.16, True","38.00, 0.06, True","44.00, 0.07, True","17.00, 0.01, True","47.00, 0.06, True","45.00, 0.06, True","38.00, 0.03, True","38.00, 0.02, True","35.00, 0.01, True","37.00, 0.01, True","35.00, 0.00, True","35.00, 0.00, True","40.00, 0.00, True","36.00, 0.00, True","25.00, 0.00, True","35.00, 0.00, True","39.00, 0.00, True","37.00, 0.00, True","34.00, 0.00, True","29.00, 0.00, True","33.00, 0.00, True","40.00, 0.00, True","35.00, 0.00, True","37.00, 0.00, True","37.00, 0.00, True","36.00, 0.00, True","38.00, 0.00, True","35.00, 0.00, True","37.00, 0.00, True","35.00, 0.00, True","37.00, 0.00, True","36.00, 0.00, True","37.00, 0.00, True","35.00, 0.00, True","36.00, 0.00, True","35.00, 0.00, True","32.00, 0.00, True","34.00, 0.00, True","33.00, 0.00, True",A,0.397
template_44,"46.00, 0.24, False","43.00, 0.27, False","45.00, 0.32, False","46.00, 0.43, False","47.00, 0.55, False","49.00, 0.69, False","46.00, 0.76, False","53.00, 0.85, False",None,"56.00, 1.00, None","52.00, 0.92, True","52.00, 0.92, True","49.00, 0.77, True","32.00, 0.55, True","51.00, 0.63, True","35.00, 0.57, True","40.00, 0.29, True","30.00, 0.19, True","38.00, 0.12, True","36.00, 0.09, True","49.00, 0.11, True","40.00, 0.09, True","31.00, 0.06, True","31.00, 0.04, True","33.00, 0.03, True","28.00, 0.02, True","36.00, 0.01, True","25.00, 0.00, True","33.00, 0.01, True","37.00, 0.00, True","34.00, 0.00, True","43.00, 0.00, True","32.00, 0.00, True","25.00, 0.00, True","35.00, 0.00, True","32.00, 0.00, True","31.00, 0.00, True","33.00, 0.00, True","25.00, 0.00, True","23.00, 0.00, True","22.00, 0.00, True","33.00, 0.00, True","24.00, 0.00, True","34.00, 0.00, True","32.00, 0.00, True","32.00, 0.00, True","22.00, 0.00, True","32.00, 0.00, True","22.00, 0.00, True","34.00, 0.00, True","25.00, 0.00, True","24.00, 0.00, True","21.00, 0.00, True","21.00, 0.00, True","22.00, 0.00, True","20.00, 0.00, True",A,0.386
template_49,"27.00, 0.14, False","33.00, 0.21, False","29.00, 0.23, False","32.00, 0.35, False","45.00, 0.54, False","35.00, 0.64, False","37.00, 0.73, False","29.00, 0.80, False","56.00, 1.00, True",None,"28.00, 0.90, True","29.00, 0.90, True","39.00, 0.74, True","50.00, 0.63, True","30.00, 0.54, True","49.00, 0.62, True","45.00, 0.32, True","40.00, 0.25, True","42.00, 0.13, True","40.00, 0.10, True","26.00, 0.04, True","46.00, 0.10, True","45.00, 0.10, True","39.00, 0.05, True","40.00, 0.05, True","37.00, 0.03, True","37.00, 0.01, True","36.00, 0.01, True","31.00, 0.00, True","42.00, 0.00, True","40.00, 0.00, True","27.00, 0.00, True","39.00, 0.00, True","37.00, 0.00, True","40.00, 0.00, True","42.00, 0.00, True","38.00, 0.00, True","39.00, 0.00, True","34.00, 0.00, True","32.00, 0.00, True","32.00, 0.00, True","43.00, 0.00, True","31.00, 0.00, True","41.00, 0.00, True","39.00, 0.00, True","40.00, 0.00, True","36.00, 0.00, True","40.00, 0.00, True","31.00, 0.00, True","42.00, 0.00, True","30.00, 0.00, True","31.00, 0.00, True","29.00, 0.00, True","31.00, 0.00, True","31.00, 0.00, True","28.00, 0.00, True",A,0.386
