"statistic, pvalue, row is better than column",best set: template_30,template_28,template_6,template_44,template_16,template_2,template_3,template_1,template_36,template_14,template_26,template_53,template_55,template_5,template_7,template_18,template_33,template_35,template_22,template_12,template_8,template_29,template_34,template_41,template_23,template_51,template_20,template_19,template_24,template_4,template_0,template_42,template_39,template_40,template_31,template_27,template_11,template_13,template_37,template_10,template_32,template_15,template_17,template_25,template_9,template_21,template_38,template_47,template_49,template_45,template_43,template_46,template_48,template_50,template_52,template_54,group,accuracy
template_30,None,"13.00, 1.00, True","17.00, 0.87, True","13.00, 0.58, True","13.00, 0.58, True","11.00, 0.56, True","24.00, 0.68, True","22.00, 0.57, True","10.00, 0.42, True","16.00, 0.51, True","16.00, 0.51, True","24.00, 0.58, True","25.00, 0.59, True","24.00, 0.58, True","21.00, 0.47, True","14.00, 0.39, True","21.00, 0.47, True","20.00, 0.38, True","17.00, 0.35, True","15.00, 0.32, True","15.00, 0.26, True","17.00, 0.28, True","8.00, 0.15, True","20.00, 0.31, True","21.00, 0.32, True","22.00, 0.33, True","13.00, 0.23, True","20.00, 0.31, True","16.00, 0.21, True","11.00, 0.15, True","14.00, 0.19, True","8.00, 0.08, True","19.00, 0.19, True","10.00, 0.10, True","19.00, 0.19, True","20.00, 0.20, True","21.00, 0.17, True","19.00, 0.15, True","17.00, 0.14, True","13.00, 0.07, True","7.00, 0.03, True","17.00, 0.10, True","20.00, 0.13, True","20.00, 0.13, True","21.00, 0.13, True","19.00, 0.12, True","8.00, 0.02, True","19.00, 0.07, True","20.00, 0.08, True","18.00, 0.05, True","17.00, 0.04, True","10.00, 0.01, True","9.00, 0.01, True","8.00, 0.00, True","8.00, 0.00, True","8.00, 0.00, True",A,0.357
template_28,"13.00, 1.00, False",None,"13.00, 1.00, True","17.00, 0.74, True","10.00, 0.68, True","12.00, 0.70, True","23.00, 0.78, True","24.00, 0.68, True","5.00, 0.42, True","4.00, 0.39, True","7.00, 0.48, True","21.00, 0.66, True","22.00, 0.67, True","22.00, 0.67, True","23.00, 0.58, True","6.00, 0.33, True","19.00, 0.54, True","18.00, 0.44, True","9.00, 0.31, True","10.00, 0.33, True","8.00, 0.21, True","17.00, 0.35, True","6.00, 0.17, True","19.00, 0.37, True","21.00, 0.39, True","21.00, 0.39, True","3.00, 0.09, True","20.00, 0.38, True","7.00, 0.13, True","6.00, 0.12, True","7.00, 0.13, True","9.00, 0.12, True","19.00, 0.24, True","4.00, 0.05, True","17.00, 0.22, True","20.00, 0.25, True","18.00, 0.18, True","18.00, 0.18, True","16.00, 0.16, True","7.00, 0.04, True","5.00, 0.03, True","19.00, 0.15, True","18.00, 0.14, True","20.00, 0.16, True","19.00, 0.15, True","19.00, 0.15, True","1.00, 0.00, True","17.00, 0.08, True","18.00, 0.09, True","18.00, 0.06, True","16.00, 0.05, True","9.00, 0.01, True","9.00, 0.01, True","10.00, 0.01, True","8.00, 0.00, True","7.00, 0.00, True",A,0.349
template_6,"17.00, 0.87, False","13.00, 1.00, False",None,"20.00, 0.88, True","12.00, 0.85, True","10.00, 0.83, True","25.00, 0.89, True","21.00, 0.77, True","10.00, 0.68, True","12.00, 0.70, True","11.00, 0.69, True","24.00, 0.78, True","23.00, 0.78, True","20.00, 0.76, True","22.00, 0.67, True","10.00, 0.54, True","21.00, 0.66, True","19.00, 0.54, True","9.00, 0.40, True","8.00, 0.38, True","7.00, 0.26, True","19.00, 0.45, True","6.00, 0.24, True","18.00, 0.44, True","19.00, 0.45, True","23.00, 0.49, True","8.00, 0.29, True","19.00, 0.45, True","11.00, 0.26, True","7.00, 0.19, True","7.00, 0.19, True","13.00, 0.23, True","18.00, 0.29, True","8.00, 0.15, True","20.00, 0.31, True","19.00, 0.30, True","18.00, 0.23, True","20.00, 0.25, True","17.00, 0.22, True","5.00, 0.04, True","6.00, 0.05, True","18.00, 0.18, True","20.00, 0.20, True","18.00, 0.18, True","18.00, 0.18, True","17.00, 0.17, True","6.00, 0.03, True","18.00, 0.11, True","21.00, 0.13, True","19.00, 0.09, True","17.00, 0.08, True","8.00, 0.02, True","10.00, 0.02, True","7.00, 0.01, True","10.00, 0.01, True","8.00, 0.00, True",A,0.341
template_44,"13.00, 0.58, False","17.00, 0.74, False","20.00, 0.88, False",None,"20.00, 1.00, None","20.00, 1.00, None","24.00, 1.00, None","26.00, 1.00, True","18.00, 1.00, True","22.00, 1.00, True","22.00, 1.00, True","25.00, 1.00, True","26.00, 1.00, True","24.00, 1.00, True","23.00, 0.89, True","22.00, 0.88, True","21.00, 0.88, True","21.00, 0.77, True","24.00, 0.78, True","21.00, 0.77, True","21.00, 0.66, True","18.00, 0.64, True","14.00, 0.60, True","21.00, 0.66, True","23.00, 0.67, True","22.00, 0.67, True","18.00, 0.64, True","22.00, 0.67, True","23.00, 0.58, True","18.00, 0.53, True","18.00, 0.53, True","10.00, 0.33, True","21.00, 0.47, True","18.00, 0.44, True","17.00, 0.43, True","22.00, 0.48, True","23.00, 0.41, True","23.00, 0.41, True","17.00, 0.35, True","18.00, 0.29, True","12.00, 0.22, True","20.00, 0.31, True","20.00, 0.31, True","22.00, 0.33, True","22.00, 0.33, True","21.00, 0.32, True","15.00, 0.20, True","18.00, 0.18, True","19.00, 0.19, True","15.00, 0.12, True","16.00, 0.13, True","9.00, 0.04, True","7.00, 0.02, True","9.00, 0.02, True","9.00, 0.01, True","8.00, 0.00, True",A,0.325
template_16,"13.00, 0.58, False","10.00, 0.68, False","12.00, 0.85, False","20.00, 1.00, True",None,"11.00, 1.00, None","23.00, 1.00, None","22.00, 1.00, True","9.00, 1.00, True","11.00, 1.00, True","11.00, 1.00, True","23.00, 1.00, True","25.00, 1.00, True","21.00, 1.00, True","22.00, 0.88, True","9.00, 0.82, True","19.00, 0.87, True","17.00, 0.74, True","9.00, 0.66, True","12.00, 0.70, True","9.00, 0.52, True","18.00, 0.64, True","9.00, 0.52, True","21.00, 0.66, True","20.00, 0.65, True","21.00, 0.66, True","7.00, 0.48, True","20.00, 0.65, True","10.00, 0.42, True","8.00, 0.38, True","10.00, 0.42, True","14.00, 0.39, True","19.00, 0.45, True","7.00, 0.26, True","16.00, 0.42, True","20.00, 0.46, True","18.00, 0.36, True","18.00, 0.36, True","15.00, 0.32, True","8.00, 0.15, True","10.00, 0.18, True","18.00, 0.29, True","19.00, 0.30, True","19.00, 0.30, True","18.00, 0.29, True","18.00, 0.29, True","5.00, 0.06, True","19.00, 0.19, True","20.00, 0.20, True","19.00, 0.15, True","17.00, 0.14, True","13.00, 0.07, True","13.00, 0.05, True","13.00, 0.04, True","10.00, 0.01, True","11.00, 0.00, True",A,0.325
template_2,"11.00, 0.56, False","12.00, 0.70, False","10.00, 0.83, False","20.00, 1.00, True","11.00, 1.00, True",None,"24.00, 1.00, None","23.00, 1.00, True","12.00, 1.00, True","14.00, 1.00, True","15.00, 1.00, True","24.00, 1.00, True","23.00, 1.00, True","23.00, 1.00, True","21.00, 0.88, True","12.00, 0.85, True","19.00, 0.87, True","18.00, 0.75, True","13.00, 0.71, True","11.00, 0.69, True","10.00, 0.54, True","20.00, 0.65, True","10.00, 0.54, True","21.00, 0.66, True","22.00, 0.67, True","21.00, 0.66, True","13.00, 0.58, True","21.00, 0.66, True","14.00, 0.49, True","8.00, 0.38, True","11.00, 0.44, True","12.00, 0.36, True","20.00, 0.46, True","10.00, 0.33, True","20.00, 0.46, True","21.00, 0.47, True","21.00, 0.39, True","20.00, 0.38, True","20.00, 0.38, True","10.00, 0.18, True","9.00, 0.17, True","20.00, 0.31, True","19.00, 0.30, True","21.00, 0.32, True","21.00, 0.32, True","20.00, 0.31, True","9.00, 0.12, True","18.00, 0.18, True","20.00, 0.20, True","19.00, 0.15, True","16.00, 0.13, True","11.00, 0.06, True","11.00, 0.04, True","9.00, 0.02, True","10.00, 0.01, True","8.00, 0.00, True",A,0.325
template_3,"24.00, 0.68, False","23.00, 0.78, False","25.00, 0.89, False","24.00, 1.00, True","23.00, 1.00, True","24.00, 1.00, True",None,"21.00, 1.00, True","24.00, 1.00, True","23.00, 1.00, True","25.00, 1.00, True","17.00, 1.00, True","19.00, 1.00, True","17.00, 1.00, True","19.00, 0.87, True","23.00, 0.89, True","20.00, 0.88, True","17.00, 0.74, True","21.00, 0.77, True","23.00, 0.78, True","21.00, 0.66, True","20.00, 0.65, True","21.00, 0.66, True","19.00, 0.64, True","17.00, 0.63, True","15.00, 0.61, True","22.00, 0.67, True","19.00, 0.64, True","21.00, 0.56, True","20.00, 0.55, True","20.00, 0.55, True","22.00, 0.48, True","20.00, 0.46, True","22.00, 0.48, True","15.00, 0.41, True","17.00, 0.43, True","17.00, 0.35, True","14.00, 0.31, True","17.00, 0.35, True","19.00, 0.30, True","20.00, 0.31, True","18.00, 0.29, True","3.00, 0.06, True","19.00, 0.30, True","15.00, 0.26, True","17.00, 0.28, True","19.00, 0.24, True","17.00, 0.17, True","17.00, 0.17, True","13.00, 0.10, True","15.00, 0.12, True","19.00, 0.12, True","17.00, 0.08, True","19.00, 0.07, True","15.00, 0.03, True","13.00, 0.00, True",A,0.325
template_1,"22.00, 0.57, False","24.00, 0.68, False","21.00, 0.77, False","26.00, 1.00, False","22.00, 1.00, False","23.00, 1.00, False","21.00, 1.00, False",None,"25.00, 1.00, None","25.00, 1.00, None","25.00, 1.00, None","26.00, 1.00, None","28.00, 1.00, None","9.00, 1.00, None","7.00, 1.00, True","24.00, 1.00, True","17.00, 1.00, True","14.00, 0.86, True","22.00, 0.88, True","22.00, 0.88, True","19.00, 0.76, True","11.00, 0.69, True","22.00, 0.77, True","12.00, 0.70, True","8.00, 0.65, True","25.00, 0.78, True","22.00, 0.77, True","8.00, 0.65, True","24.00, 0.68, True","21.00, 0.66, True","23.00, 0.67, True","23.00, 0.58, True","10.00, 0.42, True","22.00, 0.57, True","22.00, 0.57, True","5.00, 0.30, True","4.00, 0.18, True","5.00, 0.21, True","11.00, 0.34, True","19.00, 0.37, True","20.00, 0.38, True","4.00, 0.12, True","14.00, 0.31, True","5.00, 0.14, True","4.00, 0.12, True","5.00, 0.14, True","21.00, 0.32, True","21.00, 0.26, True","20.00, 0.25, True","22.00, 0.22, True","18.00, 0.18, True","19.00, 0.15, True","19.00, 0.12, True","17.00, 0.08, True","17.00, 0.04, True","16.00, 0.01, True",A,0.317
template_36,"10.00, 0.42, False","5.00, 0.42, False","10.00, 0.68, False","18.00, 1.00, False","9.00, 1.00, False","12.00, 1.00, False","24.00, 1.00, False","25.00, 1.00, True",None,"9.00, 1.00, None","9.00, 1.00, None","24.00, 1.00, None","25.00, 1.00, None","24.00, 1.00, None","23.00, 1.00, True","10.00, 1.00, True","20.00, 1.00, True","18.00, 0.87, True","10.00, 0.83, True","9.00, 0.82, True","8.00, 0.65, True","19.00, 0.76, True","4.00, 0.55, True","21.00, 0.77, True","22.00, 0.77, True","23.00, 0.78, True","7.00, 0.63, True","21.00, 0.77, True","9.00, 0.52, True","6.00, 0.45, True","6.00, 0.45, True","11.00, 0.44, True","21.00, 0.56, True","3.00, 0.23, True","20.00, 0.55, True","22.00, 0.57, True","22.00, 0.48, True","22.00, 0.48, True","18.00, 0.44, True","6.00, 0.17, True","4.00, 0.12, True","20.00, 0.38, True","19.00, 0.37, True","21.00, 0.39, True","21.00, 0.39, True","20.00, 0.38, True","0.00, 0.01, True","19.00, 0.24, True","21.00, 0.26, True","20.00, 0.20, True","19.00, 0.19, True","9.00, 0.06, True","10.00, 0.05, True","10.00, 0.04, True","9.00, 0.01, True","9.00, 0.00, True",A,0.317
template_14,"16.00, 0.51, False","4.00, 0.39, False","12.00, 0.70, False","22.00, 1.00, False","11.00, 1.00, False","14.00, 1.00, False","23.00, 1.00, False","25.00, 1.00, True","9.00, 1.00, True",None,"5.00, 1.00, None","22.00, 1.00, None","23.00, 1.00, None","23.00, 1.00, None","23.00, 1.00, True","4.00, 1.00, True","21.00, 1.00, True","21.00, 0.88, True","6.00, 0.79, True","10.00, 0.83, True","7.00, 0.63, True","20.00, 0.76, True","10.00, 0.68, True","20.00, 0.76, True","21.00, 0.77, True","22.00, 0.77, True","4.00, 0.55, True","20.00, 0.76, True","3.00, 0.34, True","6.00, 0.45, True","6.00, 0.45, True","15.00, 0.50, True","20.00, 0.55, True","5.00, 0.30, True","19.00, 0.54, True","21.00, 0.56, True","19.00, 0.45, True","18.00, 0.44, True","19.00, 0.45, True","6.00, 0.17, True","9.00, 0.23, True","20.00, 0.38, True","18.00, 0.36, True","20.00, 0.38, True","19.00, 0.37, True","19.00, 0.37, True","4.00, 0.08, True","19.00, 0.24, True","19.00, 0.24, True","19.00, 0.19, True","19.00, 0.19, True","13.00, 0.10, True","14.00, 0.08, True","15.00, 0.07, True","12.00, 0.02, True","11.00, 0.00, True",A,0.317
