"statistic, pvalue, row is better than column",best set: template_34,template_32,template_12,template_28,template_31,template_3,template_36,template_20,template_40,template_6,template_30,template_16,template_41,template_38,template_4,template_8,template_35,template_18,template_26,template_45,template_10,template_2,template_29,template_17,template_14,template_33,template_39,template_37,template_49,template_48,template_51,template_9,template_52,template_24,template_46,template_54,template_22,template_50,template_55,template_43,template_23,template_42,template_47,template_0,template_53,template_44,template_11,template_7,template_5,template_25,template_21,template_19,template_1,template_27,template_13,template_15,group,accuracy
template_34,None,"3.00, 0.73, True","8.00, 0.81, True","3.00, 0.73, True","20.00, 0.76, True","19.00, 0.76, True","1.00, 0.22, True","7.00, 0.36, True","3.00, 0.23, True","7.00, 0.36, True","3.00, 0.23, True","6.00, 0.24, True","19.00, 0.45, True","3.00, 0.15, True","7.00, 0.26, True","5.00, 0.21, True","18.00, 0.44, True","8.00, 0.21, True","6.00, 0.17, True","21.00, 0.39, True","4.00, 0.08, True","5.00, 0.06, True","16.00, 0.21, True","17.00, 0.22, True","8.00, 0.11, True","17.00, 0.22, True","17.00, 0.22, True","16.00, 0.21, True","19.00, 0.19, True","2.00, 0.01, True","17.00, 0.17, True","16.00, 0.16, True","7.00, 0.06, True","5.00, 0.03, True","4.00, 0.02, True","4.00, 0.02, True","4.00, 0.02, True","7.00, 0.04, True","19.00, 0.12, True","18.00, 0.11, True","17.00, 0.10, True","9.00, 0.04, True","18.00, 0.11, True","7.00, 0.02, True","16.00, 0.07, True","5.00, 0.01, True","16.00, 0.05, True","13.00, 0.03, True","12.00, 0.02, True","15.00, 0.03, True","16.00, 0.03, True","13.00, 0.01, True","14.00, 0.01, True","13.00, 0.01, True","13.00, 0.01, True","12.00, 0.00, True",A,0.48
template_32,"3.00, 0.73, False",None,"11.00, 1.00, None","6.00, 1.00, None","20.00, 1.00, True","19.00, 1.00, True","3.00, 0.73, True","12.00, 0.70, True","5.00, 0.58, True","11.00, 0.69, True","3.00, 0.51, True","7.00, 0.48, True","19.00, 0.64, True","5.00, 0.42, True","9.00, 0.52, True","8.00, 0.50, True","18.00, 0.64, True","12.00, 0.46, True","9.00, 0.40, True","21.00, 0.56, True","8.00, 0.29, True","6.00, 0.17, True","16.00, 0.34, True","18.00, 0.36, True","12.00, 0.28, True","17.00, 0.35, True","18.00, 0.36, True","16.00, 0.34, True","19.00, 0.30, True","6.00, 0.12, True","17.00, 0.28, True","16.00, 0.27, True","9.00, 0.17, True","10.00, 0.14, True","6.00, 0.08, True","6.00, 0.08, True","7.00, 0.09, True","7.00, 0.09, True","19.00, 0.19, True","18.00, 0.18, True","17.00, 0.17, True","10.00, 0.10, True","17.00, 0.17, True","10.00, 0.07, True","17.00, 0.14, True","5.00, 0.03, True","15.00, 0.09, True","12.00, 0.05, True","11.00, 0.03, True","14.00, 0.04, True","15.00, 0.05, True","13.00, 0.03, True","13.00, 0.02, True","13.00, 0.01, True","12.00, 0.01, True","13.00, 0.00, True",A,0.46
template_12,"8.00, 0.81, False","11.00, 1.00, True",None,"9.00, 1.00, None","24.00, 1.00, True","20.00, 1.00, True","9.00, 0.82, True","4.00, 0.55, True","9.00, 0.66, True","4.00, 0.55, True","11.00, 0.69, True","11.00, 0.56, True","22.00, 0.67, True","11.00, 0.56, True","5.00, 0.42, True","7.00, 0.48, True","22.00, 0.67, True","5.00, 0.30, True","2.00, 0.18, True","22.00, 0.57, True","3.00, 0.15, True","9.00, 0.23, True","19.00, 0.37, True","17.00, 0.35, True","6.00, 0.17, True","21.00, 0.39, True","20.00, 0.38, True","20.00, 0.38, True","22.00, 0.33, True","7.00, 0.13, True","20.00, 0.31, True","17.00, 0.28, True","12.00, 0.22, True","2.00, 0.02, True","6.00, 0.08, True","9.00, 0.12, True","4.00, 0.05, True","11.00, 0.15, True","21.00, 0.21, True","19.00, 0.19, True","17.00, 0.17, True","9.00, 0.09, True","21.00, 0.21, True","6.00, 0.03, True","18.00, 0.14, True","11.00, 0.08, True","16.00, 0.10, True","15.00, 0.07, True","13.00, 0.04, True","15.00, 0.05, True","15.00, 0.05, True","11.00, 0.02, True","13.00, 0.02, True","12.00, 0.01, True","14.00, 0.02, True","13.00, 0.00, True",A,0.46
template_28,"3.00, 0.73, False","6.00, 1.00, True","9.00, 1.00, True",None,"22.00, 1.00, True","21.00, 1.00, True","5.00, 0.77, True","9.00, 0.66, True","7.00, 0.63, True","9.00, 0.66, True","7.00, 0.63, True","9.00, 0.52, True","21.00, 0.66, True","8.00, 0.50, True","9.00, 0.52, True","9.00, 0.52, True","18.00, 0.64, True","7.00, 0.36, True","6.00, 0.33, True","21.00, 0.56, True","7.00, 0.26, True","9.00, 0.23, True","16.00, 0.34, True","18.00, 0.36, True","7.00, 0.19, True","18.00, 0.36, True","20.00, 0.38, True","20.00, 0.38, True","20.00, 0.31, True","5.00, 0.10, True","18.00, 0.29, True","18.00, 0.29, True","11.00, 0.20, True","6.00, 0.08, True","6.00, 0.08, True","9.00, 0.12, True","7.00, 0.09, True","10.00, 0.14, True","20.00, 0.20, True","18.00, 0.18, True","18.00, 0.18, True","7.00, 0.06, True","18.00, 0.18, True","7.00, 0.04, True","18.00, 0.14, True","9.00, 0.06, True","17.00, 0.10, True","14.00, 0.06, True","11.00, 0.03, True","14.00, 0.04, True","15.00, 0.05, True","12.00, 0.02, True","12.00, 0.02, True","14.00, 0.02, True","13.00, 0.01, True","12.00, 0.00, True",A,0.46
template_31,"20.00, 0.76, False","20.00, 1.00, False","24.00, 1.00, False","22.00, 1.00, False",None,"12.00, 1.00, None","19.00, 1.00, True","22.00, 0.88, True","22.00, 0.88, True","22.00, 0.88, True","17.00, 0.87, True","18.00, 0.75, True","6.00, 0.61, True","19.00, 0.76, True","19.00, 0.76, True","18.00, 0.75, True","10.00, 0.68, True","22.00, 0.67, True","22.00, 0.67, True","5.00, 0.42, True","19.00, 0.54, True","17.00, 0.43, True","7.00, 0.26, True","8.00, 0.29, True","20.00, 0.46, True","9.00, 0.31, True","7.00, 0.26, True","6.00, 0.24, True","10.00, 0.25, True","18.00, 0.36, True","7.00, 0.19, True","11.00, 0.26, True","18.00, 0.36, True","19.00, 0.30, True","17.00, 0.28, True","18.00, 0.29, True","18.00, 0.29, True","16.00, 0.27, True","7.00, 0.09, True","10.00, 0.14, True","9.00, 0.12, True","18.00, 0.23, True","10.00, 0.14, True","17.00, 0.17, True","7.00, 0.06, True","15.00, 0.15, True","10.00, 0.07, True","9.00, 0.04, True","8.00, 0.02, True","6.00, 0.01, True","10.00, 0.04, True","10.00, 0.02, True","11.00, 0.02, True","5.00, 0.00, True","5.00, 0.00, True","8.00, 0.00, True",A,0.45
template_3,"19.00, 0.76, False","19.00, 1.00, False","20.00, 1.00, False","21.00, 1.00, False","12.00, 1.00, True",None,"18.00, 1.00, True","20.00, 0.88, True","22.00, 0.88, True","19.00, 0.87, True","17.00, 0.87, True","18.00, 0.75, True","9.00, 0.66, True","17.00, 0.74, True","17.00, 0.74, True","16.00, 0.74, True","9.00, 0.66, True","21.00, 0.66, True","19.00, 0.64, True","8.00, 0.50, True","17.00, 0.52, True","17.00, 0.43, True","7.00, 0.26, True","3.00, 0.15, True","20.00, 0.46, True","7.00, 0.26, True","6.00, 0.24, True","4.00, 0.18, True","12.00, 0.28, True","14.00, 0.31, True","10.00, 0.25, True","7.00, 0.19, True","14.00, 0.31, True","18.00, 0.29, True","13.00, 0.23, True","14.00, 0.24, True","15.00, 0.26, True","13.00, 0.23, True","9.00, 0.12, True","13.00, 0.18, True","8.00, 0.11, True","16.00, 0.21, True","10.00, 0.14, True","15.00, 0.15, True","9.00, 0.09, True","13.00, 0.13, True","7.00, 0.04, True","6.00, 0.02, True","4.00, 0.01, True","6.00, 0.01, True","7.00, 0.02, True","7.00, 0.01, True","9.00, 0.01, True","7.00, 0.01, True","7.00, 0.01, True","8.00, 0.00, True",A,0.45
template_36,"1.00, 0.22, False","3.00, 0.73, False","9.00, 0.82, False","5.00, 0.77, False","19.00, 1.00, False","18.00, 1.00, False",None,"11.00, 1.00, True","4.00, 1.00, True","11.00, 1.00, True","4.00, 1.00, True","6.00, 0.79, True","19.00, 0.87, True","3.00, 0.73, True","9.00, 0.82, True","6.00, 0.79, True","19.00, 0.87, True","11.00, 0.69, True","7.00, 0.63, True","21.00, 0.77, True","5.00, 0.42, True","5.00, 0.30, True","17.00, 0.52, True","18.00, 0.53, True","10.00, 0.42, True","18.00, 0.53, True","18.00, 0.53, True","16.00, 0.51, True","20.00, 0.46, True","5.00, 0.21, True","18.00, 0.44, True","16.00, 0.42, True","8.00, 0.29, True","8.00, 0.21, True","4.00, 0.12, True","4.00, 0.12, True","5.00, 0.14, True","6.00, 0.17, True","19.00, 0.30, True","18.00, 0.29, True","17.00, 0.28, True","10.00, 0.18, True","18.00, 0.29, True","8.00, 0.11, True","17.00, 0.22, True","5.00, 0.06, True","16.00, 0.16, True","14.00, 0.11, True","12.00, 0.07, True","15.00, 0.09, True","16.00, 0.10, True","13.00, 0.05, True","16.00, 0.05, True","13.00, 0.03, True","13.00, 0.03, True","14.00, 0.01, True",A,0.44
template_20,"7.00, 0.36, False","12.00, 0.70, False","4.00, 0.55, False","9.00, 0.66, False","22.00, 0.88, False","20.00, 0.88, False","11.00, 1.00, False",None,"14.00, 1.00, None","3.00, 1.00, None","13.00, 1.00, None","11.00, 1.00, True","23.00, 1.00, True","14.00, 1.00, True","5.00, 1.00, True","9.00, 1.00, True","23.00, 1.00, True","3.00, 0.73, True","7.00, 0.80, True","22.00, 0.88, True","6.00, 0.61, True","9.00, 0.52, True","19.00, 0.64, True","18.00, 0.64, True","5.00, 0.42, True","21.00, 0.66, True","21.00, 0.66, True","21.00, 0.66, True","23.00, 0.58, True","8.00, 0.38, True","20.00, 0.55, True","19.00, 0.54, True","15.00, 0.50, True","1.00, 0.07, True","10.00, 0.33, True","12.00, 0.36, True","4.00, 0.18, True","14.00, 0.39, True","21.00, 0.39, True","19.00, 0.37, True","19.00, 0.37, True","13.00, 0.30, True","22.00, 0.40, True","6.00, 0.12, True","18.00, 0.29, True","10.00, 0.18, True","17.00, 0.22, True","16.00, 0.16, True","14.00, 0.11, True","16.00, 0.13, True","15.00, 0.12, True","13.00, 0.07, True","14.00, 0.06, True","12.00, 0.03, True","14.00, 0.04, True","13.00, 0.01, True",A,0.43
template_40,"3.00, 0.23, False","5.00, 0.58, False","9.00, 0.66, False","7.00, 0.63, False","22.00, 0.88, False","22.00, 0.88, False","4.00, 1.00, False","14.00, 1.00, True",None,"13.00, 1.00, None","8.00, 1.00, None","9.00, 1.00, True","24.00, 1.00, True","5.00, 1.00, True","13.00, 1.00, True","9.00, 1.00, True","24.00, 1.00, True","14.00, 0.86, True","9.00, 0.82, True","24.00, 0.89, True","7.00, 0.63, True","8.00, 0.50, True","21.00, 0.66, True","23.00, 0.67, True","12.00, 0.57, True","23.00, 0.67, True","22.00, 0.67, True","21.00, 0.66, True","22.00, 0.57, True","7.00, 0.36, True","21.00, 0.56, True","20.00, 0.55, True","10.00, 0.42, True","9.00, 0.31, True","5.00, 0.21, True","6.00, 0.24, True","7.00, 0.26, True","9.00, 0.31, True","22.00, 0.40, True","22.00, 0.40, True","21.00, 0.39, True","9.00, 0.23, True","20.00, 0.38, True","11.00, 0.20, True","20.00, 0.31, True","7.00, 0.13, True","21.00, 0.26, True","18.00, 0.18, True","16.00, 0.13, True","20.00, 0.16, True","20.00, 0.16, True","17.00, 0.10, True","18.00, 0.09, True","18.00, 0.06, True","18.00, 0.06, True","17.00, 0.02, True",A,0.43
template_6,"7.00, 0.36, False","11.00, 0.69, False","4.00, 0.55, False","9.00, 0.66, False","22.00, 0.88, False","19.00, 0.87, False","11.00, 1.00, False","3.00, 1.00, True","13.00, 1.00, True",None,"13.00, 1.00, None","11.00, 1.00, True","22.00, 1.00, True","13.00, 1.00, True","3.00, 1.00, True","6.00, 1.00, True","23.00, 1.00, True","5.00, 0.77, True","8.00, 0.81, True","21.00, 0.88, True","4.00, 0.55, True","9.00, 0.52, True","19.00, 0.64, True","18.00, 0.64, True","8.00, 0.50, True","21.00, 0.66, True","19.00, 0.64, True","20.00, 0.65, True","22.00, 0.57, True","6.00, 0.33, True","19.00, 0.54, True","19.00, 0.54, True","13.00, 0.47, True","3.00, 0.15, True","8.00, 0.29, True","10.00, 0.33, True","4.00, 0.18, True","12.00, 0.36, True","20.00, 0.38, True","19.00, 0.37, True","20.00, 0.38, True","11.00, 0.26, True","21.00, 0.39, True","5.00, 0.10, True","17.00, 0.28, True","10.00, 0.18, True","18.00, 0.23, True","16.00, 0.16, True","14.00, 0.11, True","17.00, 0.14, True","17.00, 0.14, True","14.00, 0.08, True","15.00, 0.07, True","13.00, 0.04, True","15.00, 0.05, True","14.00, 0.02, True",A,0.43
