"statistic, pvalue, row is better than column",best set: template_29,template_33,template_21,template_35,template_7,template_6,template_37,template_41,template_18,template_23,template_39,template_17,template_3,template_9,template_49,template_2,template_5,template_11,template_53,template_22,template_51,template_40,template_27,template_4,template_8,template_16,template_38,template_19,template_25,template_24,template_13,template_12,template_20,template_26,template_48,template_31,template_34,template_10,template_32,template_36,template_54,template_46,template_45,template_30,template_52,template_44,template_28,template_47,template_50,template_55,template_1,template_15,template_14,template_0,template_42,template_43,group,accuracy
template_29,None,"7.00, 1.00, True","7.00, 0.80, True","8.00, 0.81, True","5.00, 0.77, True","15.00, 0.73, True","7.00, 0.48, True","9.00, 0.40, True","16.00, 0.51, True","6.00, 0.33, True","7.00, 0.36, True","4.00, 0.27, True","4.00, 0.27, True","7.00, 0.36, True","4.00, 0.18, True","14.00, 0.39, True","5.00, 0.21, True","6.00, 0.24, True","6.00, 0.24, True","15.00, 0.41, True","7.00, 0.19, True","15.00, 0.32, True","6.00, 0.17, True","17.00, 0.35, True","17.00, 0.35, True","13.00, 0.30, True","16.00, 0.27, True","4.00, 0.08, True","5.00, 0.10, True","12.00, 0.22, True","7.00, 0.13, True","15.00, 0.26, True","14.00, 0.19, True","15.00, 0.20, True","15.00, 0.20, True","4.00, 0.05, True","17.00, 0.22, True","13.00, 0.13, True","13.00, 0.13, True","14.00, 0.11, True","15.00, 0.12, True","14.00, 0.11, True","2.00, 0.01, True","11.00, 0.06, True","14.00, 0.08, True","13.00, 0.05, True","11.00, 0.04, True","3.00, 0.00, True","12.00, 0.02, True","6.00, 0.00, True","9.00, 0.01, True","8.00, 0.00, True","11.00, 0.00, True","13.00, 0.00, True","9.00, 0.00, True","7.00, 0.00, True",A,0.772
template_33,"7.00, 1.00, False",None,"10.00, 1.00, True","5.00, 1.00, True","8.00, 1.00, True","16.00, 0.86, True","7.00, 0.63, True","6.00, 0.45, True","20.00, 0.65, True","8.00, 0.50, True","7.00, 0.48, True","9.00, 0.52, True","9.00, 0.52, True","8.00, 0.50, True","7.00, 0.36, True","17.00, 0.52, True","7.00, 0.36, True","9.00, 0.40, True","7.00, 0.36, True","19.00, 0.54, True","7.00, 0.26, True","14.00, 0.39, True","9.00, 0.31, True","20.00, 0.46, True","18.00, 0.44, True","16.00, 0.42, True","15.00, 0.32, True","7.00, 0.19, True","7.00, 0.19, True","15.00, 0.32, True","9.00, 0.23, True","18.00, 0.36, True","16.00, 0.27, True","18.00, 0.29, True","15.00, 0.26, True","4.00, 0.08, True","15.00, 0.26, True","16.00, 0.21, True","13.00, 0.18, True","15.00, 0.15, True","14.00, 0.14, True","15.00, 0.15, True","6.00, 0.05, True","13.00, 0.10, True","14.00, 0.11, True","13.00, 0.07, True","10.00, 0.05, True","4.00, 0.01, True","13.00, 0.04, True","6.00, 0.01, True","11.00, 0.02, True","10.00, 0.01, True","16.00, 0.00, True","14.00, 0.00, True","9.00, 0.00, True","7.00, 0.00, True",A,0.768
template_21,"7.00, 0.80, False","10.00, 1.00, False",None,"11.00, 1.00, None","5.00, 1.00, None","18.00, 1.00, True","8.00, 0.81, True","8.00, 0.65, True","18.00, 0.75, True","5.00, 0.58, True","8.00, 0.65, True","4.00, 0.55, True","4.00, 0.55, True","7.00, 0.63, True","5.00, 0.42, True","17.00, 0.63, True","4.00, 0.39, True","8.00, 0.50, True","9.00, 0.52, True","16.00, 0.62, True","8.00, 0.38, True","17.00, 0.52, True","6.00, 0.33, True","18.00, 0.53, True","17.00, 0.52, True","16.00, 0.51, True","18.00, 0.44, True","2.00, 0.11, True","5.00, 0.21, True","16.00, 0.42, True","5.00, 0.21, True","16.00, 0.42, True","16.00, 0.34, True","18.00, 0.36, True","17.00, 0.35, True","5.00, 0.14, True","20.00, 0.38, True","18.00, 0.29, True","18.00, 0.29, True","17.00, 0.22, True","16.00, 0.21, True","16.00, 0.21, True","3.00, 0.04, True","16.00, 0.16, True","16.00, 0.16, True","14.00, 0.11, True","16.00, 0.13, True","3.00, 0.01, True","13.00, 0.05, True","7.00, 0.01, True","13.00, 0.04, True","11.00, 0.02, True","14.00, 0.00, True","15.00, 0.00, True","12.00, 0.00, True","10.00, 0.00, True",A,0.764
template_35,"8.00, 0.81, False","5.00, 1.00, False","11.00, 1.00, True",None,"12.00, 1.00, None","17.00, 1.00, True","9.00, 0.82, True","10.00, 0.68, True","19.00, 0.76, True","10.00, 0.68, True","10.00, 0.68, True","12.00, 0.70, True","12.00, 0.70, True","10.00, 0.68, True","8.00, 0.50, True","17.00, 0.63, True","8.00, 0.50, True","11.00, 0.56, True","9.00, 0.52, True","17.00, 0.63, True","8.00, 0.38, True","16.00, 0.51, True","12.00, 0.46, True","18.00, 0.53, True","17.00, 0.52, True","15.00, 0.50, True","18.00, 0.44, True","8.00, 0.29, True","11.00, 0.34, True","15.00, 0.41, True","10.00, 0.33, True","16.00, 0.42, True","16.00, 0.34, True","18.00, 0.36, True","16.00, 0.34, True","5.00, 0.14, True","17.00, 0.35, True","16.00, 0.27, True","16.00, 0.27, True","16.00, 0.21, True","15.00, 0.20, True","14.00, 0.19, True","7.00, 0.09, True","14.00, 0.14, True","15.00, 0.15, True","13.00, 0.10, True","12.00, 0.09, True","5.00, 0.02, True","14.00, 0.06, True","9.00, 0.02, True","13.00, 0.04, True","13.00, 0.03, True","14.00, 0.00, True","14.00, 0.00, True","10.00, 0.00, True","9.00, 0.00, True",A,0.764
template_7,"5.00, 0.77, False","8.00, 1.00, False","5.00, 1.00, True","12.00, 1.00, True",None,"17.00, 1.00, True","6.00, 0.79, True","7.00, 0.63, True","17.00, 0.74, True","5.00, 0.58, True","6.00, 0.61, True","2.00, 0.45, True","2.00, 0.45, True","5.00, 0.58, True","5.00, 0.42, True","13.00, 0.58, True","2.00, 0.29, True","5.00, 0.42, True","7.00, 0.48, True","16.00, 0.62, True","8.00, 0.38, True","14.00, 0.49, True","5.00, 0.30, True","16.00, 0.51, True","15.00, 0.50, True","13.00, 0.47, True","15.00, 0.41, True","5.00, 0.21, True","2.00, 0.11, True","14.00, 0.39, True","4.00, 0.18, True","15.00, 0.41, True","15.00, 0.32, True","16.00, 0.34, True","16.00, 0.34, True","5.00, 0.14, True","19.00, 0.37, True","14.00, 0.24, True","16.00, 0.27, True","15.00, 0.20, True","14.00, 0.19, True","15.00, 0.20, True","2.00, 0.02, True","14.00, 0.14, True","13.00, 0.13, True","12.00, 0.09, True","13.00, 0.10, True","2.00, 0.00, True","11.00, 0.04, True","5.00, 0.01, True","9.00, 0.02, True","7.00, 0.01, True","11.00, 0.00, True","11.00, 0.00, True","9.00, 0.00, True","7.00, 0.00, True",A,0.764
template_6,"15.00, 0.73, False","16.00, 0.86, False","18.00, 1.00, False","17.00, 1.00, False","17.00, 1.00, False",None,"20.00, 1.00, True","17.00, 0.87, True","5.00, 0.77, True","18.00, 0.87, True","17.00, 0.87, True","19.00, 0.87, True","19.00, 0.87, True","20.00, 0.88, True","17.00, 0.74, True","8.00, 0.65, True","16.00, 0.74, True","18.00, 0.75, True","17.00, 0.74, True","7.00, 0.63, True","16.00, 0.62, True","9.00, 0.52, True","16.00, 0.62, True","4.00, 0.39, True","8.00, 0.50, True","8.00, 0.50, True","10.00, 0.42, True","15.00, 0.50, True","17.00, 0.52, True","6.00, 0.33, True","14.00, 0.49, True","6.00, 0.33, True","4.00, 0.18, True","8.00, 0.29, True","4.00, 0.18, True","18.00, 0.44, True","8.00, 0.29, True","5.00, 0.14, True","6.00, 0.17, True","9.00, 0.17, True","8.00, 0.15, True","6.00, 0.12, True","15.00, 0.26, True","7.00, 0.09, True","8.00, 0.11, True","8.00, 0.08, True","6.00, 0.05, True","14.00, 0.11, True","7.00, 0.03, True","11.00, 0.04, True","19.00, 0.09, True","16.00, 0.05, True","11.00, 0.00, True","10.00, 0.00, True","11.00, 0.00, True","13.00, 0.00, True",A,0.759
template_37,"7.00, 0.48, False","7.00, 0.63, False","8.00, 0.81, False","9.00, 0.82, False","6.00, 0.79, False","20.00, 1.00, False",None,"7.00, 1.00, True","20.00, 1.00, True","5.00, 1.00, True","5.00, 1.00, True","7.00, 1.00, True","7.00, 1.00, True","5.00, 1.00, True","8.00, 0.81, True","19.00, 0.87, True","6.00, 0.79, True","6.00, 0.79, True","5.00, 0.77, True","20.00, 0.88, True","6.00, 0.61, True","17.00, 0.74, True","6.00, 0.61, True","22.00, 0.77, True","20.00, 0.76, True","17.00, 0.74, True","18.00, 0.64, True","7.00, 0.48, True","5.00, 0.42, True","17.00, 0.63, True","7.00, 0.48, True","19.00, 0.64, True","17.00, 0.52, True","18.00, 0.53, True","17.00, 0.52, True","6.00, 0.33, True","20.00, 0.55, True","19.00, 0.45, True","18.00, 0.44, True","16.00, 0.34, True","16.00, 0.34, True","17.00, 0.35, True","3.00, 0.09, True","17.00, 0.28, True","16.00, 0.27, True","14.00, 0.19, True","16.00, 0.21, True","2.00, 0.01, True","13.00, 0.10, True","4.00, 0.01, True","12.00, 0.07, True","10.00, 0.04, True","15.00, 0.01, True","15.00, 0.00, True","11.00, 0.00, True","10.00, 0.00, True",A,0.755
template_41,"9.00, 0.40, False","6.00, 0.45, False","8.00, 0.65, False","10.00, 0.68, False","7.00, 0.63, False","17.00, 0.87, False","7.00, 1.00, False",None,"20.00, 1.00, None","9.00, 1.00, None","5.00, 1.00, None","11.00, 1.00, None","11.00, 1.00, None","10.00, 1.00, None","11.00, 1.00, True","17.00, 1.00, True","10.00, 1.00, True","9.00, 1.00, True","7.00, 1.00, True","19.00, 1.00, True","7.00, 0.80, True","15.00, 0.86, True","7.00, 0.80, True","20.00, 0.88, True","18.00, 0.87, True","16.00, 0.86, True","16.00, 0.74, True","9.00, 0.66, True","7.00, 0.63, True","16.00, 0.74, True","4.00, 0.55, True","18.00, 0.75, True","16.00, 0.62, True","18.00, 0.64, True","17.00, 0.63, True","8.00, 0.50, True","18.00, 0.64, True","17.00, 0.52, True","16.00, 0.51, True","17.00, 0.43, True","15.00, 0.41, True","16.00, 0.42, True","6.00, 0.24, True","17.00, 0.35, True","15.00, 0.32, True","13.00, 0.23, True","14.00, 0.24, True","5.00, 0.06, True","14.00, 0.14, True","4.00, 0.02, True","15.00, 0.12, True","13.00, 0.07, True","16.00, 0.01, True","14.00, 0.01, True","10.00, 0.00, True","10.00, 0.00, True",A,0.751
template_18,"16.00, 0.51, False","20.00, 0.65, False","18.00, 0.75, False","19.00, 0.76, False","17.00, 0.74, False","5.00, 0.77, False","20.00, 1.00, False","20.00, 1.00, True",None,"20.00, 1.00, None","20.00, 1.00, None","20.00, 1.00, None","20.00, 1.00, None","22.00, 1.00, None","19.00, 1.00, True","9.00, 1.00, True","19.00, 1.00, True","21.00, 1.00, True","18.00, 1.00, True","7.00, 1.00, True","18.00, 0.87, True","8.00, 0.81, True","16.00, 0.86, True","4.00, 0.75, True","9.00, 0.82, True","7.00, 0.80, True","10.00, 0.68, True","17.00, 0.74, True","20.00, 0.76, True","7.00, 0.63, True","16.00, 0.74, True","6.00, 0.61, True","3.00, 0.34, True","4.00, 0.39, True","6.00, 0.45, True","21.00, 0.66, True","7.00, 0.48, True","7.00, 0.36, True","5.00, 0.30, True","7.00, 0.26, True","9.00, 0.31, True","4.00, 0.18, True","16.00, 0.42, True","7.00, 0.19, True","10.00, 0.25, True","7.00, 0.13, True","8.00, 0.15, True","15.00, 0.20, True","6.00, 0.05, True","12.00, 0.09, True","20.00, 0.16, True","17.00, 0.10, True","9.00, 0.00, True","11.00, 0.00, True","12.00, 0.00, True","14.00, 0.00, True",A,0.751
template_23,"6.00, 0.33, False","8.00, 0.50, False","5.00, 0.58, False","10.00, 0.68, False","5.00, 0.58, False","18.00, 0.87, False","5.00, 1.00, False","9.00, 1.00, True","20.00, 1.00, True",None,"8.00, 1.00, None","6.00, 1.00, None","6.00, 1.00, None","2.00, 1.00, None","10.00, 1.00, True","18.00, 1.00, True","6.00, 1.00, True","6.00, 1.00, True","8.00, 1.00, True","17.00, 1.00, True","6.00, 0.79, True","18.00, 0.87, True","4.00, 0.75, True","21.00, 0.88, True","18.00, 0.87, True","16.00, 0.86, True","18.00, 0.75, True","6.00, 0.61, True","4.00, 0.55, True","17.00, 0.74, True","5.00, 0.58, True","19.00, 0.76, True","16.00, 0.62, True","19.00, 0.64, True","18.00, 0.64, True","7.00, 0.48, True","19.00, 0.64, True","18.00, 0.53, True","18.00, 0.53, True","17.00, 0.43, True","16.00, 0.42, True","18.00, 0.44, True","4.00, 0.18, True","17.00, 0.35, True","14.00, 0.31, True","13.00, 0.23, True","15.00, 0.26, True","5.00, 0.06, True","11.00, 0.11, True","6.00, 0.03, True","12.00, 0.09, True","11.00, 0.06, True","16.00, 0.01, True","16.00, 0.01, True","12.00, 0.00, True","12.00, 0.00, True",A,0.751
