"statistic, pvalue, row is better than column",template_51,template_50,best set: template_54,template_55,template_52,template_12,template_38,template_42,template_47,template_39,template_53,template_49,template_11,template_14,template_20,template_34,template_43,template_48,template_19,template_46,template_40,template_32,template_33,template_18,template_29,template_28,template_6,template_36,template_8,template_35,template_4,template_41,template_15,template_13,template_5,template_37,template_9,template_0,template_7,template_10,template_1,template_16,template_30,template_44,template_25,template_31,template_45,template_23,template_21,template_3,template_22,template_17,template_27,template_24,template_26,template_2,group,accuracy
template_51,None,"22.00, 1.00, None","23.00, 1.00, None","11.00, 0.56, True","15.00, 0.41, True","21.00, 0.39, True","22.00, 0.27, True","19.00, 0.19, True","7.00, 0.06, True","15.00, 0.15, True","7.00, 0.04, True","6.00, 0.02, True","14.00, 0.06, True","16.00, 0.07, True","17.00, 0.06, True","24.00, 0.10, True","11.00, 0.03, True","16.00, 0.04, True","13.00, 0.03, True","16.00, 0.03, True","16.00, 0.03, True","20.00, 0.04, True","12.00, 0.02, True","20.00, 0.03, True","11.00, 0.01, True","19.00, 0.02, True","20.00, 0.02, True","18.00, 0.01, True","17.00, 0.01, True","11.00, 0.00, True","21.00, 0.01, True","10.00, 0.00, True","14.00, 0.00, True","14.00, 0.00, True","11.00, 0.00, True","9.00, 0.00, True","8.00, 0.00, True","16.00, 0.00, True","12.00, 0.00, True","15.00, 0.00, True","10.00, 0.00, True","12.00, 0.00, True","13.00, 0.00, True","12.00, 0.00, True","26.00, 0.00, True","9.00, 0.00, True","7.00, 0.00, True","30.00, 0.00, True","23.00, 0.00, True","8.00, 0.00, True","27.00, 0.00, True","7.00, 0.00, True","23.00, 0.00, True","24.00, 0.00, True","25.00, 0.00, True","8.00, 0.00, True",A,0.535
template_50,"22.00, 1.00, True",None,"19.00, 1.00, None","23.00, 0.67, True","16.00, 0.42, True","16.00, 0.34, True","21.00, 0.26, True","18.00, 0.18, True","21.00, 0.21, True","23.00, 0.23, True","20.00, 0.16, True","20.00, 0.13, True","20.00, 0.10, True","18.00, 0.09, True","14.00, 0.04, True","17.00, 0.06, True","19.00, 0.07, True","13.00, 0.03, True","20.00, 0.06, True","10.00, 0.01, True","13.00, 0.02, True","11.00, 0.01, True","19.00, 0.04, True","13.00, 0.01, True","21.00, 0.03, True","15.00, 0.01, True","16.00, 0.01, True","14.00, 0.01, True","13.00, 0.00, True","18.00, 0.01, True","14.00, 0.00, True","19.00, 0.01, True","19.00, 0.01, True","18.00, 0.01, True","17.00, 0.00, True","16.00, 0.00, True","16.00, 0.00, True","15.00, 0.00, True","15.00, 0.00, True","16.00, 0.00, True","15.00, 0.00, True","17.00, 0.00, True","19.00, 0.00, True","18.00, 0.00, True","21.00, 0.00, True","16.00, 0.00, True","18.00, 0.00, True","23.00, 0.00, True","20.00, 0.00, True","15.00, 0.00, True","20.00, 0.00, True","15.00, 0.00, True","18.00, 0.00, True","21.00, 0.00, True","18.00, 0.00, True","15.00, 0.00, True",A,0.535
template_54,"23.00, 1.00, True","19.00, 1.00, True",None,"16.00, 0.62, True","13.00, 0.38, True","18.00, 0.36, True","14.00, 0.19, True","15.00, 0.15, True","18.00, 0.18, True","19.00, 0.19, True","16.00, 0.13, True","15.00, 0.09, True","18.00, 0.09, True","13.00, 0.05, True","14.00, 0.04, True","13.00, 0.04, True","14.00, 0.04, True","14.00, 0.03, True","18.00, 0.05, True","11.00, 0.01, True","8.00, 0.01, True","12.00, 0.02, True","16.00, 0.03, True","15.00, 0.02, True","17.00, 0.02, True","12.00, 0.01, True","14.00, 0.01, True","12.00, 0.01, True","14.00, 0.01, True","12.00, 0.00, True","14.00, 0.00, True","14.00, 0.00, True","14.00, 0.00, True","12.00, 0.00, True","14.00, 0.00, True","14.00, 0.00, True","10.00, 0.00, True","17.00, 0.00, True","12.00, 0.00, True","15.00, 0.00, True","12.00, 0.00, True","16.00, 0.00, True","15.00, 0.00, True","14.00, 0.00, True","18.00, 0.00, True","12.00, 0.00, True","15.00, 0.00, True","24.00, 0.00, True","20.00, 0.00, True","12.00, 0.00, True","23.00, 0.00, True","12.00, 0.00, True","19.00, 0.00, True","16.00, 0.00, True","18.00, 0.00, True","12.00, 0.00, True",A,0.535
template_55,"11.00, 0.56, False","23.00, 0.67, False","16.00, 0.62, False",None,"20.00, 0.88, True","20.00, 0.76, True","21.00, 0.56, True","14.00, 0.39, True","12.00, 0.36, True","15.00, 0.41, True","9.00, 0.23, True","10.00, 0.18, True","9.00, 0.12, True","12.00, 0.16, True","15.00, 0.15, True","22.00, 0.22, True","11.00, 0.11, True","20.00, 0.16, True","8.00, 0.05, True","18.00, 0.11, True","15.00, 0.09, True","21.00, 0.13, True","11.00, 0.06, True","18.00, 0.09, True","11.00, 0.03, True","17.00, 0.04, True","15.00, 0.04, True","17.00, 0.04, True","14.00, 0.02, True","10.00, 0.01, True","17.00, 0.02, True","8.00, 0.00, True","9.00, 0.00, True","8.00, 0.00, True","7.00, 0.00, True","9.00, 0.00, True","4.00, 0.00, True","16.00, 0.00, True","7.00, 0.00, True","13.00, 0.00, True","8.00, 0.00, True","12.00, 0.00, True","12.00, 0.00, True","11.00, 0.00, True","26.00, 0.00, True","8.00, 0.00, True","8.00, 0.00, True","28.00, 0.00, True","24.00, 0.00, True","7.00, 0.00, True","26.00, 0.00, True","7.00, 0.00, True","25.00, 0.00, True","23.00, 0.00, True","26.00, 0.00, True","7.00, 0.00, True",A,0.507
template_52,"15.00, 0.41, False","16.00, 0.42, False","13.00, 0.38, False","20.00, 0.88, False",None,"20.00, 1.00, True","18.00, 0.75, True","23.00, 0.67, True","22.00, 0.67, True","20.00, 0.65, True","12.00, 0.46, True","17.00, 0.43, True","18.00, 0.36, True","19.00, 0.37, True","17.00, 0.28, True","20.00, 0.31, True","18.00, 0.29, True","16.00, 0.21, True","25.00, 0.30, True","11.00, 0.11, True","14.00, 0.14, True","15.00, 0.15, True","19.00, 0.19, True","19.00, 0.15, True","19.00, 0.12, True","17.00, 0.08, True","20.00, 0.10, True","18.00, 0.09, True","17.00, 0.06, True","16.00, 0.04, True","20.00, 0.06, True","17.00, 0.04, True","21.00, 0.05, True","17.00, 0.03, True","18.00, 0.01, True","15.00, 0.01, True","15.00, 0.00, True","20.00, 0.01, True","16.00, 0.00, True","16.00, 0.00, True","16.00, 0.00, True","15.00, 0.00, True","16.00, 0.00, True","18.00, 0.00, True","22.00, 0.00, True","11.00, 0.00, True","14.00, 0.00, True","25.00, 0.00, True","25.00, 0.00, True","13.00, 0.00, True","23.00, 0.00, True","12.00, 0.00, True","22.00, 0.00, True","22.00, 0.00, True","22.00, 0.00, True","12.00, 0.00, True",A,0.493
template_12,"21.00, 0.39, False","16.00, 0.34, False","18.00, 0.36, False","20.00, 0.76, False","20.00, 1.00, False",None,"17.00, 0.87, True","16.00, 0.74, True","25.00, 0.78, True","20.00, 0.76, True","19.00, 0.64, True","21.00, 0.56, True","12.00, 0.36, True","8.00, 0.29, True","6.00, 0.17, True","13.00, 0.30, True","14.00, 0.31, True","18.00, 0.29, True","17.00, 0.28, True","14.00, 0.19, True","8.00, 0.11, True","10.00, 0.14, True","15.00, 0.20, True","7.00, 0.06, True","13.00, 0.10, True","6.00, 0.02, True","5.00, 0.02, True","14.00, 0.08, True","7.00, 0.02, True","12.00, 0.03, True","5.00, 0.01, True","12.00, 0.03, True","9.00, 0.01, True","7.00, 0.01, True","7.00, 0.00, True","12.00, 0.01, True","11.00, 0.00, True","13.00, 0.00, True","6.00, 0.00, True","13.00, 0.00, True","7.00, 0.00, True","12.00, 0.00, True","10.00, 0.00, True","11.00, 0.00, True","25.00, 0.01, True","10.00, 0.00, True","11.00, 0.00, True","26.00, 0.00, True","25.00, 0.00, True","8.00, 0.00, True","25.00, 0.00, True","9.00, 0.00, True","22.00, 0.00, True","22.00, 0.00, True","22.00, 0.00, True","7.00, 0.00, True",A,0.486
template_38,"22.00, 0.27, False","21.00, 0.26, False","14.00, 0.19, False","21.00, 0.56, False","18.00, 0.75, False","17.00, 0.87, False",None,"21.00, 1.00, True","24.00, 1.00, True","16.00, 1.00, True","22.00, 0.88, True","21.00, 0.77, True","21.00, 0.66, True","18.00, 0.64, True","15.00, 0.50, True","16.00, 0.51, True","19.00, 0.54, True","18.00, 0.44, True","21.00, 0.47, True","13.00, 0.30, True","10.00, 0.25, True","14.00, 0.31, True","18.00, 0.36, True","15.00, 0.26, True","16.00, 0.21, True","10.00, 0.10, True","15.00, 0.15, True","10.00, 0.10, True","17.00, 0.14, True","13.00, 0.07, True","17.00, 0.10, True","11.00, 0.06, True","19.00, 0.09, True","14.00, 0.06, True","15.00, 0.03, True","13.00, 0.02, True","16.00, 0.02, True","16.00, 0.02, True","13.00, 0.01, True","17.00, 0.01, True","16.00, 0.01, True","17.00, 0.01, True","14.00, 0.00, True","15.00, 0.00, True","21.00, 0.01, True","15.00, 0.00, True","16.00, 0.00, True","24.00, 0.00, True","23.00, 0.00, True","12.00, 0.00, True","22.00, 0.00, True","12.00, 0.00, True","18.00, 0.00, True","18.00, 0.00, True","19.00, 0.00, True","11.00, 0.00, True",A,0.472
template_42,"19.00, 0.19, False","18.00, 0.18, False","15.00, 0.15, False","14.00, 0.39, False","23.00, 0.67, False","16.00, 0.74, False","21.00, 1.00, False",None,"21.00, 1.00, None","22.00, 1.00, None","24.00, 1.00, True","19.00, 0.87, True","15.00, 0.73, True","11.00, 0.69, True","14.00, 0.60, True","14.00, 0.60, True","12.00, 0.57, True","16.00, 0.51, True","14.00, 0.49, True","15.00, 0.41, True","15.00, 0.41, True","15.00, 0.41, True","15.00, 0.41, True","17.00, 0.35, True","13.00, 0.23, True","13.00, 0.18, True","11.00, 0.15, True","17.00, 0.22, True","11.00, 0.11, True","12.00, 0.09, True","12.00, 0.09, True","12.00, 0.09, True","12.00, 0.07, True","10.00, 0.05, True","9.00, 0.01, True","11.00, 0.02, True","8.00, 0.00, True","13.00, 0.01, True","8.00, 0.00, True","15.00, 0.01, True","10.00, 0.01, True","14.00, 0.01, True","12.00, 0.00, True","12.00, 0.00, True","28.00, 0.02, True","10.00, 0.00, True","12.00, 0.00, True","28.00, 0.01, True","25.00, 0.01, True","8.00, 0.00, True","25.00, 0.00, True","10.00, 0.00, True","26.00, 0.00, True","23.00, 0.00, True","22.00, 0.00, True","8.00, 0.00, True",A,0.465
template_47,"7.00, 0.06, False","21.00, 0.21, False","18.00, 0.18, False","12.00, 0.36, False","22.00, 0.67, False","25.00, 0.78, False","24.00, 1.00, False","21.00, 1.00, True",None,"21.00, 1.00, None","17.00, 1.00, True","10.00, 0.83, True","16.00, 0.74, True","21.00, 0.77, True","20.00, 0.65, True","24.00, 0.68, True","14.00, 0.60, True","17.00, 0.52, True","15.00, 0.50, True","19.00, 0.45, True","19.00, 0.45, True","20.00, 0.46, True","13.00, 0.38, True","22.00, 0.40, True","13.00, 0.23, True","17.00, 0.22, True","20.00, 0.25, True","18.00, 0.23, True","19.00, 0.19, True","12.00, 0.09, True","21.00, 0.17, True","12.00, 0.09, True","14.00, 0.08, True","12.00, 0.07, True","13.00, 0.03, True","12.00, 0.02, True","8.00, 0.00, True","15.00, 0.02, True","12.00, 0.01, True","16.00, 0.02, True","9.00, 0.00, True","12.00, 0.01, True","12.00, 0.00, True","11.00, 0.00, True","28.00, 0.02, True","10.00, 0.00, True","10.00, 0.00, True","31.00, 0.01, True","25.00, 0.01, True","7.00, 0.00, True","28.00, 0.01, True","6.00, 0.00, True","28.00, 0.00, True","25.00, 0.00, True","26.00, 0.00, True","6.00, 0.00, True",A,0.465
template_39,"15.00, 0.15, False","23.00, 0.23, False","19.00, 0.19, False","15.00, 0.41, False","20.00, 0.65, False","20.00, 0.76, False","16.00, 1.00, False","22.00, 1.00, True","21.00, 1.00, True",None,"17.00, 1.00, True","18.00, 0.87, True","13.00, 0.71, True","17.00, 0.74, True","19.00, 0.64, True","20.00, 0.65, True","15.00, 0.61, True","22.00, 0.57, True","15.00, 0.50, True","21.00, 0.47, True","17.00, 0.43, True","21.00, 0.47, True","15.00, 0.41, True","20.00, 0.38, True","13.00, 0.23, True","17.00, 0.22, True","17.00, 0.22, True","15.00, 0.20, True","17.00, 0.17, True","10.00, 0.07, True","15.00, 0.12, True","5.00, 0.03, True","11.00, 0.06, True","11.00, 0.06, True","11.00, 0.02, True","6.00, 0.01, True","9.00, 0.01, True","14.00, 0.02, True","9.00, 0.00, True","20.00, 0.02, True","12.00, 0.01, True","13.00, 0.01, True","9.00, 0.00, True","12.00, 0.00, True","27.00, 0.02, True","9.00, 0.00, True","11.00, 0.00, True","29.00, 0.01, True","29.00, 0.01, True","7.00, 0.00, True","28.00, 0.01, True","6.00, 0.00, True","24.00, 0.00, True","24.00, 0.00, True","24.00, 0.00, True","5.00, 0.00, True",A,0.465
