"statistic, pvalue, row is better than column",best set: template_3,template_16,template_2,template_17,template_14,template_15,template_0,template_10,template_46,template_50,template_24,template_39,template_38,template_26,template_18,template_51,template_20,template_1,template_22,template_23,template_12,template_54,template_4,template_40,template_37,template_21,template_31,template_5,template_45,template_42,template_25,template_44,template_36,template_27,template_52,template_19,template_43,template_41,template_8,template_13,template_29,template_53,template_11,template_55,template_28,template_49,template_6,template_47,template_30,template_9,template_34,template_7,template_32,template_48,template_33,template_35,group,accuracy
template_3,None,"42.00, 1.00, True","35.00, 0.82, True","32.00, 0.48, True","43.00, 0.10, True","41.00, 0.07, True","37.00, 0.04, True","39.00, 0.04, True","46.00, 0.03, True","39.00, 0.02, True","34.00, 0.01, True","41.00, 0.02, True","41.00, 0.02, True","43.00, 0.01, True","46.00, 0.02, True","35.00, 0.01, True","39.00, 0.01, True","32.00, 0.00, True","37.00, 0.01, True","31.00, 0.00, True","36.00, 0.00, True","42.00, 0.01, True","34.00, 0.00, True","34.00, 0.00, True","33.00, 0.00, True","34.00, 0.00, True","31.00, 0.00, True","32.00, 0.00, True","35.00, 0.00, True","37.00, 0.00, True","27.00, 0.00, True","30.00, 0.00, True","32.00, 0.00, True","30.00, 0.00, True","35.00, 0.00, True","29.00, 0.00, True","36.00, 0.00, True","30.00, 0.00, True","29.00, 0.00, True","26.00, 0.00, True","26.00, 0.00, True","35.00, 0.00, True","30.00, 0.00, True","32.00, 0.00, True","29.00, 0.00, True","32.00, 0.00, True","28.00, 0.00, True","27.00, 0.00, True","25.00, 0.00, True","20.00, 0.00, True","24.00, 0.00, True","23.00, 0.00, True","27.00, 0.00, True","31.00, 0.00, True","25.00, 0.00, True","22.00, 0.00, True",A,0.31
template_16,"42.00, 1.00, False",None,"30.00, 0.90, True","44.00, 0.61, True","43.00, 0.11, True","50.00, 0.12, True","37.00, 0.05, True","44.00, 0.05, True","49.00, 0.05, True","47.00, 0.03, True","40.00, 0.02, True","47.00, 0.03, True","45.00, 0.02, True","42.00, 0.02, True","48.00, 0.02, True","43.00, 0.02, True","38.00, 0.01, True","39.00, 0.01, True","34.00, 0.01, True","41.00, 0.01, True","36.00, 0.01, True","45.00, 0.01, True","34.00, 0.00, True","41.00, 0.00, True","37.00, 0.00, True","39.00, 0.00, True","38.00, 0.00, True","40.00, 0.00, True","41.00, 0.00, True","40.00, 0.00, True","38.00, 0.00, True","34.00, 0.00, True","36.00, 0.00, True","39.00, 0.00, True","44.00, 0.00, True","37.00, 0.00, True","40.00, 0.00, True","38.00, 0.00, True","35.00, 0.00, True","32.00, 0.00, True","36.00, 0.00, True","42.00, 0.00, True","33.00, 0.00, True","35.00, 0.00, True","37.00, 0.00, True","37.00, 0.00, True","28.00, 0.00, True","34.00, 0.00, True","24.00, 0.00, True","27.00, 0.00, True","32.00, 0.00, True","32.00, 0.00, True","30.00, 0.00, True","30.00, 0.00, True","31.00, 0.00, True","29.00, 0.00, True",A,0.309
template_2,"35.00, 0.82, False","30.00, 0.90, False",None,"44.00, 0.75, True","37.00, 0.14, True","45.00, 0.14, True","36.00, 0.07, True","38.00, 0.06, True","43.00, 0.05, True","41.00, 0.04, True","37.00, 0.03, True","47.00, 0.04, True","40.00, 0.03, True","41.00, 0.03, True","43.00, 0.03, True","42.00, 0.03, True","32.00, 0.01, True","37.00, 0.01, True","31.00, 0.01, True","37.00, 0.01, True","33.00, 0.01, True","42.00, 0.01, True","32.00, 0.00, True","39.00, 0.01, True","39.00, 0.01, True","37.00, 0.00, True","36.00, 0.00, True","37.00, 0.00, True","40.00, 0.01, True","38.00, 0.00, True","31.00, 0.00, True","35.00, 0.00, True","37.00, 0.00, True","38.00, 0.00, True","43.00, 0.00, True","36.00, 0.00, True","38.00, 0.00, True","35.00, 0.00, True","31.00, 0.00, True","31.00, 0.00, True","34.00, 0.00, True","41.00, 0.00, True","33.00, 0.00, True","36.00, 0.00, True","36.00, 0.00, True","35.00, 0.00, True","24.00, 0.00, True","28.00, 0.00, True","25.00, 0.00, True","26.00, 0.00, True","28.00, 0.00, True","30.00, 0.00, True","29.00, 0.00, True","30.00, 0.00, True","28.00, 0.00, True","28.00, 0.00, True",A,0.306
template_17,"32.00, 0.48, False","44.00, 0.61, False","44.00, 0.75, False",None,"51.00, 0.35, True","50.00, 0.30, True","45.00, 0.20, True","44.00, 0.17, True","52.00, 0.15, True","46.00, 0.10, True","44.00, 0.10, True","46.00, 0.09, True","46.00, 0.09, True","48.00, 0.08, True","52.00, 0.09, True","41.00, 0.06, True","43.00, 0.06, True","38.00, 0.03, True","42.00, 0.04, True","36.00, 0.03, True","39.00, 0.03, True","50.00, 0.05, True","37.00, 0.02, True","42.00, 0.02, True","35.00, 0.01, True","38.00, 0.01, True","35.00, 0.01, True","40.00, 0.01, True","35.00, 0.01, True","47.00, 0.02, True","36.00, 0.01, True","38.00, 0.01, True","37.00, 0.01, True","36.00, 0.01, True","45.00, 0.01, True","38.00, 0.01, True","41.00, 0.01, True","34.00, 0.00, True","37.00, 0.00, True","33.00, 0.00, True","33.00, 0.00, True","43.00, 0.00, True","34.00, 0.00, True","38.00, 0.00, True","38.00, 0.00, True","35.00, 0.00, True","34.00, 0.00, True","31.00, 0.00, True","30.00, 0.00, True","25.00, 0.00, True","30.00, 0.00, True","29.00, 0.00, True","32.00, 0.00, True","38.00, 0.00, True","28.00, 0.00, True","28.00, 0.00, True",A,0.299
template_14,"43.00, 0.10, False","43.00, 0.11, False","37.00, 0.14, False","51.00, 0.35, False",None,"32.00, 1.00, True","25.00, 0.78, True","33.00, 0.72, True","36.00, 0.57, True","39.00, 0.52, True","29.00, 0.46, True","41.00, 0.46, True","34.00, 0.42, True","33.00, 0.36, True","30.00, 0.34, True","38.00, 0.39, True","26.00, 0.31, True","24.00, 0.19, True","26.00, 0.21, True","29.00, 0.23, True","23.00, 0.15, True","35.00, 0.22, True","20.00, 0.08, True","32.00, 0.14, True","26.00, 0.09, True","29.00, 0.10, True","47.00, 0.18, True","25.00, 0.08, True","46.00, 0.18, True","30.00, 0.08, True","30.00, 0.08, True","38.00, 0.10, True","25.00, 0.05, True","30.00, 0.07, True","35.00, 0.09, True","23.00, 0.03, True","27.00, 0.03, True","28.00, 0.04, True","24.00, 0.03, True","26.00, 0.02, True","25.00, 0.02, True","31.00, 0.03, True","20.00, 0.01, True","28.00, 0.02, True","24.00, 0.01, True","23.00, 0.01, True","22.00, 0.00, True","19.00, 0.00, True","35.00, 0.01, True","22.00, 0.00, True","19.00, 0.00, True","21.00, 0.00, True","18.00, 0.00, True","23.00, 0.00, True","20.00, 0.00, True","21.00, 0.00, True",A,0.281
template_15,"41.00, 0.07, False","50.00, 0.12, False","45.00, 0.14, False","50.00, 0.30, False","32.00, 1.00, False",None,"30.00, 0.90, True","36.00, 0.82, True","38.00, 0.66, True","38.00, 0.58, True","34.00, 0.56, True","41.00, 0.53, True","40.00, 0.52, True","35.00, 0.43, True","35.00, 0.43, True","32.00, 0.41, True","32.00, 0.41, True","19.00, 0.19, True","32.00, 0.30, True","27.00, 0.26, True","28.00, 0.22, True","34.00, 0.26, True","26.00, 0.14, True","31.00, 0.17, True","27.00, 0.11, True","27.00, 0.11, True","43.00, 0.19, True","23.00, 0.09, True","46.00, 0.21, True","25.00, 0.08, True","23.00, 0.07, True","39.00, 0.12, True","26.00, 0.07, True","26.00, 0.07, True","34.00, 0.10, True","17.00, 0.02, True","25.00, 0.04, True","24.00, 0.04, True","29.00, 0.05, True","26.00, 0.02, True","22.00, 0.02, True","31.00, 0.04, True","22.00, 0.01, True","23.00, 0.01, True","23.00, 0.01, True","24.00, 0.01, True","24.00, 0.01, True","22.00, 0.00, True","41.00, 0.02, True","21.00, 0.00, True","17.00, 0.00, True","16.00, 0.00, True","24.00, 0.00, True","24.00, 0.00, True","20.00, 0.00, True","21.00, 0.00, True",A,0.279
template_0,"37.00, 0.04, False","37.00, 0.05, False","36.00, 0.07, False","45.00, 0.20, False","25.00, 0.78, False","30.00, 0.90, False",None,"26.00, 1.00, True","32.00, 0.81, True","33.00, 0.72, True","29.00, 0.70, True","35.00, 0.64, True","31.00, 0.63, True","27.00, 0.52, True","32.00, 0.55, True","32.00, 0.55, True","24.00, 0.50, True","22.00, 0.33, True","25.00, 0.36, True","31.00, 0.40, True","19.00, 0.24, True","32.00, 0.35, True","18.00, 0.14, True","25.00, 0.20, True","22.00, 0.14, True","29.00, 0.19, True","45.00, 0.28, True","23.00, 0.15, True","40.00, 0.25, True","30.00, 0.16, True","26.00, 0.14, True","34.00, 0.15, True","20.00, 0.08, True","28.00, 0.12, True","32.00, 0.14, True","21.00, 0.06, True","29.00, 0.08, True","21.00, 0.05, True","19.00, 0.04, True","23.00, 0.03, True","18.00, 0.02, True","29.00, 0.05, True","19.00, 0.02, True","23.00, 0.02, True","14.00, 0.01, True","22.00, 0.01, True","16.00, 0.00, True","21.00, 0.01, True","32.00, 0.02, True","18.00, 0.00, True","15.00, 0.00, True","16.00, 0.00, True","14.00, 0.00, True","20.00, 0.00, True","18.00, 0.00, True","14.00, 0.00, True",B,0.276
template_10,"39.00, 0.04, False","44.00, 0.05, False","38.00, 0.06, False","44.00, 0.17, False","33.00, 0.72, False","36.00, 0.82, False","26.00, 1.00, False",None,"29.00, 0.90, True","32.00, 0.81, True","28.00, 0.79, True","30.00, 0.71, True","32.00, 0.72, True","24.00, 0.58, True","30.00, 0.62, True","30.00, 0.62, True","25.00, 0.59, True","27.00, 0.44, True","27.00, 0.44, True","29.00, 0.46, True","14.00, 0.24, True","29.00, 0.39, True","21.00, 0.21, True","29.00, 0.27, True","26.00, 0.21, True","28.00, 0.22, True","43.00, 0.31, True","22.00, 0.18, True","40.00, 0.29, True","31.00, 0.20, True","21.00, 0.13, True","33.00, 0.18, True","24.00, 0.12, True","22.00, 0.11, True","28.00, 0.15, True","17.00, 0.06, True","28.00, 0.10, True","22.00, 0.07, True","19.00, 0.05, True","21.00, 0.04, True","16.00, 0.02, True","24.00, 0.05, True","15.00, 0.01, True","20.00, 0.02, True","15.00, 0.01, True","19.00, 0.01, True","15.00, 0.00, True","19.00, 0.01, True","32.00, 0.02, True","20.00, 0.01, True","16.00, 0.00, True","19.00, 0.00, True","18.00, 0.00, True","19.00, 0.00, True","20.00, 0.00, True","17.00, 0.00, True",B,0.275
template_46,"46.00, 0.03, False","49.00, 0.05, False","43.00, 0.05, False","52.00, 0.15, False","36.00, 0.57, False","38.00, 0.66, False","32.00, 0.81, False","29.00, 0.90, False",None,"27.00, 1.00, True","40.00, 1.00, True","38.00, 0.91, True","38.00, 0.91, True","33.00, 0.81, True","34.00, 0.81, True","25.00, 0.78, True","32.00, 0.81, True","30.00, 0.62, True","32.00, 0.63, True","29.00, 0.61, True","23.00, 0.49, True","24.00, 0.50, True","21.00, 0.32, True","32.00, 0.41, True","29.00, 0.33, True","30.00, 0.34, True","50.00, 0.44, True","20.00, 0.25, True","45.00, 0.42, True","26.00, 0.25, True","31.00, 0.29, True","38.00, 0.28, True","25.00, 0.20, True","29.00, 0.23, True","28.00, 0.22, True","25.00, 0.16, True","29.00, 0.15, True","28.00, 0.15, True","19.00, 0.09, True","25.00, 0.08, True","20.00, 0.06, True","22.00, 0.07, True","20.00, 0.04, True","17.00, 0.03, True","19.00, 0.03, True","13.00, 0.01, True","17.00, 0.01, True","12.00, 0.01, True","42.00, 0.06, True","20.00, 0.01, True","19.00, 0.01, True","20.00, 0.01, True","20.00, 0.01, True","11.00, 0.00, True","22.00, 0.01, True","20.00, 0.01, True",B,0.271
template_50,"39.00, 0.02, False","47.00, 0.03, False","41.00, 0.04, False","46.00, 0.10, False","39.00, 0.52, False","38.00, 0.58, False","33.00, 0.72, False","32.00, 0.81, False","27.00, 1.00, False",None,"41.00, 1.00, None","32.00, 1.00, True","35.00, 1.00, True","36.00, 0.91, True","39.00, 0.91, True","19.00, 0.87, True","35.00, 0.91, True","28.00, 0.70, True","26.00, 0.69, True","29.00, 0.70, True","27.00, 0.60, True","28.00, 0.61, True","25.00, 0.43, True","28.00, 0.45, True","25.00, 0.36, True","35.00, 0.43, True","45.00, 0.48, True","26.00, 0.37, True","42.00, 0.47, True","29.00, 0.33, True","28.00, 0.32, True","38.00, 0.33, True","21.00, 0.21, True","26.00, 0.25, True","26.00, 0.25, True","26.00, 0.21, True","28.00, 0.18, True","26.00, 0.17, True","13.00, 0.07, True","23.00, 0.09, True","20.00, 0.08, True","26.00, 0.11, True","20.00, 0.06, True","21.00, 0.06, True","22.00, 0.05, True","18.00, 0.03, True","21.00, 0.03, True","17.00, 0.02, True","39.00, 0.07, True","17.00, 0.01, True","17.00, 0.01, True","21.00, 0.02, True","18.00, 0.01, True","16.00, 0.00, True","20.00, 0.01, True","17.00, 0.00, True",B,0.27
