"statistic, pvalue, row is better than column",best set: template_16,template_23,template_25,template_19,template_27,template_17,template_21,template_15,template_31,template_24,template_46,template_52,template_20,template_26,template_14,template_39,template_53,template_2,template_48,template_55,template_22,template_43,template_54,template_49,template_30,template_41,template_34,template_51,template_33,template_0,template_50,template_44,template_13,template_9,template_35,template_45,template_3,template_47,template_18,template_11,template_5,template_7,template_1,template_42,template_10,template_36,template_4,template_12,template_28,template_32,template_38,template_37,template_40,template_8,template_6,template_29,group,accuracy
template_16,None,"29.00, 1.00, True","28.00, 1.00, True","27.00, 0.79, True","29.00, 0.80, True","25.00, 0.68, True","25.00, 0.68, True","24.00, 0.58, True","23.00, 0.49, True","13.00, 0.38, True","32.00, 0.48, True","29.00, 0.39, True","15.00, 0.20, True","14.00, 0.19, True","17.00, 0.22, True","26.00, 0.25, True","33.00, 0.30, True","16.00, 0.16, True","29.00, 0.23, True","32.00, 0.25, True","13.00, 0.10, True","37.00, 0.28, True","28.00, 0.18, True","33.00, 0.21, True","16.00, 0.10, True","25.00, 0.16, True","22.00, 0.14, True","32.00, 0.21, True","24.00, 0.12, True","21.00, 0.10, True","30.00, 0.16, True","24.00, 0.12, True","28.00, 0.15, True","27.00, 0.14, True","24.00, 0.12, True","30.00, 0.13, True","25.00, 0.10, True","32.00, 0.14, True","15.00, 0.05, True","26.00, 0.11, True","27.00, 0.11, True","26.00, 0.11, True","26.00, 0.11, True","30.00, 0.11, True","18.00, 0.05, True","19.00, 0.05, True","18.00, 0.05, True","18.00, 0.05, True","21.00, 0.05, True","19.00, 0.04, True","20.00, 0.04, True","24.00, 0.05, True","18.00, 0.03, True","17.00, 0.02, True","19.00, 0.02, True","20.00, 0.02, True",A,0.37
template_23,"29.00, 1.00, False",None,"8.00, 1.00, None","10.00, 0.83, True","10.00, 0.83, True","18.00, 0.75, True","9.00, 0.66, True","9.00, 0.52, True","21.00, 0.56, True","24.00, 0.58, True","37.00, 0.58, True","34.00, 0.49, True","21.00, 0.32, True","22.00, 0.33, True","22.00, 0.33, True","15.00, 0.20, True","25.00, 0.30, True","28.00, 0.32, True","34.00, 0.31, True","27.00, 0.26, True","20.00, 0.20, True","28.00, 0.27, True","32.00, 0.25, True","24.00, 0.19, True","26.00, 0.21, True","14.00, 0.11, True","25.00, 0.20, True","26.00, 0.21, True","16.00, 0.10, True","24.00, 0.16, True","34.00, 0.22, True","35.00, 0.22, True","15.00, 0.09, True","15.00, 0.09, True","17.00, 0.10, True","30.00, 0.16, True","20.00, 0.10, True","24.00, 0.12, True","20.00, 0.10, True","15.00, 0.07, True","16.00, 0.07, True","16.00, 0.07, True","16.00, 0.07, True","31.00, 0.14, True","22.00, 0.09, True","24.00, 0.10, True","22.00, 0.09, True","23.00, 0.09, True","22.00, 0.07, True","25.00, 0.08, True","25.00, 0.08, True","12.00, 0.02, True","23.00, 0.06, True","22.00, 0.05, True","21.00, 0.04, True","13.00, 0.01, True",A,0.366
template_25,"28.00, 1.00, False","8.00, 1.00, True",None,"9.00, 0.82, True","7.00, 0.80, True","16.00, 0.74, True","11.00, 0.69, True","8.00, 0.50, True","23.00, 0.58, True","22.00, 0.57, True","35.00, 0.57, True","32.00, 0.48, True","22.00, 0.33, True","20.00, 0.31, True","21.00, 0.32, True","17.00, 0.22, True","23.00, 0.28, True","28.00, 0.32, True","34.00, 0.31, True","27.00, 0.26, True","21.00, 0.21, True","26.00, 0.25, True","30.00, 0.24, True","24.00, 0.19, True","28.00, 0.22, True","16.00, 0.13, True","25.00, 0.20, True","26.00, 0.21, True","16.00, 0.10, True","23.00, 0.15, True","34.00, 0.22, True","35.00, 0.22, True","15.00, 0.09, True","16.00, 0.10, True","18.00, 0.11, True","29.00, 0.15, True","21.00, 0.10, True","22.00, 0.11, True","21.00, 0.10, True","13.00, 0.05, True","17.00, 0.08, True","17.00, 0.08, True","17.00, 0.08, True","30.00, 0.13, True","20.00, 0.08, True","25.00, 0.10, True","21.00, 0.08, True","21.00, 0.08, True","21.00, 0.06, True","23.00, 0.07, True","25.00, 0.08, True","15.00, 0.03, True","23.00, 0.06, True","23.00, 0.06, True","20.00, 0.03, True","13.00, 0.01, True",A,0.366
template_19,"27.00, 0.79, False","10.00, 0.83, False","9.00, 0.82, False",None,"10.00, 1.00, None","18.00, 1.00, True","3.00, 1.00, True","8.00, 0.81, True","21.00, 0.77, True","21.00, 0.77, True","32.00, 0.72, True","31.00, 0.63, True","18.00, 0.44, True","19.00, 0.45, True","19.00, 0.45, True","15.00, 0.32, True","22.00, 0.40, True","26.00, 0.43, True","31.00, 0.40, True","24.00, 0.35, True","19.00, 0.30, True","24.00, 0.35, True","29.00, 0.33, True","21.00, 0.26, True","23.00, 0.28, True","12.00, 0.16, True","22.00, 0.27, True","23.00, 0.28, True","11.00, 0.11, True","19.00, 0.19, True","31.00, 0.29, True","32.00, 0.30, True","13.00, 0.13, True","15.00, 0.15, True","14.00, 0.14, True","25.00, 0.20, True","19.00, 0.15, True","20.00, 0.16, True","16.00, 0.13, True","12.00, 0.09, True","11.00, 0.08, True","13.00, 0.10, True","14.00, 0.11, True","27.00, 0.18, True","18.00, 0.11, True","20.00, 0.13, True","17.00, 0.10, True","18.00, 0.11, True","17.00, 0.08, True","19.00, 0.09, True","22.00, 0.11, True","12.00, 0.03, True","18.00, 0.06, True","20.00, 0.08, True","16.00, 0.04, True","10.00, 0.01, True",A,0.357
template_27,"29.00, 0.80, False","10.00, 0.83, False","7.00, 0.80, False","10.00, 1.00, True",None,"17.00, 1.00, True","12.00, 1.00, True","10.00, 0.83, True","27.00, 0.79, True","25.00, 0.78, True","37.00, 0.73, True","35.00, 0.64, True","24.00, 0.50, True","21.00, 0.47, True","21.00, 0.47, True","21.00, 0.39, True","28.00, 0.45, True","29.00, 0.46, True","34.00, 0.42, True","28.00, 0.38, True","22.00, 0.33, True","30.00, 0.40, True","34.00, 0.36, True","26.00, 0.31, True","29.00, 0.33, True","17.00, 0.22, True","25.00, 0.30, True","29.00, 0.33, True","19.00, 0.19, True","25.00, 0.25, True","35.00, 0.31, True","36.00, 0.32, True","16.00, 0.16, True","20.00, 0.20, True","19.00, 0.19, True","31.00, 0.24, True","23.00, 0.18, True","27.00, 0.21, True","21.00, 0.17, True","16.00, 0.13, True","19.00, 0.15, True","20.00, 0.16, True","19.00, 0.15, True","32.00, 0.21, True","24.00, 0.16, True","25.00, 0.16, True","24.00, 0.16, True","24.00, 0.16, True","22.00, 0.11, True","25.00, 0.13, True","23.00, 0.12, True","19.00, 0.07, True","22.00, 0.09, True","24.00, 0.10, True","23.00, 0.07, True","16.00, 0.03, True",A,0.357
template_17,"25.00, 0.68, False","18.00, 0.75, False","16.00, 0.74, False","18.00, 1.00, False","17.00, 1.00, False",None,"20.00, 1.00, None","18.00, 1.00, True","21.00, 0.88, True","27.00, 0.89, True","39.00, 0.82, True","35.00, 0.73, True","29.00, 0.61, True","23.00, 0.58, True","23.00, 0.58, True","23.00, 0.49, True","29.00, 0.53, True","27.00, 0.52, True","37.00, 0.51, True","31.00, 0.47, True","25.00, 0.43, True","32.00, 0.48, True","32.00, 0.41, True","29.00, 0.39, True","27.00, 0.37, True","20.00, 0.31, True","31.00, 0.40, True","30.00, 0.40, True","22.00, 0.27, True","26.00, 0.31, True","37.00, 0.38, True","31.00, 0.34, True","21.00, 0.26, True","25.00, 0.30, True","22.00, 0.27, True","25.00, 0.25, True","19.00, 0.19, True","28.00, 0.27, True","26.00, 0.25, True","21.00, 0.21, True","23.00, 0.23, True","26.00, 0.25, True","21.00, 0.21, True","34.00, 0.26, True","23.00, 0.18, True","29.00, 0.23, True","26.00, 0.21, True","24.00, 0.19, True","26.00, 0.17, True","30.00, 0.19, True","28.00, 0.18, True","20.00, 0.10, True","27.00, 0.14, True","25.00, 0.13, True","26.00, 0.11, True","17.00, 0.04, True",A,0.353
template_21,"25.00, 0.68, False","9.00, 0.66, False","11.00, 0.69, False","3.00, 1.00, False","12.00, 1.00, False","20.00, 1.00, True",None,"10.00, 1.00, True","21.00, 0.88, True","21.00, 0.88, True","32.00, 0.81, True","30.00, 0.71, True","18.00, 0.53, True","18.00, 0.53, True","18.00, 0.53, True","14.00, 0.39, True","24.00, 0.50, True","25.00, 0.50, True","30.00, 0.46, True","24.00, 0.42, True","18.00, 0.36, True","26.00, 0.43, True","28.00, 0.38, True","21.00, 0.32, True","22.00, 0.33, True","12.00, 0.22, True","21.00, 0.32, True","24.00, 0.35, True","12.00, 0.16, True","19.00, 0.24, True","30.00, 0.34, True","31.00, 0.34, True","15.00, 0.20, True","16.00, 0.21, True","14.00, 0.19, True","26.00, 0.25, True","19.00, 0.19, True","22.00, 0.22, True","16.00, 0.16, True","13.00, 0.13, True","12.00, 0.12, True","12.00, 0.12, True","16.00, 0.16, True","27.00, 0.21, True","18.00, 0.14, True","19.00, 0.15, True","17.00, 0.14, True","18.00, 0.14, True","17.00, 0.10, True","19.00, 0.12, True","21.00, 0.13, True","12.00, 0.05, True","17.00, 0.08, True","19.00, 0.09, True","16.00, 0.05, True","11.00, 0.02, True",A,0.353
template_15,"24.00, 0.58, False","9.00, 0.52, False","8.00, 0.50, False","8.00, 0.81, False","10.00, 0.83, False","18.00, 1.00, False","10.00, 1.00, False",None,"24.00, 1.00, True","23.00, 1.00, True","37.00, 0.91, True","35.00, 0.82, True","20.00, 0.65, True","20.00, 0.65, True","17.00, 0.63, True","17.00, 0.52, True","25.00, 0.59, True","28.00, 0.61, True","35.00, 0.57, True","27.00, 0.52, True","20.00, 0.46, True","26.00, 0.51, True","32.00, 0.48, True","23.00, 0.41, True","27.00, 0.44, True","16.00, 0.34, True","28.00, 0.45, True","26.00, 0.43, True","18.00, 0.29, True","24.00, 0.35, True","35.00, 0.43, True","35.00, 0.43, True","17.00, 0.28, True","18.00, 0.29, True","19.00, 0.30, True","28.00, 0.32, True","21.00, 0.26, True","23.00, 0.28, True","20.00, 0.25, True","16.00, 0.21, True","18.00, 0.23, True","19.00, 0.24, True","16.00, 0.21, True","33.00, 0.30, True","23.00, 0.23, True","25.00, 0.25, True","23.00, 0.23, True","23.00, 0.23, True","23.00, 0.18, True","25.00, 0.20, True","26.00, 0.21, True","15.00, 0.09, True","23.00, 0.15, True","23.00, 0.15, True","22.00, 0.11, True","13.00, 0.04, True",A,0.349
template_31,"23.00, 0.49, False","21.00, 0.56, False","23.00, 0.58, False","21.00, 0.77, False","27.00, 0.79, False","21.00, 0.88, False","21.00, 0.88, False","24.00, 1.00, False",None,"30.00, 1.00, None","33.00, 1.00, True","30.00, 0.90, True","30.00, 0.80, True","27.00, 0.79, True","28.00, 0.79, True","12.00, 0.57, True","23.00, 0.67, True","19.00, 0.64, True","29.00, 0.61, True","23.00, 0.58, True","28.00, 0.61, True","21.00, 0.56, True","28.00, 0.53, True","20.00, 0.46, True","11.00, 0.34, True","10.00, 0.33, True","20.00, 0.46, True","19.00, 0.45, True","12.00, 0.28, True","21.00, 0.39, True","29.00, 0.46, True","23.00, 0.41, True","17.00, 0.35, True","16.00, 0.34, True","11.00, 0.26, True","17.00, 0.28, True","14.00, 0.24, True","19.00, 0.30, True","28.00, 0.38, True","15.00, 0.26, True","16.00, 0.27, True","16.00, 0.27, True","16.00, 0.27, True","25.00, 0.30, True","19.00, 0.24, True","17.00, 0.22, True","19.00, 0.24, True","18.00, 0.23, True","16.00, 0.16, True","18.00, 0.18, True","19.00, 0.19, True","7.00, 0.04, True","17.00, 0.14, True","19.00, 0.15, True","19.00, 0.12, True","5.00, 0.01, True",A,0.345
template_24,"13.00, 0.38, False","24.00, 0.58, False","22.00, 0.57, False","21.00, 0.77, False","25.00, 0.78, False","27.00, 0.89, False","21.00, 0.88, False","23.00, 1.00, False","30.00, 1.00, True",None,"29.00, 1.00, True","26.00, 0.89, True","8.00, 0.65, True","5.00, 0.58, True","8.00, 0.65, True","25.00, 0.68, True","32.00, 0.72, True","24.00, 0.68, True","29.00, 0.61, True","33.00, 0.64, True","5.00, 0.30, True","33.00, 0.64, True","23.00, 0.49, True","31.00, 0.54, True","23.00, 0.49, True","24.00, 0.50, True","20.00, 0.46, True","32.00, 0.55, True","20.00, 0.38, True","15.00, 0.32, True","29.00, 0.46, True","31.00, 0.47, True","22.00, 0.40, True","22.00, 0.40, True","21.00, 0.39, True","34.00, 0.42, True","27.00, 0.37, True","29.00, 0.39, True","7.00, 0.13, True","22.00, 0.33, True","22.00, 0.33, True","21.00, 0.32, True","21.00, 0.32, True","26.00, 0.31, True","13.00, 0.18, True","17.00, 0.22, True","14.00, 0.19, True","12.00, 0.16, True","17.00, 0.17, True","16.00, 0.16, True","19.00, 0.19, True","21.00, 0.17, True","15.00, 0.12, True","14.00, 0.11, True","14.00, 0.08, True","19.00, 0.09, True",A,0.345
