"statistic, pvalue, row is better than column",best set: template_24,template_15,template_25,template_26,template_23,template_17,template_12,template_18,template_22,template_40,template_21,template_14,template_27,template_19,template_2,template_29,template_8,template_55,template_38,template_16,template_39,template_53,template_10,template_20,template_9,template_41,template_48,template_30,template_33,template_36,template_31,template_43,template_0,template_6,template_46,template_42,template_11,template_34,template_49,template_4,template_54,template_47,template_50,template_32,template_28,template_52,template_44,template_3,template_51,template_35,template_45,template_37,template_13,template_1,template_5,template_7,group,accuracy
template_24,None,"11.00, 1.00, None","10.00, 1.00, None","5.00, 1.00, True","11.00, 0.84, True","19.00, 0.87, True","7.00, 0.63, True","6.00, 0.61, True","4.00, 0.55, True","8.00, 0.65, True","10.00, 0.68, True","5.00, 0.42, True","10.00, 0.54, True","10.00, 0.54, True","14.00, 0.49, True","9.00, 0.40, True","8.00, 0.38, True","11.00, 0.44, True","7.00, 0.36, True","10.00, 0.33, True","9.00, 0.31, True","11.00, 0.34, True","5.00, 0.21, True","3.00, 0.15, True","10.00, 0.33, True","9.00, 0.23, True","8.00, 0.21, True","7.00, 0.19, True","10.00, 0.25, True","6.00, 0.17, True","12.00, 0.28, True","10.00, 0.25, True","5.00, 0.14, True","5.00, 0.14, True","7.00, 0.13, True","10.00, 0.18, True","9.00, 0.17, True","8.00, 0.15, True","10.00, 0.18, True","7.00, 0.13, True","7.00, 0.13, True","12.00, 0.22, True","9.00, 0.17, True","5.00, 0.06, True","6.00, 0.08, True","6.00, 0.08, True","9.00, 0.09, True","13.00, 0.13, True","10.00, 0.10, True","8.00, 0.08, True","12.00, 0.09, True","8.00, 0.05, True","8.00, 0.04, True","6.00, 0.01, True","7.00, 0.01, True","5.00, 0.00, True",A,0.41
template_15,"11.00, 1.00, True",None,"6.00, 1.00, None","11.00, 1.00, True","3.00, 0.73, True","16.00, 0.86, True","13.00, 0.71, True","10.00, 0.68, True","11.00, 0.69, True","13.00, 0.71, True","5.00, 0.58, True","10.00, 0.54, True","6.00, 0.45, True","3.00, 0.34, True","17.00, 0.52, True","7.00, 0.36, True","13.00, 0.47, True","9.00, 0.40, True","12.00, 0.46, True","12.00, 0.36, True","8.00, 0.29, True","10.00, 0.33, True","12.00, 0.36, True","8.00, 0.29, True","7.00, 0.26, True","5.00, 0.14, True","13.00, 0.30, True","13.00, 0.30, True","7.00, 0.19, True","11.00, 0.26, True","11.00, 0.26, True","9.00, 0.23, True","11.00, 0.26, True","12.00, 0.28, True","12.00, 0.22, True","14.00, 0.24, True","7.00, 0.13, True","13.00, 0.23, True","10.00, 0.18, True","13.00, 0.23, True","12.00, 0.22, True","9.00, 0.17, True","12.00, 0.22, True","11.00, 0.15, True","13.00, 0.18, True","10.00, 0.14, True","11.00, 0.11, True","11.00, 0.11, True","8.00, 0.08, True","5.00, 0.04, True","10.00, 0.07, True","5.00, 0.03, True","5.00, 0.02, True","3.00, 0.00, True","5.00, 0.01, True","3.00, 0.00, True",A,0.41
template_25,"10.00, 1.00, True","6.00, 1.00, True",None,"10.00, 1.00, True","5.00, 0.77, True","14.00, 0.86, True","13.00, 0.71, True","11.00, 0.69, True","12.00, 0.70, True","12.00, 0.70, True","7.00, 0.63, True","13.00, 0.58, True","3.00, 0.34, True","5.00, 0.42, True","16.00, 0.51, True","9.00, 0.40, True","13.00, 0.47, True","10.00, 0.42, True","11.00, 0.44, True","12.00, 0.36, True","9.00, 0.31, True","10.00, 0.33, True","13.00, 0.38, True","9.00, 0.31, True","7.00, 0.26, True","6.00, 0.17, True","13.00, 0.30, True","12.00, 0.28, True","8.00, 0.21, True","11.00, 0.26, True","10.00, 0.25, True","11.00, 0.26, True","12.00, 0.28, True","12.00, 0.28, True","13.00, 0.23, True","15.00, 0.26, True","5.00, 0.10, True","12.00, 0.22, True","10.00, 0.18, True","13.00, 0.23, True","13.00, 0.23, True","12.00, 0.22, True","13.00, 0.23, True","10.00, 0.14, True","11.00, 0.15, True","11.00, 0.15, True","10.00, 0.10, True","10.00, 0.10, True","10.00, 0.10, True","7.00, 0.06, True","10.00, 0.07, True","6.00, 0.03, True","4.00, 0.01, True","4.00, 0.00, True","6.00, 0.01, True","3.00, 0.00, True",A,0.41
template_26,"5.00, 1.00, False","11.00, 1.00, False","10.00, 1.00, False",None,"11.00, 1.00, True","19.00, 1.00, True","10.00, 0.83, True","9.00, 0.82, True","6.00, 0.79, True","11.00, 0.84, True","10.00, 0.83, True","6.00, 0.61, True","9.00, 0.66, True","11.00, 0.69, True","16.00, 0.62, True","12.00, 0.57, True","12.00, 0.57, True","13.00, 0.58, True","9.00, 0.52, True","11.00, 0.44, True","11.00, 0.44, True","14.00, 0.49, True","8.00, 0.38, True","6.00, 0.33, True","13.00, 0.47, True","10.00, 0.33, True","11.00, 0.34, True","11.00, 0.34, True","12.00, 0.36, True","8.00, 0.29, True","13.00, 0.38, True","13.00, 0.38, True","9.00, 0.31, True","8.00, 0.29, True","10.00, 0.25, True","13.00, 0.30, True","11.00, 0.26, True","10.00, 0.25, True","14.00, 0.31, True","10.00, 0.25, True","9.00, 0.23, True","15.00, 0.32, True","11.00, 0.26, True","8.00, 0.15, True","9.00, 0.17, True","9.00, 0.17, True","13.00, 0.18, True","15.00, 0.20, True","13.00, 0.18, True","9.00, 0.12, True","15.00, 0.15, True","9.00, 0.09, True","10.00, 0.07, True","9.00, 0.03, True","10.00, 0.04, True","8.00, 0.02, True",A,0.4
template_23,"11.00, 0.84, False","3.00, 0.73, False","5.00, 0.77, False","11.00, 1.00, False",None,"18.00, 1.00, None","14.00, 1.00, True","12.00, 1.00, True","13.00, 1.00, True","14.00, 1.00, True","5.00, 1.00, True","12.00, 0.85, True","6.00, 0.79, True","5.00, 0.77, True","18.00, 0.75, True","9.00, 0.66, True","15.00, 0.73, True","11.00, 0.69, True","13.00, 0.71, True","15.00, 0.61, True","10.00, 0.54, True","11.00, 0.56, True","13.00, 0.58, True","10.00, 0.54, True","9.00, 0.52, True","7.00, 0.36, True","14.00, 0.49, True","14.00, 0.49, True","9.00, 0.40, True","12.00, 0.46, True","13.00, 0.47, True","11.00, 0.44, True","12.00, 0.46, True","13.00, 0.47, True","13.00, 0.38, True","15.00, 0.41, True","9.00, 0.31, True","14.00, 0.39, True","11.00, 0.34, True","14.00, 0.39, True","13.00, 0.38, True","11.00, 0.34, True","13.00, 0.38, True","12.00, 0.28, True","14.00, 0.31, True","11.00, 0.26, True","12.00, 0.22, True","12.00, 0.22, True","10.00, 0.18, True","7.00, 0.13, True","12.00, 0.16, True","7.00, 0.09, True","6.00, 0.05, True","4.00, 0.01, True","6.00, 0.02, True","4.00, 0.01, True",A,0.39
template_17,"19.00, 0.87, False","16.00, 0.86, False","14.00, 0.86, False","19.00, 1.00, False","18.00, 1.00, True",None,"22.00, 1.00, True","19.00, 1.00, True","19.00, 1.00, True","20.00, 1.00, True","14.00, 1.00, True","20.00, 0.88, True","17.00, 0.87, True","16.00, 0.86, True","17.00, 0.74, True","16.00, 0.74, True","19.00, 0.76, True","18.00, 0.75, True","17.00, 0.74, True","14.00, 0.60, True","17.00, 0.63, True","16.00, 0.62, True","22.00, 0.67, True","16.00, 0.62, True","16.00, 0.62, True","15.00, 0.50, True","17.00, 0.52, True","17.00, 0.52, True","14.00, 0.49, True","16.00, 0.51, True","12.00, 0.46, True","18.00, 0.53, True","21.00, 0.56, True","20.00, 0.55, True","17.00, 0.43, True","20.00, 0.46, True","16.00, 0.42, True","15.00, 0.41, True","15.00, 0.41, True","19.00, 0.45, True","18.00, 0.44, True","16.00, 0.42, True","17.00, 0.43, True","16.00, 0.34, True","15.00, 0.32, True","16.00, 0.34, True","12.00, 0.22, True","8.00, 0.15, True","15.00, 0.26, True","12.00, 0.22, True","8.00, 0.11, True","12.00, 0.16, True","14.00, 0.14, True","12.00, 0.07, True","13.00, 0.07, True","10.00, 0.04, True",A,0.39
template_12,"7.00, 0.63, False","13.00, 0.71, False","13.00, 0.71, False","10.00, 0.83, False","14.00, 1.00, False","22.00, 1.00, False",None,"13.00, 1.00, None","10.00, 1.00, None","10.00, 1.00, None","16.00, 1.00, None","12.00, 1.00, True","16.00, 1.00, True","15.00, 1.00, True","11.00, 0.84, True","12.00, 0.85, True","5.00, 0.77, True","15.00, 0.86, True","8.00, 0.81, True","15.00, 0.73, True","12.00, 0.70, True","15.00, 0.73, True","1.00, 0.38, True","12.00, 0.70, True","9.00, 0.66, True","12.00, 0.57, True","8.00, 0.50, True","9.00, 0.52, True","13.00, 0.58, True","7.00, 0.48, True","13.00, 0.58, True","12.00, 0.57, True","2.00, 0.29, True","3.00, 0.34, True","8.00, 0.38, True","10.00, 0.42, True","8.00, 0.38, True","8.00, 0.38, True","11.00, 0.44, True","4.00, 0.27, True","7.00, 0.36, True","14.00, 0.49, True","9.00, 0.40, True","6.00, 0.24, True","8.00, 0.29, True","6.00, 0.24, True","12.00, 0.28, True","11.00, 0.26, True","12.00, 0.28, True","11.00, 0.26, True","15.00, 0.26, True","10.00, 0.18, True","7.00, 0.09, True","6.00, 0.03, True","6.00, 0.03, True","5.00, 0.02, True",A,0.38
template_18,"6.00, 0.61, False","10.00, 0.68, False","11.00, 0.69, False","9.00, 0.82, False","12.00, 1.00, False","19.00, 1.00, False","13.00, 1.00, True",None,"7.00, 1.00, None","14.00, 1.00, None","12.00, 1.00, None","8.00, 1.00, True","14.00, 1.00, True","11.00, 1.00, True","14.00, 0.86, True","11.00, 0.84, True","11.00, 0.84, True","14.00, 0.86, True","13.00, 0.85, True","11.00, 0.69, True","13.00, 0.71, True","15.00, 0.73, True","11.00, 0.69, True","2.00, 0.45, True","13.00, 0.71, True","12.00, 0.57, True","10.00, 0.54, True","12.00, 0.57, True","11.00, 0.56, True","10.00, 0.54, True","15.00, 0.61, True","14.00, 0.60, True","9.00, 0.52, True","6.00, 0.45, True","12.00, 0.46, True","12.00, 0.46, True","11.00, 0.44, True","13.00, 0.47, True","13.00, 0.47, True","9.00, 0.40, True","12.00, 0.46, True","14.00, 0.49, True","11.00, 0.44, True","12.00, 0.36, True","11.00, 0.34, True","10.00, 0.33, True","7.00, 0.19, True","11.00, 0.26, True","13.00, 0.30, True","9.00, 0.23, True","12.00, 0.22, True","10.00, 0.18, True","10.00, 0.14, True","9.00, 0.06, True","8.00, 0.05, True","6.00, 0.02, True",A,0.38
template_22,"4.00, 0.55, False","11.00, 0.69, False","12.00, 0.70, False","6.00, 0.79, False","13.00, 1.00, False","19.00, 1.00, False","10.00, 1.00, True","7.00, 1.00, True",None,"12.00, 1.00, None","10.00, 1.00, None","6.00, 1.00, True","15.00, 1.00, True","12.00, 1.00, True","11.00, 0.84, True","14.00, 0.86, True","10.00, 0.83, True","16.00, 0.86, True","10.00, 0.83, True","8.00, 0.65, True","14.00, 0.72, True","16.00, 0.74, True","7.00, 0.63, True","3.00, 0.51, True","14.00, 0.72, True","13.00, 0.58, True","11.00, 0.56, True","9.00, 0.52, True","15.00, 0.61, True","7.00, 0.48, True","16.00, 0.62, True","15.00, 0.61, True","8.00, 0.50, True","7.00, 0.48, True","11.00, 0.44, True","13.00, 0.47, True","14.00, 0.49, True","9.00, 0.40, True","14.00, 0.49, True","10.00, 0.42, True","11.00, 0.44, True","17.00, 0.52, True","11.00, 0.44, True","6.00, 0.24, True","8.00, 0.29, True","10.00, 0.33, True","10.00, 0.25, True","13.00, 0.30, True","13.00, 0.30, True","12.00, 0.28, True","15.00, 0.26, True","12.00, 0.22, True","13.00, 0.18, True","9.00, 0.06, True","10.00, 0.07, True","7.00, 0.03, True",A,0.38
template_40,"8.00, 0.65, False","13.00, 0.71, False","12.00, 0.70, False","11.00, 0.84, False","14.00, 1.00, False","20.00, 1.00, False","10.00, 1.00, True","14.00, 1.00, True","12.00, 1.00, True",None,"16.00, 1.00, None","11.00, 1.00, True","14.00, 1.00, True","15.00, 1.00, True","16.00, 0.86, True","10.00, 0.83, True","10.00, 0.83, True","13.00, 0.85, True","1.00, 0.62, True","15.00, 0.73, True","9.00, 0.66, True","11.00, 0.69, True","10.00, 0.68, True","12.00, 0.70, True","10.00, 0.68, True","9.00, 0.52, True","9.00, 0.52, True","8.00, 0.50, True","10.00, 0.54, True","5.00, 0.42, True","12.00, 0.57, True","14.00, 0.60, True","8.00, 0.50, True","8.00, 0.50, True","8.00, 0.38, True","9.00, 0.40, True","12.00, 0.46, True","5.00, 0.30, True","11.00, 0.44, True","9.00, 0.40, True","7.00, 0.36, True","14.00, 0.49, True","9.00, 0.40, True","3.00, 0.15, True","4.00, 0.18, True","8.00, 0.29, True","11.00, 0.26, True","13.00, 0.30, True","12.00, 0.28, True","9.00, 0.23, True","13.00, 0.23, True","9.00, 0.17, True","11.00, 0.15, True","9.00, 0.06, True","9.00, 0.06, True","8.00, 0.04, True",A,0.38
