"statistic, pvalue, row is better than column",best set: template_2,template_31,template_44,template_45,template_32,template_28,template_34,template_8,template_30,template_16,template_17,template_36,template_35,template_9,template_3,template_48,template_37,template_29,template_40,template_41,template_33,template_22,template_53,template_6,template_23,template_51,template_52,template_38,template_49,template_1,template_7,template_4,template_50,template_18,template_54,template_39,template_20,template_12,template_55,template_46,template_13,template_10,template_0,template_11,template_14,template_25,template_43,template_21,template_19,template_27,template_5,template_42,template_47,template_24,template_15,template_26,group
best set: template_2,None,"19.00, 1.00, True","13.00, 1.00, True","20.00, 0.88, True","19.00, 0.87, True","18.00, 0.75, True","15.00, 0.61, True","7.00, 0.48, True","11.00, 0.56, True","2.00, 0.18, True","15.00, 0.41, True","15.00, 0.32, True","17.00, 0.28, True","12.00, 0.22, True","13.00, 0.23, True","13.00, 0.23, True","16.00, 0.27, True","18.00, 0.23, True","17.00, 0.22, True","16.00, 0.21, True","15.00, 0.20, True","4.00, 0.05, True","19.00, 0.24, True","3.00, 0.02, True","12.00, 0.09, True","14.00, 0.11, True","13.00, 0.07, True","14.00, 0.08, True","14.00, 0.08, True","15.00, 0.09, True","11.00, 0.06, True","3.00, 0.01, True","8.00, 0.02, True","3.00, 0.00, True","9.00, 0.01, True","11.00, 0.02, True","2.00, 0.00, True","8.00, 0.01, True","14.00, 0.02, True","8.00, 0.01, True","12.00, 0.02, True","6.00, 0.00, True","8.00, 0.00, True","10.00, 0.00, True","5.00, 0.00, True","13.00, 0.01, True","16.00, 0.01, True","11.00, 0.00, True","11.00, 0.00, True","10.00, 0.00, True","7.00, 0.00, True","8.00, 0.00, True","12.00, 0.00, True","4.00, 0.00, True","10.00, 0.00, True","2.00, 0.00, True",A
template_31,"19.00, 1.00, False",None,"18.00, 1.00, None","11.00, 1.00, True","18.00, 1.00, True","17.00, 0.87, True","17.00, 0.74, True","14.00, 0.72, True","13.00, 0.71, True","16.00, 0.62, True","7.00, 0.36, True","14.00, 0.39, True","8.00, 0.21, True","7.00, 0.19, True","8.00, 0.21, True","16.00, 0.34, True","7.00, 0.19, True","9.00, 0.17, True","17.00, 0.28, True","10.00, 0.18, True","10.00, 0.18, True","14.00, 0.24, True","11.00, 0.20, True","13.00, 0.18, True","6.00, 0.05, True","7.00, 0.06, True","13.00, 0.10, True","14.00, 0.11, True","7.00, 0.04, True","11.00, 0.08, True","6.00, 0.03, True","12.00, 0.09, True","11.00, 0.06, True","14.00, 0.06, True","11.00, 0.03, True","7.00, 0.01, True","13.00, 0.04, True","11.00, 0.03, True","7.00, 0.01, True","15.00, 0.04, True","8.00, 0.01, True","10.00, 0.01, True","10.00, 0.01, True","4.00, 0.00, True","13.00, 0.01, True","8.00, 0.00, True","7.00, 0.00, True","5.00, 0.00, True","6.00, 0.00, True","6.00, 0.00, True","3.00, 0.00, True","11.00, 0.00, True","3.00, 0.00, True","7.00, 0.00, True","7.00, 0.00, True","9.00, 0.00, True",A
template_44,"13.00, 1.00, False","18.00, 1.00, True",None,"18.00, 1.00, True","19.00, 1.00, True","18.00, 0.87, True","17.00, 0.74, True","14.00, 0.72, True","10.00, 0.68, True","10.00, 0.54, True","18.00, 0.53, True","16.00, 0.42, True","18.00, 0.36, True","18.00, 0.36, True","17.00, 0.35, True","11.00, 0.26, True","13.00, 0.30, True","16.00, 0.27, True","18.00, 0.29, True","18.00, 0.29, True","13.00, 0.23, True","13.00, 0.23, True","16.00, 0.27, True","10.00, 0.14, True","15.00, 0.15, True","13.00, 0.13, True","10.00, 0.07, True","15.00, 0.12, True","17.00, 0.14, True","19.00, 0.15, True","16.00, 0.13, True","11.00, 0.08, True","7.00, 0.03, True","10.00, 0.04, True","11.00, 0.03, True","11.00, 0.03, True","9.00, 0.02, True","13.00, 0.04, True","12.00, 0.02, True","8.00, 0.01, True","16.00, 0.04, True","11.00, 0.01, True","11.00, 0.01, True","11.00, 0.01, True","11.00, 0.01, True","13.00, 0.01, True","15.00, 0.01, True","11.00, 0.00, True","11.00, 0.00, True","13.00, 0.00, True","9.00, 0.00, True","8.00, 0.00, True","10.00, 0.00, True","8.00, 0.00, True","12.00, 0.00, True","6.00, 0.00, True",A
template_45,"20.00, 0.88, False","11.00, 1.00, False","18.00, 1.00, False",None,"17.00, 1.00, None","19.00, 1.00, True","16.00, 0.86, True","18.00, 0.87, True","15.00, 0.86, True","17.00, 0.74, True","11.00, 0.56, True","16.00, 0.51, True","11.00, 0.34, True","11.00, 0.34, True","9.00, 0.31, True","18.00, 0.44, True","12.00, 0.36, True","13.00, 0.30, True","19.00, 0.37, True","13.00, 0.30, True","11.00, 0.26, True","18.00, 0.36, True","10.00, 0.25, True","15.00, 0.26, True","8.00, 0.11, True","7.00, 0.09, True","12.00, 0.12, True","16.00, 0.16, True","8.00, 0.08, True","14.00, 0.14, True","8.00, 0.08, True","16.00, 0.16, True","12.00, 0.09, True","17.00, 0.10, True","12.00, 0.05, True","10.00, 0.04, True","16.00, 0.07, True","13.00, 0.05, True","9.00, 0.02, True","16.00, 0.05, True","10.00, 0.02, True","11.00, 0.01, True","10.00, 0.01, True","8.00, 0.00, True","17.00, 0.02, True","8.00, 0.00, True","7.00, 0.00, True","6.00, 0.00, True","6.00, 0.00, True","6.00, 0.00, True","5.00, 0.00, True","11.00, 0.00, True","3.00, 0.00, True","10.00, 0.00, True","7.00, 0.00, True","12.00, 0.00, True",A
template_32,"19.00, 0.87, False","18.00, 1.00, False","19.00, 1.00, False","17.00, 1.00, True",None,"9.00, 1.00, True","7.00, 0.80, True","15.00, 0.86, True","15.00, 0.86, True","18.00, 0.75, True","20.00, 0.65, True","5.00, 0.30, True","9.00, 0.31, True","14.00, 0.39, True","16.00, 0.42, True","12.00, 0.36, True","11.00, 0.34, True","11.00, 0.26, True","7.00, 0.19, True","12.00, 0.28, True","10.00, 0.25, True","15.00, 0.32, True","16.00, 0.34, True","16.00, 0.27, True","14.00, 0.19, True","15.00, 0.20, True","9.00, 0.09, True","6.00, 0.05, True","12.00, 0.12, True","18.00, 0.18, True","14.00, 0.14, True","14.00, 0.14, True","10.00, 0.07, True","16.00, 0.10, True","7.00, 0.02, True","11.00, 0.04, True","14.00, 0.06, True","12.00, 0.05, True","12.00, 0.03, True","10.00, 0.02, True","14.00, 0.04, True","10.00, 0.01, True","13.00, 0.02, True","12.00, 0.01, True","18.00, 0.03, True","14.00, 0.02, True","9.00, 0.01, True","12.00, 0.01, True","13.00, 0.01, True","12.00, 0.01, True","13.00, 0.00, True","9.00, 0.00, True","10.00, 0.00, True","11.00, 0.00, True","11.00, 0.00, True","11.00, 0.00, True",A
template_28,"18.00, 0.75, False","17.00, 0.87, False","18.00, 0.87, False","19.00, 1.00, False","9.00, 1.00, False",None,"10.00, 1.00, True","17.00, 1.00, True","16.00, 1.00, True","18.00, 0.87, True","19.00, 0.76, True","12.00, 0.57, True","14.00, 0.49, True","16.00, 0.51, True","18.00, 0.53, True","17.00, 0.52, True","14.00, 0.49, True","12.00, 0.36, True","11.00, 0.34, True","15.00, 0.41, True","13.00, 0.38, True","16.00, 0.42, True","16.00, 0.42, True","17.00, 0.35, True","14.00, 0.24, True","16.00, 0.27, True","12.00, 0.16, True","6.00, 0.08, True","14.00, 0.19, True","16.00, 0.21, True","16.00, 0.21, True","14.00, 0.19, True","14.00, 0.14, True","15.00, 0.12, True","10.00, 0.05, True","10.00, 0.05, True","14.00, 0.08, True","13.00, 0.07, True","13.00, 0.05, True","15.00, 0.07, True","14.00, 0.06, True","9.00, 0.01, True","14.00, 0.03, True","13.00, 0.02, True","14.00, 0.02, True","15.00, 0.03, True","13.00, 0.02, True","12.00, 0.01, True","13.00, 0.01, True","13.00, 0.01, True","11.00, 0.00, True","13.00, 0.01, True","12.00, 0.00, True","10.00, 0.00, True","10.00, 0.00, True","10.00, 0.00, True",A
template_34,"15.00, 0.61, False","17.00, 0.74, False","17.00, 0.74, False","16.00, 0.86, False","7.00, 0.80, False","10.00, 1.00, False",None,"14.00, 1.00, None","12.00, 1.00, None","16.00, 1.00, True","21.00, 0.88, True","8.00, 0.65, True","14.00, 0.60, True","16.00, 0.62, True","18.00, 0.64, True","14.00, 0.60, True","14.00, 0.60, True","17.00, 0.52, True","9.00, 0.40, True","14.00, 0.49, True","15.00, 0.50, True","13.00, 0.47, True","18.00, 0.53, True","12.00, 0.36, True","14.00, 0.31, True","17.00, 0.35, True","10.00, 0.18, True","6.00, 0.12, True","14.00, 0.24, True","18.00, 0.29, True","16.00, 0.27, True","10.00, 0.18, True","11.00, 0.15, True","13.00, 0.13, True","9.00, 0.06, True","12.00, 0.09, True","12.00, 0.09, True","9.00, 0.06, True","13.00, 0.07, True","11.00, 0.06, True","14.00, 0.08, True","9.00, 0.02, True","14.00, 0.04, True","13.00, 0.03, True","15.00, 0.04, True","14.00, 0.03, True","13.00, 0.03, True","13.00, 0.01, True","13.00, 0.01, True","12.00, 0.01, True","13.00, 0.01, True","11.00, 0.01, True","11.00, 0.00, True","9.00, 0.00, True","11.00, 0.00, True","9.00, 0.00, True",A
template_8,"7.00, 0.48, False","14.00, 0.72, False","14.00, 0.72, False","18.00, 0.87, False","15.00, 0.86, False","17.00, 1.00, False","14.00, 1.00, True",None,"13.00, 1.00, None","10.00, 1.00, True","14.00, 0.86, True","13.00, 0.71, True","17.00, 0.63, True","9.00, 0.52, True","12.00, 0.57, True","14.00, 0.60, True","13.00, 0.58, True","16.00, 0.51, True","16.00, 0.51, True","13.00, 0.47, True","16.00, 0.51, True","7.00, 0.36, True","17.00, 0.52, True","5.00, 0.21, True","9.00, 0.23, True","13.00, 0.30, True","11.00, 0.20, True","12.00, 0.22, True","15.00, 0.26, True","13.00, 0.23, True","11.00, 0.20, True","6.00, 0.12, True","8.00, 0.11, True","8.00, 0.08, True","11.00, 0.08, True","11.00, 0.08, True","7.00, 0.04, True","5.00, 0.03, True","10.00, 0.05, True","12.00, 0.07, True","9.00, 0.04, True","4.00, 0.00, True","8.00, 0.02, True","8.00, 0.01, True","10.00, 0.02, True","11.00, 0.02, True","15.00, 0.04, True","8.00, 0.00, True","8.00, 0.00, True","8.00, 0.00, True","6.00, 0.00, True","11.00, 0.01, True","9.00, 0.00, True","5.00, 0.00, True","8.00, 0.00, True","5.00, 0.00, True",A
template_30,"11.00, 0.56, False","13.00, 0.71, False","10.00, 0.68, False","15.00, 0.86, False","15.00, 0.86, False","16.00, 1.00, False","12.00, 1.00, True","13.00, 1.00, True",None,"11.00, 1.00, True","15.00, 0.86, True","15.00, 0.73, True","18.00, 0.64, True","15.00, 0.61, True","16.00, 0.62, True","12.00, 0.57, True","16.00, 0.62, True","18.00, 0.53, True","16.00, 0.51, True","18.00, 0.53, True","15.00, 0.50, True","10.00, 0.42, True","17.00, 0.52, True","10.00, 0.33, True","12.00, 0.28, True","15.00, 0.32, True","9.00, 0.17, True","13.00, 0.23, True","15.00, 0.26, True","15.00, 0.26, True","13.00, 0.23, True","8.00, 0.15, True","10.00, 0.14, True","9.00, 0.09, True","6.00, 0.03, True","13.00, 0.10, True","7.00, 0.04, True","9.00, 0.06, True","11.00, 0.06, True","9.00, 0.04, True","13.00, 0.07, True","6.00, 0.01, True","12.00, 0.03, True","11.00, 0.02, True","10.00, 0.02, True","13.00, 0.03, True","12.00, 0.02, True","11.00, 0.01, True","11.00, 0.01, True","11.00, 0.01, True","8.00, 0.00, True","7.00, 0.00, True","8.00, 0.00, True","3.00, 0.00, True","10.00, 0.00, True","4.00, 0.00, True",A
template_16,"2.00, 0.18, False","16.00, 0.62, False","10.00, 0.54, False","17.00, 0.74, False","18.00, 0.75, False","18.00, 0.87, False","16.00, 1.00, False","10.00, 1.00, False","11.00, 1.00, False",None,"14.00, 1.00, True","17.00, 0.87, True","18.00, 0.75, True","14.00, 0.72, True","15.00, 0.73, True","13.00, 0.71, True","16.00, 0.74, True","18.00, 0.64, True","18.00, 0.64, True","17.00, 0.63, True","16.00, 0.62, True","6.00, 0.45, True","19.00, 0.64, True","5.00, 0.30, True","12.00, 0.36, True","14.00, 0.39, True","12.00, 0.28, True","16.00, 0.34, True","15.00, 0.32, True","18.00, 0.36, True","12.00, 0.28, True","4.00, 0.12, True","8.00, 0.15, True","3.00, 0.04, True","11.00, 0.11, True","10.00, 0.10, True","2.00, 0.01, True","9.00, 0.09, True","15.00, 0.12, True","8.00, 0.05, True","12.00, 0.09, True","7.00, 0.02, True","9.00, 0.03, True","9.00, 0.02, True","5.00, 0.01, True","13.00, 0.04, True","17.00, 0.06, True","10.00, 0.01, True","10.00, 0.01, True","11.00, 0.01, True","6.00, 0.00, True","6.00, 0.00, True","10.00, 0.01, True","6.00, 0.00, True","10.00, 0.00, True","2.00, 0.00, True",A
